IN	IN	p-acp	IN	in	0
auncient	auncient	j-jn	ancient	ancient	0
tymes	tymes	n2	times	time	0
passed	passed	vvd	passed	pass	0
(	(	(	(	(	0
MOST	MOST	av-ds	MOST	most	0
HO	HO	uh	HO	ho	0
∣	∣	sy	∣	∣	0
NORABLE	NORABLE	j	NORABLE	norable	0
LORD	LORD	n1	LORD	lord	0
)	)	)	)	)	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
cou	cou	n1	cou	cou	0
∣	∣	sy	∣	∣	0
stume	stume	n1	stume	stume	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
witnesses	witnesses	n2	witnesses	witness	0
Flau.	Flau.	np1	Flau.	Flau.	0
Veg.	Veg.	np1	Veg.	Veg.	0
in	in	p-acp	in	in	0
Prol.	Prol.	np1	Prol.	Prol.	0
lib	lib	n1	lib	lib	0
.	.	.	.	.	0
de	de	fw-fr	de	de	0
re	re	fw-mi	re	re	0
milit	milit	fw-la	milit	milit	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
dedicat	dedicat	fw-la	dedicat	dedicat	0
,	,	,	,	,	0
&	&	cc	&	and	0
present	present	j	present	present	0
Books	Books	n2	Books	book	0
,	,	,	,	,	0
vnto	vnto	p-acp	unto	unto	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
men	men	n2	men	man	0
;	;	;	;	;	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
is	is	vbz	is	be	0
,	,	,	,	,	0
saith	saith	vvz	says	say	0
he	he	pns31	he	he	0
,	,	,	,	,	0
forsomuch	forsomuch	av	forsomuch	forsomuch	0
as	as	c-acp	as	as	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
well	well	av	well	well	0
begūne	begūne	vvn	begun	begin	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
(	(	(	(	(	0
first	first	ord	first	first	0
vnder	vnder	p-acp	under	under	0
God	God	np1	God	God	0
)	)	)	)	)	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
noble	noble	j	noble	noble	0
men	men	n2	men	man	0
,	,	,	,	,	0
fauour	fauour	n1	favour	favour	0
,	,	,	,	,	0
protect	protect	vvb	protect	protect	0
,	,	,	,	,	0
and	and	cc	and	and	0
commend	commend	vvb	commend	commend	0
it	it	pn31	it	it	0
;	;	;	;	;	0
neyther	neyther	dx	neither	neither	0
doe	doe	n1	doe	doe	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
beseeme	beseeme	vvi	beseem	beseem	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
noble	noble	j	noble	noble	0
men	men	n2	men	man	0
better	better	vvi	better	better	0
thē	thē	pno32	them	they	0
books	books	n2	books	book	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
heades	heades	n2	heads	head	0
,	,	,	,	,	0
and	and	cc	and	and	0
Gouernours	Gouernours	n2	Governors	governor	0
of	of	pp-f	of	of	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
,	,	,	,	,	0
it	it	pn31	it	it	0
agreeth	agreeth	vvz	agreeth	agree	0
with	with	p-acp	with	with	0
reason	reason	n1	reason	reason	0
(	(	(	(	(	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
possible	possible	j	possible	possible	0
)	)	)	)	)	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
know	know	vvi	know	know	0
all	all	d	all	all	0
things	things	n2	things	thing	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
head	head	n1	head	head	0
,	,	,	,	,	0
consist	consist	vvb	consist	consist	0
the	the	dt	the	the	0
senses	senses	n2	senses	sense	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
gouerne	gouerne	vvb	govern	govern	0
,	,	,	,	,	0
&	&	cc	&	and	0
ruell	ruell	j	cruel	cruel	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
body	body	n1	body	body	0
;	;	;	;	;	0
euen	euen	av	even	even	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
lyke	lyke	av-j	like	like	0
maner	maner	n1	manner	manner	0
,	,	,	,	,	0
Princes	Princes	n2	Princes	prince	0
&	&	cc	&	and	0
Potētates	Potētates	n2	Potentates	potentate	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
heades	heades	n2	heads	head	0
&	&	cc	&	and	0
Gouernours	Gouernours	n2	Governors	governor	0
of	of	pp-f	of	of	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
milies	milies	n2	milies	mily	0
,	,	,	,	,	0
&	&	cc	&	and	0
other	other	j-jn	other	other	0
people	people	n1	people	people	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
seen	seen	vvn	seen	see	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
sciēces	sciēces	n2	sciences	science	0
,	,	,	,	,	0
and	and	cc	and	and	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
