SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
greatest	greatest	js	greatest	great	0
,	,	,	,	,	0
and	and	cc	and	and	0
indeed	indeed	av	indeed	indeed	0
almost	almost	av	almost	almost	0
the	the	dt	the	the	0
only	only	j	only	only	0
ad	ad	fw-la	ad	ad	0
∣	∣	sy	∣	∣	0
vantage	vantage	n1	vantage	vantage	0
,	,	,	,	,	0
a	a	dt	a	a	0
Poet	Poet	n1	Poet	poet	0
reaps	reaps	vvz	reaps	reap	0
from	from	p-acp	from	from	0
what	what	r-crq	what	what	0
He	He	pns31	He	he	0
writes	writes	vvz	writes	write	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
opportunities	opportunities	n2	opportunities	opportunity	0
he	he	pns31	he	he	0
meets	meets	vvz	meets	meet	0
with	with	p-acp	with	with	0
of	of	pp-f	of	of	0
making	making	vvg	making	make	0
himself	himself	px31	himself	himself	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
best	best	js	best	best	0
,	,	,	,	,	0
and	and	cc	and	and	0
greatest	greatest	js	greatest	great	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Age	Age	n1	Age	age	0
.	.	.	.	.	1
A	A	dt	A	a	0
Play	Play	n1	Play	play	0
is	is	vbz	is	be	0
first	first	ord	first	first	0
made	made	vvd	made	make	0
publick	publick	j	public	public	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Theatre	Theatre	n1	Theatre	theatre	0
;	;	;	;	;	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
comes	comes	vvz	comes	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Press	Press	n1	Press	press	0
,	,	,	,	,	0
if	if	cs	if	if	0
any	any	d	any	any	0
one	one	pi	one	one	0
has	has	vhz	has	have	0
spoken	spoken	vvn	spoken	speak	0
kindly	kindly	av-j	kindly	kind	0
,	,	,	,	,	0
and	and	cc	and	and	0
favourable	favourable	j	favourable	favourable	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Representation	Representation	n1	Representation	representation	0
,	,	,	,	,	0
the	the	dt	the	the	0
Poet	Poet	n1	Poet	poet	0
chooses	chooses	vvz	chooses	choose	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Patron	Patron	n1	Patron	patron	0
;	;	;	;	;	0
He	He	pns31	He	he	0
having	having	vhg	having	have	0
before	before	a-acp	before	before	0
(	(	(	(	(	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cording	cording	vvg	cording	cord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Authors	Authors	ng1	Authors	author	0
Construction	Construction	n1	Construction	construction	0
)	)	)	)	)	0
chosen	chosen	vvn	chosen	choose	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Poet	Poet	n1	Poet	poet	0
.	.	.	.	.	1
The	The	dt	The	the	0
distance	distance	n1	distance	distance	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
at	at	p-acp	at	at	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
City	City	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
ev'n	ev'n	av	even	even	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
too	too	av	too	too	0
,	,	,	,	,	0
will	will	vmb	will	will	0
keep	keep	vvi	keep	keep	0
me	me	pno11	me	i	0
Ig	Ig	vvb	Ig	ig	0
∣	∣	sy	∣	∣	0
norant	norant	j	norant	norant	0
for	for	c-acp	for	for	0
some	some	d	some	some	0
time	time	n1	time	time	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
success	success	n1	success	success	0
this	this	d	this	this	0
Play	Play	n1	Play	play	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
Humbly	Humbly	av-j	Humbly	humble	0
offer	offer	vvb	offer	offer	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Patronage	Patronage	n1	Patronage	patronage	0
)	)	)	)	)	0
may	may	vmb	may	may	0
meet	meet	vvi	meet	meet	0
with	with	p-acp	with	with	0
.	.	.	.	.	1
If	If	cs	If	if	0
the	the	dt	the	the	0
Town	Town	n1	Town	town	0
is	is	vbz	is	be	0
pleas'd	pleas'd	vvn	pleased	please	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
pleas'd	pleas'd	vvn	pleased	please	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
self	self	n1	self	self	0
for	for	p-acp	for	for	0
pleasing	pleasing	vvg	pleasing	please	0
them	them	pno32	them	they	0
;	;	;	;	;	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
demn	demn	vvb	demn	demn	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
apt	apt	j	apt	apt	0
to	to	pc-acp	to	to	0
conclude	conclude	vvi	conclude	conclude	0
so	so	av	so	so	0
many	many	d	many	many	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
than	than	cs	than	than	0
my	my	po11	my	my	0
single	single	j	single	single	0
self	self	n1	self	self	0
.	.	.	.	.	1
You	You	pn22	You	you	0
saw	saw	vvd	saw	see	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
nuscript	nuscript	n1	nuscript	nuscript	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
this	this	d	this	this	0
early	early	j	early	early	0
and	and	cc	and	and	0
auspicious	auspicious	j	auspicious	auspicious	0
Ad	Ad	fw-la	Ad	ad	0
∣	∣	sy	∣	∣	0
vantage	vantage	n1	vantage	vantage	0
,	,	,	,	,	0
that	that	cst	that	that	0
You	You	pn22	You	you	0
approve	approve	vvb	approve	approve	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Boadicea	Boadicea	np1	Boadicea	Boadicea	0
pleas'd	pleas'd	vvd	pleased	please	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
receiv'd	receiv'd	vvd	received	receive	0
a	a	dt	a	a	0
very	very	j	very	very	0
great	great	j	great	great	0
additional	additional	j	additional	additional	0
satis	satis	fw-la	satis	satis	0
∣	∣	sy	∣	∣	0
faction	faction	n1	faction	faction	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
understood	understood	vvd	understood	understand	0
how	how	c-crq	how	how	0
particularly	particularly	av-j	particularly	particular	0
it	it	pn31	it	it	0
pleas'd	pleas'd	vvd	pleased	please	0
You.	You.	pn22	You.	you	1
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
go	go	vvi	go	go	0
to	to	pc-acp	to	to	0
compare	compare	vvi	compare	compare	0
that	that	d	that	that	0
Play	Play	n1	Play	play	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
together	together	av	together	together	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
follow	follow	vvb	follow	follow	0
the	the	dt	the	the	0
custom	custom	n1	custom	custom	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
reckon	reckon	vvb	reckon	reckon	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
the	the	dt	the	the	0
last	last	ord	last	last	0
performance	performance	n1	performance	performance	0
best	best	js	best	best	0
;	;	;	;	;	0
and	and	cc	and	and	0
showing	showing	vvg	showing	show	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
fondness	fondness	n1	fondness	fondness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Youngest	Youngest	js	Youngest	young	0
Brat	Brat	n1	Brat	brat	0
.	.	.	.	.	1
The	The	dt	The	the	0
Rhime	Rhime	n1	Rhime	rhime	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
only	only	j	only	only	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
recommended	recommended	vvd	recommended	recommend	0
that	that	d	that	that	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	c-acp	for	for	0
ought	ought	pi	ought	aught	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
,	,	,	,	,	0
the	the	dt	the	the	0
only	only	j	only	only	0
thing	thing	n1	thing	thing	0
too	too	av	too	too	0
,	,	,	,	,	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
commend	commend	vvb	commend	commend	0
this	this	d	this	this	0
.	.	.	.	.	1
I	I	pns11	I	i	0
could	could	vmd	could	can	0
wish	wish	vvi	wish	wish	0
for	for	p-acp	for	for	0
something	something	pi	something	something	0
distin	distin	n1	distin	distin	0
∣	∣	sy	∣	∣	0
guishing	guishing	vvg	guishing	guish	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
sacred	sacred	j	sacred	sacred	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
desire	desire	vvi	desire	desire	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
at	at	p-acp	at	at	0
advantage	advantage	n1	advantage	advantage	0
.	.	.	.	.	1
If	If	cs	If	if	0
the	the	dt	the	the	0
pains	pains	n2	pains	pain	0
in	in	p-acp	in	in	0
writing	writing	n1	writing	writing	0
will	will	vmb	will	will	0
endear	endear	vvi	endear	ender	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
it	it	pn31	it	it	0
cost	cost	vvd	cost	cost	0
me	me	pno11	me	i	0
much	much	d	much	much	0
more	more	dc	more	more	0
than	than	cs	than	than	0
the	the	dt	the	the	0
former	former	j	former	former	0
.	.	.	.	.	1
It	It	pn31	It	it	0
has	has	vhz	has	have	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
of	of	pp-f	of	of	0
design	design	n1	design	design	0
besides	besides	a-acp	beside	beside	0
(	(	(	(	(	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
)	)	)	)	)	0
but	but	p-acp	but	but	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
never	never	av-x	never	never	0
very	very	av	very	very	0
guilty	guilty	j	guilty	guilty	0
of	of	pp-f	of	of	0
Plotting	Plotting	vvg	Plotting	plot	0
.	.	.	.	.	1
I	I	pns11	I	i	0
can	can	vmb	can	can	0
hardly	hardly	av	hardly	hardly	0
keep	keep	vvi	keep	keep	0
the	the	dt	the	the	0
Cha	Cha	zz	Cha	cha	0
∣	∣	sy	∣	∣	0
racters	racters	n2	racters	racter	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Play	Play	n1	Play	play	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
being	being	vbg	being	be	0
as	as	a-acp	as	as	0
honest	honest	j	honest	honest	0
,	,	,	,	,	0
and	and	cc	and	and	0
sin	sin	n1	since	sin	0
∣	∣	sy	∣	∣	0
cere	cere	fw-la	cere	cere	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
my	my	po11	my	my	0
self	self	n1	self	self	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Dedication	Dedication	n1	Dedication	dedication	0
.	.	.	.	.	1
A	A	dt	A	a	0
vi	vi	crd	vi	vi	0
∣	∣	sy	∣	∣	0
cious	cious	j	cious	cious	0
Character	Character	n1	Character	character	0
disturbs	disturbs	vvz	disturbs	disturb	0
me	me	pno11	me	i	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
draw	draw	vvb	draw	draw	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
grates	grates	vvz	grates	grate	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
delineate	delineate	vvi	delineate	delineate	0
a	a	dt	a	a	0
Villain	Villain	n1	Villain	villain	0
.	.	.	.	.	1
'Tis	'Tis	pn31|vbz	It's	it|be	0
certain	certain	j	certain	certain	0
no	no	dx	no	no	0
Po	Po	np1	Po	Po	0
∣	∣	sy	∣	∣	0
et	et	fw-fr	et	et	0
can	can	vmb	can	can	0
excite	excite	vvi	excite	excite	0
any	any	d	any	any	0
Passion	Passion	n1	Passion	passion	0
in	in	p-acp	in	in	0
another	another	j-jn	another	another	0
,	,	,	,	,	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
does	does	vdz	does	do	0
not	not	xx	not	not	0
feel	feel	vvi	feel	feel	0
it	it	pn31	it	it	0
first	first	ord	first	first	0
in	in	p-acp	in	in	0
himself	himself	px31	himself	himself	0
.	.	.	.	.	1
