May	May	vmb	May	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
Excellency	Excellency	n1	Excellency	excellency	0
,	,	,	,	,	0
DID	DID	vdd	DID	do	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
very	very	av	very	very	0
well	well	av	well	well	0
know	know	vvb	know	know	0
your	your	po22	your	your	0
great	great	j	great	great	0
Understanding	Understanding	n1	Understanding	understanding	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
and	and	cc	and	and	0
Love	Love	vvb	Love	love	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Subject	Subject	j-jn	Subject	subject	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
I	I	pns11	I	i	0
durst	durst	vvd	durst	dare	0
not	not	xx	not	not	0
assume	assume	vvi	assume	assume	0
the	the	dt	the	the	0
Boldness	Boldness	n1	Boldness	boldness	0
to	to	pc-acp	to	to	0
implore	implore	vvi	implore	implore	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
Patronage	Patronage	n1	Patronage	patronage	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
But	But	cc-acp	But	but	0
being	being	vbg	being	be	0
well	well	av	well	well	0
assured	assured	vvn	assured	assure	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
been	been	vbn	been	be	0
onely	onely	av-j	only	only	0
a	a	dt	a	a	0
Spectator	Spectator	n1	Spectator	spectator	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
an	an	dt	and	a	0
Actor	Actor	n1	Actor	actor	0
in	in	p-acp	in	in	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
treated	treated	vvn	treated	treat	0
of	of	pp-f	of	of	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
Lines	Lines	n2	Lines	line	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Eternal	Eternal	j	Eternal	eternal	0
Prayse	Prayse	n1	Praise	praise	0
be	be	vbb	be	be	0
it	it	pn31	it	it	0
spoken	spoken	vvn	spoken	speak	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
many	many	d	many	many	0
a	a	dt	a	a	0
fine	fine	j	fine	fine	0
Tree	Tree	n1	Tree	tree	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
Nursed	Nursed	vvn	Nursed	nurse	0
up	up	a-acp	up	up	0
from	from	p-acp	from	from	0
Seeds	Seeds	n2	Seeds	seed	0
sown	sown	vvn	sown	sow	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
own	own	d	own	own	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
thousands	thousands	crd	thousands	thousand	0
more	more	n1	more	moor	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
commanded	commanded	vvn	commanded	command	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
raise	raise	vvi	raise	raise	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
,	,	,	,	,	0
my	my	po11	my	my	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
crave	crave	vvb	crave	crave	0
your	your	po22	your	your	0
Pardon	Pardon	n1	Pardon	pardon	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Presumption	Presumption	n1	Presumption	presumption	0
and	and	cc	and	and	0
Imperfection	Imperfection	n1	Imperfection	imperfection	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Pen-man	Pen-man	n1	Penman	penman	0
;	;	;	;	;	0
and	and	cc	and	and	0
though	though	cs	though	though	0
your	your	po22	your	your	0
Excellency	Excellency	n1	Excellency	excellency	0
knows	knows	vvz	knows	know	0
full	full	av-j	full	full	0
well	well	av	well	well	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
prune	prune	vvi	prune	prune	0
young	young	j	young	young	0
Trees	Trees	n2	Trees	tree	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
