HOnored	HOnored	j-vvn	Honoured	honour	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
without	without	p-acp	without	without	0
scruple	scruple	n1	scruple	scruple	0
or	or	cc	or	or	0
dissimulation	dissimulation	n1	dissimulation	dissimulation	0
can	can	vmb	can	can	0
I	I	pns11	I	i	0
call	call	vvi	call	call	0
you	you	pn22	you	you	0
;	;	;	;	;	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
I	I	pns11	I	i	0
honor	honor	vvb	honour	honour	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
others	others	n2-jn	others	other	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
places	places	n2	places	place	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
both	both	d	both	both	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
good	good	j	good	good	0
things	things	n2	things	thing	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
evils	evils	n2-jn	evils	evil	0
reformed	reformed	vvd	reformed	reform	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
;	;	;	;	;	0
I	I	pns11	I	i	0
call	call	vvb	call	call	0
you	you	pn22	you	you	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
truth	truth	n1	truth	truth	0
)	)	)	)	)	0
is	is	vbz	is	be	0
unfained	unfained	j	unfeigned	unfeigned	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
are	are	vbr	are	be	0
there	there	a-acp	there	there	0
(	(	(	(	(	0
I	I	pns11	I	i	0
bless	bless	vvb	bless	bless	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
not	not	xx	not	not	0
∣	∣	sy	∣	∣	0
withstanding	withstanding	vvg	withstanding	withstand	0
the	the	dt	the	the	0
discourteous	discourteous	j	discourteous	discourteous	0
usage	usage	n1	usage	usage	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
and	and	cc	and	and	0
my	my	po11	my	my	0
friends	friends	n2	friends	friend	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
ceived	ceived	vvn	ceived	ceive	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
)	)	)	)	)	0
any	any	d	any	any	0
evill	evill	j-jn	evil	evil	0
thoughts	thoughts	n2	thoughts	thought	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
judge	judge	vvb	judge	judge	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
put	put	vvn	put	put	0
upon	upon	p-acp	upon	upon	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
did	did	vdd	did	do	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
zeal	zeal	n1	zeal	zeal	0
(	(	(	(	(	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
think	think	vvi	think	think	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
private	private	j	private	private	0
or	or	cc	or	or	0
caanall	caanall	j	caanall	caanall	0
interests	interests	n2	interests	interest	0
but	but	p-acp	but	but	0
)	)	)	)	)	0
towards	towards	p-acp	towards	towards	0
God	God	np1	God	God	0
,	,	,	,	,	0
thinking	thinking	vvg	thinking	think	0
thereby	thereby	av	thereby	thereby	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
him	him	pno31	him	he	0
service	service	n1	service	service	0
;	;	;	;	;	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
confidently	confidently	av-j	confidently	confident	0
believe	believe	vvb	believe	believe	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
boldly	boldly	av-j	boldly	bold	0
do	do	vdb	do	do	0
