NEuer	NEuer	av-x	Never	never	0
(	(	(	(	(	0
most	most	ds	most	most	0
equall	equall	j-jn	equal	equal	0
SISTERS	SISTERS	n2	SISTERS	sister	0
)	)	)	)	)	0
had	had	vhd	had	have	0
any	any	d	any	any	0
man	man	n1	man	man	0
a	a	dt	a	a	0
wit	wit	n1	wit	wit	0
so	so	av	so	so	0
presently	presently	av-j	presently	present	0
excellent	excellent	j	excellent	excellent	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
could	could	vmd	could	can	0
raise	raise	vvi	raise	raise	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
there	there	a-acp	there	there	0
must	must	vmb	must	must	0
come	come	vvi	come	come	0
both	both	d	both	both	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
occasion	occasion	n1	occasion	occasion	0
,	,	,	,	,	0
commen	commen	vvn	come	come	0
∣	∣	sy	∣	∣	0
ders	ders	n2-jn	dears	dear	0
,	,	,	,	,	0
and	and	cc	and	and	0
fauourers	fauourers	n2	favourers	favourer	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
:	:	:	:	:	0
If	If	cs	If	if	0
this	this	d	this	this	0
be	be	vbb	be	be	0
true	true	j	true	true	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
fortune	fortune	n1	fortune	fortune	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
writers	writers	n2	writers	writer	0
doth	doth	vdz	does	do	0
daily	daily	av-j	daily	daily	0
proue	proue	vvi	prove	prove	0
it	it	pn31	it	it	0
,	,	,	,	,	0
it	it	pn31	it	it	0
behoues	behoues	vvz	behooves	behoove	0
the	the	dt	the	the	0
carefull	carefull	j	careful	careful	0
to	to	pc-acp	to	to	0
prouide	prouide	vvi	provide	provide	0
,	,	,	,	,	0
well	well	av	well	well	0
