SEeing	SEeing	vvg	SEeing	see	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Christ	Christ	np1	Christ	Christ	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
move	move	vvi	move	move	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
select	select	vvi	select	select	0
this	this	d	this	this	0
subject	subject	n-jn	subject	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
spend	spend	vvi	spend	spend	0
my	my	po11	my	my	0
Meditations	Meditations	n2	Meditations	meditation	0
upon	upon	p-acp	upon	upon	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
good	good	j	good	good	0
Christians	Christians	np1	Christians	Christians	0
next	next	ord	next	next	0
again	again	av	again	again	0
and	and	cc	and	and	0
again	again	av	again	again	0
to	to	pc-acp	to	to	0
desire	desire	vvi	desire	desire	0
it	it	pn31	it	it	0
,	,	,	,	,	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
yet	yet	av	yet	yet	0
teaching	teaching	vvg	teaching	teach	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
finish	finish	vvi	finish	finish	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
copied	copied	vvn	copied	copy	0
out	out	av	out	out	0
,	,	,	,	,	0
and	and	cc	and	and	0
communicated	communicated	vvn	communicated	communicate	0
unto	unto	p-acp	unto	unto	0
themselves	themselves	px32	themselves	themselves	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
well	well	av	well	well	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
safe	safe	j	safe	safe	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
science	science	n1	science	science	0
detaine	detaine	vvi	detain	detain	0
it	it	pn31	it	it	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
reserves	reserves	vvz	reserves	reserve	0
corn	corn	n1	corn	corn	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
spare	spare	vvi	spare	spare	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
that	that	cst	that	that	0
need	need	vvb	need	need	0
it	it	pn31	it	it	0
,	,	,	,	,	0
be	be	vbb	be	be	0
lyable	lyable	j	liable	liable	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Prov.	Prov.	np1	Prov.	Prov.	1
11.	11.	crd	11.	11.	0
26.	26.	crd	26.	26.	0
curse	curse	n1	curse	curse	0
.	.	.	.	.	1
I	I	pns11	I	i	0
might	might	vmd	might	may	0
justly	justly	av-j	justly	just	0
feare	feare	vvi	fear	fear	0
lest	lest	cs	lest	lest	0
I	I	pns11	I	i	0
also	also	av	also	also	0
keeping	keeping	vvg	keeping	keep	0
back	back	av	back	back	0
the	the	dt	the	the	0
spi	spi	vvb	spi	spi	0
∣	∣	sy	∣	∣	0
