IF	IF	cs	IF	if	0
we	we	pns12	we	we	0
consult	consult	vvb	consult	consult	0
Antiquity	Antiquity	n1	Antiquity	antiquity	0
,	,	,	,	,	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
generality	generality	n1	generality	generality	0
of	of	pp-f	of	of	0
Physicians	Physicians	n2	Physicians	physician	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
suc	suc	fw-fr	suc	suc	0
∣	∣	sy	∣	∣	0
cession	cession	n1	session	session	0
of	of	pp-f	of	of	0
Ages	Ages	n2	Ages	age	0
,	,	,	,	,	0
did	did	vdd	did	do	0
rather	rather	av-c	rather	rather	0
rely	rely	vvi	rely	rely	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
coveries	coveries	n2	coveries	covery	0
already	already	av	already	already	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
immortal	immortal	j	immortal	immortal	0
Hippocrates	Hippocrates	np1	Hippocrates	Hippocrates	0
,	,	,	,	,	0
than	than	cs	than	than	0
endeavour	endeavour	n1	endeavour	endeavour	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
out	out	av	out	out	0
new	new	j	new	new	0
ones	ones	pi2	ones	one	0
.	.	.	.	.	1
They	They	pns32	They	they	0
esteem'd	esteem'd	vvd	esteemed	esteem	0
themslves	themslves	n2	themslves	themslve	0
suffi	suffi	n2	suffi	suffi	0
∣	∣	sy	∣	∣	0
ciently	ciently	av-j	ciently	cient	0
qualified	qualified	vvn	qualified	qualify	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
Office	Office	n1	Office	office	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Writtings	Writtings	n2-vvg	Writings	writing	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
believed	believed	vvd	believed	believe	0
all	all	d	all	all	0
Medical	Medical	np1	Medical	Medical	0
Skill	Skill	n1	Skill	skill	0
as	as	c-acp	as	as	0
comprehen	comprehen	fw-ge	comprehen	comprehen	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
process	process	n1	process	process	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
they	they	pns32	they	they	0
came	came	vvd	came	come	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
Authrity	Authrity	n1	Authrity	authrity	0
that	that	cst	that	that	0
to	to	pc-acp	to	to	0
entertain	entertain	vvi	entertain	entertain	0
Sentiments	Sentiments	n2	Sentiments	sentiment	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nature	Nature	n1	Nature	nature	0
and	and	cc	and	and	0
Cure	Cure	vvb	Cure	cure	0
of	of	pp-f	of	of	0
Dis	Dis	np1	Dis	Dis	0
∣	∣	sy	∣	∣	0
eases	eases	vvz	eases	ease	0
differing	differing	vvg	differing	differ	0
from	from	p-acp	from	from	0
these	these	d	these	these	0
already	already	av	already	already	0
received	received	vvn	received	receive	0
,	,	,	,	,	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
Heterodony	Heterodony	np1	Heterodony	Heterodony	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
tolerated	tolerated	vvn	tolerated	tolerate	0
.	.	.	.	.	1
And	And	np1	And	And	0
obtained	obtained	vvd	obtained	obtain	0
till	till	p-acp	till	till	0
Galen's	Galen's	npg1	Galen's	galen	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
confidence	confidence	n1	confidence	confidence	0
to	to	pc-acp	to	to	0
dissent	dissent	vvi	dissent	dissent	0
from	from	p-acp	from	from	0
Hippocrates	Hippocrates	np1	Hippocrates	Hippocrates	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
Restorer	Restorer	n1	Restorer	restorer	0
of	of	pp-f	of	of	0
Medicine	Medicine	n1	Medicine	medicine	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
Na	Na	fw-mi	Na	na	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
and	and	cc	and	and	0
Cure	Cure	vvb	Cure	cure	0
of	of	pp-f	of	of	0
Several	Several	j	Several	several	0
Diseases	Diseases	n2	Diseases	disease	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
he	he	pns31	he	he	0
strains	strains	vvz	strains	strain	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Theory	Theory	n1	Theory	theory	0
a	a	sy	a	a	0
∣	∣	sy	∣	∣	0
greeable	greeable	j	agreeable	agreeable	0
to	to	pc-acp	to	to	0
the	the	dt	the	the	0
Philosophy	Philosophy	n1	Philosophy	philosophy	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
time	time	n1	time	time	0
,	,	,	,	,	0
that	that	cst	that	that	0
