clearly	clearly	av-j	clearly	clear	0
and	and	cc	and	and	0
sincerely	sincerely	av-j	sincerely	sincere	0
preached	preached	vvn	preached	preach	0
and	and	cc	and	and	0
professed	professed	vvn	professed	profess	0
,	,	,	,	,	0
then	then	av	then	then	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
moste	moste	ds	most	most	0
acceptable	acceptable	j	acceptable	acceptable	0
time	time	n1	time	time	0
and	and	cc	and	and	0
saluation	saluation	n1	salvation	salvation	0
,	,	,	,	,	0
and	and	cc	and	and	0
moste	moste	av-ds	most	most	0
perillous	perillous	j	perilous	perilous	0
time	time	n1	time	time	0
,	,	,	,	,	0
daunger	daunger	n1	danger	danger	0
and	and	cc	and	and	0
damnation	damnation	n1	damnation	damnation	0
:	:	:	:	:	0
moste	moste	ds	most	most	0
acceptable	acceptable	j	acceptable	acceptable	0
tyme	tyme	n1	time	time	0
and	and	cc	and	and	0
saluation	saluation	n1	salvation	salvation	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
vnderstande	vnderstande	vvb	understand	understand	0
,	,	,	,	,	0
beleeue	beleeue	vvb	believe	believe	0
and	and	cc	and	and	0
professe	professe	vvi	profess	profess	0
the	the	dt	the	the	0
same	same	d	same	same	0
truely	truely	av-j	truly	true	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	ds	most	most	0
peril	peril	n1	peril	peril	0
∣	∣	sy	∣	∣	0
lous	lous	n2	lous	love	0
time	time	n1	time	time	0
,	,	,	,	,	0
daunger	daunger	n1	danger	danger	0
and	and	cc	and	and	0
damnation	damnation	n1	damnation	damnation	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
that	that	d	that	that	0
neglecte	neglecte	ng1	neglect's	neglect	0
,	,	,	,	,	0
refuse	refuse	vvb	refuse	refuse	0
or	or	cc	or	or	0
abuse	abuse	vvi	abuse	abuse	0
the	the	dt	the	the	0
same	same	d	same	same	0
cor	cor	fw-la	cor	cor	0
∣	∣	sy	∣	∣	0
ruptly	ruptly	av-j	ruptly	rupt	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
one	one	crd	one	one	0
sorte	sorte	n1	sort	sort	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
taken	taken	vvn	taken	take	0
as	as	p-acp	as	as	0
children	children	n2	children	child	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Schoole	Schoole	n1	School	school	0
too	too	av	too	too	0
enioy	enioy	vvi	enjoy	enjoy	0
their	their	po32	their	their	0
Fa	Fa	fw-it	Fa	fa	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
inheritance	inheritance	n1	inheritance	inheritance	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
taken	taken	vvn	taken	take	0
as	as	p-acp	as	as	0
beasts	beasts	n2	beasts	beast	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
pasture	pasture	n1	pasture	pasture	0
vntoo	vntoo	p-acp	unto	unto	0
the	the	dt	the	the	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
slau	slau	n1	slau	slau	0
∣	∣	sy	∣	∣	0
ghter	ghter	n1	ghter	ghter	0
.	.	.	.	.	1
Those	Those	d	Those	those	0
that	that	cst	that	that	0
learne	learne	vvb	learn	learn	0
and	and	cc	and	and	0
folowe	folowe	vvi	follow	follow	0
the	the	dt	the	the	0
will	will	n1	will	will	0
and	and	cc	and	and	0
wisedome	wisedome	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
worde	worde	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
shal	shal	vmb	shall	shall	0
be	be	vbi	be	be	0
sure	sure	j	sure	sure	0
as	as	c-acp	as	as	0
Gods	Gods	npg1	Gods	God	0
childrē	childrē	n2	children	child	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
al	al	d	all	all	0
things	things	n2	things	thing	0
necessarie	necessarie	j	necessary	necessary	0
and	and	cc	and	and	0
comfortable	comfortable	j	comfortable	comfortable	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
proui	proui	fw-fr	proui	proui	0
∣	∣	sy	∣	∣	0
dence	dence	n1	dence	dence	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
inherite	inherite	vvi	inherit	inherit	0
Gods	Gods	npg1	Gods	God	0
kingdome	kingdome	n1	kingdom	kingdom	0
:	:	:	:	:	0
and	and	cc	and	and	0
those	those	d	those	those	0
that	that	cst	that	that	0
feede	feede	vvb	feed	feed	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
affections	affections	n2	affections	affection	0
in	in	p-acp	in	in	0
fleshly	fleshly	j	fleshly	fleshly	0
lustes	lustes	n2	lusts	lust	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
worldly	worldly	j	worldly	worldly	0
vanities	vanities	n2	vanities	vanity	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
taken	taken	vvn	taken	take	0
as	as	p-acp	as	as	0
beastes	beastes	n2	beasts	beast	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
pasture	pasture	n1	pasture	pasture	0
vntoo	vntoo	p-acp	unto	unto	0
slau	slau	n1	slau	slau	0
∣	∣	sy	∣	∣	0
ghter	ghter	n1	ghter	ghter	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
pleasure	pleasure	n1	pleasure	pleasure	0
and	and	cc	and	and	0
pastime	pastime	n1	pastime	pastime	0
worldely	worldely	j	worldly	worldly	0
,	,	,	,	,	0
vnto	vnto	p-acp	unto	unto	0
payne	payne	n1	pain	pain	0
and	and	cc	and	and	0
perdition	perdition	n1	perdition	perdition	0
eternally	eternally	av-j	eternally	eternal	0
.	.	.	.	.	1
Consider	Consider	np1	Consider	Consider	0
therfore	therfore	av	therefore	therefore	0
how	how	c-crq	how	how	0
Gods	Gods	npg1	Gods	God	0
children	children	n2	children	child	0
learne	learne	vvb	learn	learn	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
woorde	woorde	n1	word	word	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
holy	holy	j	holy	holy	0
Scripture	Scripture	n1	Scripture	scripture	0
for	for	p-acp	for	for	0
theire	theire	po32	their	their	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
so	so	av	so	so	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
reading	reading	vvg	reading	read	0
