HEre	HEre	av	HEre	here	0
now	now	av	now	now	0
haue	haue	vhb	have	have	0
you	you	pn22	you	you	0
(	(	(	(	(	0
most	most	ds	most	most	0
deare	deare	j-jn	deer	dear	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
worthye	worthye	j	worthy	worthy	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
Lady	Lady	n1	Lady	lady	0
)	)	)	)	)	0
this	this	d	this	this	0
idle	idle	j	idle	idle	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
feare	feare	vvb	fear	fear	0
(	(	(	(	(	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
Spi	Spi	np1	Spi	Spi	0
∣	∣	sy	∣	∣	0
ders	ders	n2-jn	dears	dear	0
webbe	webbe	n1	web	web	0
)	)	)	)	)	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
thought	thought	vvn	thought	think	0
fit	fit	n1	fit	fit	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
swept	swept	vvn	swept	sweep	0
away	away	av	away	away	0
,	,	,	,	,	0
then	then	av	then	then	0
worne	worne	vvn	worn	wear	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
purpose	purpose	n1	purpose	purpose	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
my	my	po11	my	my	0
part	part	n1	part	part	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
very	very	j	very	very	0
trueth	trueth	n1	truth	truth	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
cru	cru	fw-fr	cru	cru	0
∣	∣	sy	∣	∣	0
ell	ell	zz	ell	ell	0
fathers	fathers	n2	father's	father	0
among	among	p-acp	among	among	0
