COnsyderyng	COnsyderyng	vvg	Considering	considere	0
that	that	cst	that	that	0
the	the	dt	the	the	0
know	know	vvi	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
of	of	pp-f	of	of	0
thynges	thynges	n2	things	thing	0
past	past	p-acp	passed	past	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
excel	excel	vvi	excel	excel	0
∣	∣	sy	∣	∣	0
lent	lent	np1	lent	Lent	0
prince	prince	n1	prince	prince	0
)	)	)	)	)	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
necessarye	necessarye	j	necessary	necessary	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
woulde	woulde	vmd	would	will	0
passe	passe	vvi	pass	pass	0
ouer	ouer	p-acp	over	over	0
the	the	dt	the	the	0
tyme	tyme	n1	time	time	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
decent	decent	j	decent	decent	0
and	and	cc	and	and	0
Godly	Godly	j	Godly	godly	0
or	or	cc	or	or	0
∣	∣	sy	∣	∣	0
der	der	fw-mi	der	der	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
nombre	nombre	n1	number	number	0
of	of	pp-f	of	of	0
youre	youre	po22	your	your	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
people	people	n1	people	people	0
doo	doo	vdb	do	do	0
not	not	xx	not	not	0
vnderstande	vnderstande	vvi	understand	understand	0
other	other	j-jn	other	other	0
languages	languages	n2	languages	language	0
,	,	,	,	,	0
then	then	cs	then	than	0
theyr	theyr	po32	their	their	0
naturall	naturall	j	natural	natural	0
tounge	tounge	n1	tongue	tongue	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
duetye	duetye	n1	duty	duty	0
(	(	(	(	(	0
beynge	beynge	vbg	being	be	0
one	one	crd	one	one	0
that	that	d	that	that	0
spendeth	spendeth	vvz	spendeth	spend	0
all	all	d	all	all	0
hys	hys	po31	his	his	0
tyme	tyme	n1	time	time	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
settynge	settynge	vvg	setting	set	0
forth	forth	av	forth	forth	0
of	of	pp-f	of	of	0
bokes	bokes	n2	books	book	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Englyshe	Englyshe	jp	English	english	0
tounge	tounge	n1	tongue	tongue	0
)	)	)	)	)	0
emongest	emongest	p-acp	amongst	amongst	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
forth	forth	av	forth	forth	0
thys	thys	d	this	this	0
shorte	shorte	j	short	short	0
Cronicle	Cronicle	n1	Chronicle	chronicle	0
.	.	.	.	.	1
Wherein	Wherein	q-crq	Wherein	wherein	0
is	is	vbz	is	be	0
briefly	briefly	av-j	briefly	brief	0
declared	declared	vvn	declared	declare	0
all	all	d	all	all	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
