1	1	crd	1	1	0
I	I	pns11	I	i	0
Haue	Haue	vhb	Have	have	0
written	written	vvn	written	write	0
here	here	av	here	here	0
a	a	dt	a	a	0
Treatise	Treatise	n1	Treatise	treatise	0
in	in	p-acp	in	in	0
answere	answere	n1	answer	answer	0
to	to	p-acp	to	to	0
Mr.	Mr.	n1	Mr.	mr.	1
Fitzherberts	Fitzherberts	npg1	Fitzherberts	fitzherberts	0
Reply	Reply	n1	Reply	reply	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
POPES	POPES	ng1	POPES	pope	0
power	power	n1	power	power	0
to	to	pc-acp	to	to	0
depose	depose	vvi	depose	depose	0
PRINCES	PRINCES	n2	PRINCES	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
new	new	j	new	new	0
oath	oath	n1	oath	oath	0
of	of	pp-f	of	of	0
Allegi	Allegi	np1	Allegi	Allegi	0
∣	∣	sy	∣	∣	0
ance	ance	n1	ance	ance	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
fit	fit	j	fit	fit	0
to	to	p-acp	to	to	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
Deare	Deare	j-jn	Dear	dear	0
Countrimen	Countrimen	n2	Countrymen	countryman	0
,	,	,	,	,	0
those	those	d	those	those	0
especi	especi	fw-la	especi	especi	0
∣	∣	sy	∣	∣	0
ally	ally	n1	alley	ally	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
haue	haue	vhb	have	have	0
taken	taken	vvn	taken	take	0
vpon	vpon	p-acp	upon	upon	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
charge	charge	n1	charge	charge	0
to	to	pc-acp	to	to	0
teach	teach	vvi	teach	teach	0
,	,	,	,	,	0
and	and	cc	and	and	0
instruct	instruct	vvi	instruct	instruct	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
here	here	av	here	here	0
is	is	vbz	is	be	0
handled	handled	vvn	handled	handle	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
concerne	concerne	vvb	concern	concern	0
your	your	po22	your	your	0
soules	soules	n2	souls	soul	0
,	,	,	,	,	0
and	and	cc	and	and	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
sciences	sciences	n2	sciences	science	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
much	much	d	much	much	0
more	more	n1	more	moor	0
,	,	,	,	,	0
then	then	cs	then	than	0
my	my	po11	my	my	0
owne	owne	d	own	own	0
.	.	.	.	.	1
Doe	Doe	vdb	Do	do	0
not	not	xx	not	not	0
you	you	pn22	you	you	0
imagine	imagine	vvi	imagine	imagine	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
controuersie	controuersie	n1	controversy	controversy	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
twixt	twixt	p-acp	betwixt	betwixt	0
his	his	po31	his	his	0
Holinesse	Holinesse	n1	Holiness	holiness	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Soueraigne	Soueraigne	j-jn	Sovereign	sovereign	0
,	,	,	,	,	0
concer	concer	fw-fr	concer	concer	0
∣	∣	sy	∣	∣	0
ning	ning	n-vvg	ning	ning	0
your	your	po22	your	your	0
spirituall	spirituall	j	spiritual	spiritual	0
,	,	,	,	,	0
and	and	cc	and	and	0
temporall	temporall	j	temporal	temporal	0
allegiance	allegiance	n1	allegiance	allegiance	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
safely	safely	av-j	safely	safe	0
,	,	,	,	,	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
danger	danger	n1	danger	danger	0
of	of	pp-f	of	of	0
deadly	deadly	j	deadly	deadly	0
