IF	IF	cs	IF	if	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
instant	instant	n-jn	instant	instant	0
wee	wee	pns12	we	we	0
consider	consider	vvb	consider	consider	0
well	well	av	well	well	0
,	,	,	,	,	0
the	the	dt	the	the	0
estate	estate	n1	estate	estate	0
and	and	cc	and	and	0
condition	condition	n1	condition	condition	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
may	may	vmb	may	may	0
euidently	euidently	av-j	evidently	evident	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
ceiue	ceiue	n1	ceiue	ceiue	0
,	,	,	,	,	0
that	that	cst	that	that	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
hath	hath	vhz	hath	have	0
foretold	foretold	vvn	foretold	foretell	0
&	&	cc	&	and	0
promised	promised	vvn	promised	promise	0
,	,	,	,	,	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
truely	truely	av-j	truly	true	0
fulfilled	fulfilled	vvn	fulfilled	fulfil	0
and	and	cc	and	and	0
accomplished	accomplished	vvn	accomplished	accomplish	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
hauing	hauing	vhg	having	have	0
warned	warned	vvn	warned	warn	0
vs	vs	pno12	us	we	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
flictions	flictions	n2	flictions	fliction	0
&	&	cc	&	and	0
troubles	troubles	n2	troubles	trouble	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
afterward	afterward	av	afterwards	afterward	0
he	he	pns31	he	he	0
promised	promised	vvd	promised	promise	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
wayes	wayes	n2	ways	way	0
with	with	p-acp	with	with	0
her	her	pno31	her	she	0
,	,	,	,	,	0
Matth.	Matth.	np1	Matth.	Matth.	1
28.	28.	crd	28.	28.	0
40.	40.	crd	40.	40.	0
euen	euen	av	even	even	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
consum	consum	vvi	consume	consume	0
∣	∣	sy	∣	∣	0
mation	mation	n1	mansion	mansion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
her	her	po31	her	her	0
afflictions	afflictions	n2	afflictions	affliction	0
,	,	,	,	,	0
wrapped	wrapped	vvn	wrapped	wrap	0
vp	vp	a-acp	up	up	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
many	many	d	many	many	0
seuerall	seuerall	j	several	several	0
persecutions	persecutions	n2	persecutions	persecution	0
,	,	,	,	,	0
troubles	troubles	n2	troubles	trouble	0
and	and	cc	and	and	0
diuisions	diuisions	n2	divisions	division	0
:	:	:	:	:	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
mā	mā	n1	man	man	0
but	but	cc-acp	but	but	0
