CHRISTIAN	CHRISTIAN	np1	CHRISTIAN	Christian	0
READER	READER	n1	READER	reader	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
apt	apt	j	apt	apt	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
guided	guided	vvn	guided	guide	0
by	by	p-acp	by	by	0
Examples	Examples	n2	Examples	example	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
Precepts	Precepts	n2	Precepts	precept	0
;	;	;	;	;	0
especially	especially	av-j	especially	especial	0
by	by	p-acp	by	by	0
the	the	pno32	thee	they	0
the	the	dt	the	the	0
examples	examples	n2	examples	example	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
eminently	eminently	av-j	eminently	eminent	0
learned	learned	vvn	learned	learn	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
repute	repute	n1	repute	repute	0
for	for	p-acp	for	for	0
Pietie	Pietie	n1	Piety	piety	0
and	and	cc	and	and	0
Godliness	Godliness	n1	Godliness	godliness	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
as	as	p-acp	as	as	0
Looking-glasses	Looking-glasses	n2	Looking-glasses	looking-glass	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
places	places	n2	places	place	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
live	live	vvb	live	live	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
most	most	av-ds	most	most	0
people	people	n1	people	people	0
dress	dress	vvb	dress	dress	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
fall	fall	vvb	fallen	fall	0
into	into	p-acp	into	into	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
they	they	pns32	they	they	0
fall	fall	vvb	fallen	fall	0
like	like	av-j	like	like	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
croud	croud	n1	crowd	crowd	0
,	,	,	,	,	0
many	many	d	many	many	0
falling	falling	vvg	falling	fall	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
.	.	.	.	.	1
The	The	dt	The	the	0
bodies	bodies	n2	bodies	body	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
subject	subject	j-jn	subject	subject	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
infected	infected	vvn	infected	infect	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
illness	illness	n1	illness	illness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ayr	ayr	n1	air	air	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
