FRIENDS	FRIENDS	ng1	FRIENDS	friend	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
Pearl	Pearl	n1	Pearl	pearl	0
is	is	vbz	is	be	0
hid	hid	vvn	hid	hide	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
field	field	n1	field	field	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
field	field	n1	field	field	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
World	World	n1	World	world	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
dig	dig	vvi	dig	dig	0
deep	deep	j-jn	deep	deep	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
digged	digged	vvn	dug	dig	0
deep	deep	j-jn	deep	deep	0
&	&	cc	&	and	0
found	found	vvd	found	find	0
it	it	pn31	it	it	0
,	,	,	,	,	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
sell	sell	vvi	fell	sell	0
all	all	d	all	all	0
to	to	pc-acp	to	to	0
purchase	purchase	vvi	purchase	purchase	0
and	and	cc	and	and	0
redeem	redeem	vvi	redeem	redeem	0
this	this	d	this	this	0
field	field	n1	field	field	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
know	know	vvi	know	know	0
the	the	dt	the	the	0
Merchants	Merchants	ng1	Merchant's	merchant	0
man	man	n1	man	man	0
that	that	cst	that	that	0
makes	makes	vvz	makes	make	0
the	the	dt	the	the	0
Ex	Ex	fw-la	Ex	ex	0
∣	∣	sy	∣	∣	0
change	change	n1	change	change	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
shall	shall	vmb	shall	shall	0
you	you	pn22	you	you	0
know	know	vvi	know	know	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
redeem	redeem	vvi	redeem	redeem	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
Im	Im	p-acp	Im	in	0
∣	∣	sy	∣	∣	0
manuel	manuel	fw-ge	manuel	manuel	0
,	,	,	,	,	0
God	God	n1	God	god	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
;	;	;	;	;	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
shall	shall	vmb	shall	shall	0
you	you	pn22	you	you	0
know	know	vvi	know	know	0
the	the	dt	the	the	0
Woman	Woman	n1	Woman	woman	0
that	that	cst	that	that	0
lost	lost	vvd	lost	lose	0
the	the	dt	the	the	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
silver	silver	n1	silver	silver	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
seeking	seeking	vvg	seeking	seek	0
it	it	pn31	it	it	0
without	without	p-acp	without	without	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
candle	candle	n1	candle	candle	0
was	was	vbds	was	be	0
lighted	lighted	vvn	lighted	light	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
house	house	n1	house	house	0
swept	swept	vvd	swept	sweep	0
,	,	,	,	,	0
she	she	pns31	she	she	0
found	found	vvd	found	find	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
own	own	d	own	own	0
house	house	n1	house	house	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
she	she	pns31	she	she	0
did	did	vdd	did	do	0
know	know	vvi	know	know	0
the	the	dt	the	the	0
joy	joy	n1	joy	joy	0
,	,	,	,	,	0
and	and	cc	and	and	0
went	went	vvd	went	go	0
and	and	cc	and	and	0
told	told	vvd	told	tell	0
her	her	po31	her	her	0
neighbours	neighbours	n2	neighbours	neighbour	0
;	;	;	;	;	0
and	and	cc	and	and	0
then	then	cs	then	than	0
she	she	pns31	she	she	0
did	did	vdd	did	do	0
know	know	vvi	know	know	0
the	the	dt	the	the	0
day-star	day-star	n1	daystar	daystar	0
rise	rise	vvb	rise	rise	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
day	day	n1	day	day	0
dawning	dawning	vvg	dawning	dawn	0
whereby	whereby	c-crq	whereby	whereby	0
the	the	dt	the	the	0
light	light	n1	light	light	0
shal	shal	vmb	shall	shall	0
be	be	vbi	be	be	0
known	known	vvn	known	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
shines	shines	vvz	shines	shine	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
East	East	n1	East	east	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
West	West	n1	West	west	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
and	and	cc	and	and	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
oyl	oyl	n1	oil	oil	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
Lamp	Lamp	n1	Lamp	lamp	0
if	if	cs	if	if	0
thou	thou	pns21	thou	thou	0
enter	enter	vvb	enter	enter	0
in	in	p-acp	in	in	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Bridegroom	Bridegroom	n1	Bridegroom	bridegroom	0
;	;	;	;	;	0
the	the	dt	the	the	0
light	light	n1	light	light	0
shines	shines	vvz	shines	shine	0
in	in	p-acp	in	in	0
thine	thine	po21	thine	thy	0
own	own	d	own	own	0
heart	heart	n1	heart	heart	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
thee	thee	pno21	thee	thou	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
know	know	vvi	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Glory	Glory	n1	Glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
it	it	pn31	it	it	0
comes	comes	vvz	comes	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
anointing	anointing	vvg	anointing	anoint	0
which	which	r-crq	which	which	0
abideth	abideth	vvz	abideth	abide	0
in	in	p-acp	in	in	0
thee	thee	pno21	thee	thou	0
will	will	vmb	will	will	0
teach	teach	vvi	teach	teach	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
teach	teach	vvi	teach	teach	0
thee	thee	pno21	thee	thou	0
thou	thou	pns21	thou	thou	0
shalt	shalt	vm2	shalt	shall	0
continue	continue	vvi	continue	continue	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
this	this	d	this	this	0
holy	holy	j	holy	holy	0
Ʋnction	Ʋnction	n1	Ʋnction	ʋnction	0
comes	comes	vvz	comes	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
hast	hast	vh2	hast	have	0
received	received	vvn	received	receive	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
here	here	av	here	here	0
thou	thou	pns21	thou	thou	0
shalt	shalt	vm2	shalt	shall	0
know	know	vvi	know	know	0
that	that	cst	that	that	0
thou	thou	pns21	thou	thou	0
need	need	vvb	need	need	0
no	no	dx	no	no	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
teach	teach	vvi	teach	teach	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
same	same	d	same	same	0
anointing	anointing	vvg	anointing	anoint	0
doth	doth	vdz	does	do	0
teach	teach	vvi	teach	teach	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
ingrafted	ingrafted	j-vvn	ingrafted	ingraft	0
word	word	n1	word	word	0
,	,	,	,	,	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
your	your	po22	your	your	0
souls	souls	n2	souls	soul	0
,	,	,	,	,	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
hidden	hidden	j-vvn	hidden	hide	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
renewed	renewed	vvn	renewed	renew	0
day	day	n1	day	day	0
by	by	p-acp	by	by	0
day	day	n1	day	day	0
is	is	vbz	is	be	0
found	found	vvn	found	find	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
meek	meek	j	meek	meek	0
and	and	cc	and	and	0
quiet	quiet	j-jn	quiet	quiet	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
price	price	n1	price	price	0
,	,	,	,	,	0
is	is	vbz	is	be	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Covenant	Covenant	n1	Covenant	covenant	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
that	that	cst	that	that	0
brings	brings	vvz	brings	bring	0
salvation	salvation	n1	salvation	salvation	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
season	season	vvi	season	season	0
it	it	pn31	it	it	0
and	and	cc	and	and	0
thy	thy	po21	thy	thy	0
words	words	n2	words	word	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
teach	teach	vvi	teach	teach	0
thee	thee	pno21	thee	thou	0
to	to	pc-acp	to	to	0
deny	deny	vvi	deny	deny	0
all	all	d	all	all	0
ungodlinesse	ungodlinesse	n1	ungodliness	ungodliness	0
and	and	cc	and	and	0
worldly	worldly	j	worldly	worldly	0
lusts	lusts	n2	lustest	lust	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
heap	heap	n1	heap	heap	0
of	of	pp-f	of	of	0
Teachers	Teachers	n2	Teachers	teacher	0
set	set	vvn	set	set	0
up	up	a-acp	up	up	0
by	by	p-acp	by	by	0
mens	mens	ng2	men's	man	0
lusts	lusts	n2	lustest	lust	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
that	that	cst	that	that	0
turn	turn	vvb	turn	turn	0
this	this	d	this	this	0
grace	grace	n1	grace	grace	0
into	into	p-acp	into	into	0
wantonnesse	wantonnesse	n1	wantonness	wantonness	0
,	,	,	,	,	0
and	and	cc	and	and	0
lives	lives	vvz	lives	live	0
wildely	wildely	av-j	wildly	wild	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
teach	teach	vvi	teach	teach	0
thee	thee	pno21	thee	thou	0
to	to	pc-acp	to	to	0
live	live	vvi	live	live	0
soberly	soberly	av-j	soberly	sober	0
.	.	.	.	.	1
The	The	dt	The	the	0
Devil	Devil	n1	Devil	devil	0
went	went	vvd	went	go	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
deceived	deceived	vvd	deceived	deceive	0
the	the	dt	the	the	0
na	na	fw-mi	na	na	0
∣	∣	sy	∣	∣	0
