HOw	HOw	q-crq	HOw	how	0
cumbersome	cumbersome	j	cumbersome	cumbersome	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
)	)	)	)	)	0
and	and	cc	and	and	0
dangerous	dangerous	j	dangerous	dangerous	0
a	a	dt	a	a	0
taske	taske	n1	task	task	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
ingrosse	ingrosse	vvi	engross	engross	0
&	&	cc	&	and	0
divulge	divulge	vvi	divulge	divulge	0
the	the	dt	the	the	0
dooings	dooings	n2-vdg	doings	do	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
especiallie	especiallie	av-j	especially	especial	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
parties	parties	n2	parties	party	0
registred	registred	vvn	registered	register	0
or	or	cc	or	or	0
their	their	po32	their	their	0
issue	issue	n1	issue	issue	0
are	are	vbr	are	be	0
liuing	liuing	vvg	living	live	0
:	:	:	:	:	0
both	both	d	both	both	0
common	common	j	common	common	0
reason	reason	n1	reason	reason	0
sufficientlie	sufficientlie	av-j	sufficiently	sufficient	0
acknowledgeth	acknowledgeth	vvz	acknowledgeth	acknowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
dailie	dailie	j	daily	daily	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
perience	perience	n1	perience	perience	0
infalliblie	infalliblie	av-j	infallibly	infallible	0
prooueth	prooueth	vvz	proveth	prove	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
man	man	n1	man	man	0
by	by	p-acp	by	by	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
is	is	vbz	is	be	0
so	so	av	so	so	0
parciallie	parciallie	av-j	partially	partial	0
affected	affected	vvn	affected	affect	0
to	to	p-acp	to	to	0
himselfe	himselfe	px31	himself	himself	0
and	and	cc	and	and	0
his	his	po31	his	his	0
bloud	bloud	n1	blood	blood	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
agreeued	agreeued	vvn	aggrieved	aggrieve	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
chronicler	chronicler	n1	chronicler	chronicler	0
for	for	p-acp	for	for	0
recording	recording	vvg	recording	record	0
a	a	dt	a	a	0
peeuish	peeuish	j	peevish	peevish	0
trespasse	trespasse	n1	trespass	trespass	0
,	,	,	,	,	0
than	than	cs	than	than	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
offended	offended	vvn	offended	offend	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
friend	friend	n1	friend	friend	0
for	for	p-acp	for	for	0
committing	committing	vvg	committing	commit	0
an	an	dt	and	a	0
heinous	heinous	j	heinous	heinous	0
treason	treason	n1	treason	treason	0
.	.	.	.	.	1
Ouer	Ouer	p-acp	Over	over	0
this	this	d	this	this	0
,	,	,	,	,	0
