Christian	Christian	np1	Christian	Christian	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
Curse	Curse	n1	Curse	curse	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
and	and	cc	and	and	0
his	his	po31	his	his	0
people	people	n1	people	people	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
subject	subject	n-jn	subject	subject	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
following	following	j-vvg	following	follow	0
Pious	Pious	j	Pious	pious	0
and	and	cc	and	and	0
Elabourate	Elabourate	vvi	Elaborate	elaborate	0
discourse	discourse	n1	discourse	discourse	0
)	)	)	)	)	0
never	never	av-x	never	never	0
more	more	av-dc	more	more	0
lp	lp	vvi	lp	lp	0
from	from	p-acp	from	from	0
Heaven	Heaven	n1	Heaven	heaven	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
more	more	av-dc	more	more	0
servant	servant	n1	servant	servant	0
prayers	prayers	n2	prayers	prayer	0
from	from	p-acp	from	from	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
put	put	vvn	put	put	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
heaven	heaven	n1	heaven	heaven	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
then	then	av	then	then	0
aaming	aaming	vvg	aaming	aam	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
t	t	pn31	tO	it	0
this	this	d	this	this	0
time	time	n1	time	time	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
some	some	d	some	some	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
(	(	(	(	(	0
and	and	cc	and	and	0
not	not	xx	not	not	0
a	a	dt	a	a	0
sin	sin	n1	since	sin	0
)	)	)	)	)	0
that	that	d	that	that	0
are	are	vbr	are	be	0
so	so	av	so	so	0
engaged	engaged	vvn	engaged	engage	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
own	own	d	own	own	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
terests	terests	n2	terests	terest	0
,	,	,	,	,	0
that	that	cst	that	that	0
le	le	zz	le	le	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
and	and	cc	and	and	0
his	his	po31	his	his	0
people	people	n1	people	people	0
,	,	,	,	,	0
sink	sink	vvb	sink	sink	0
or	or	cc	or	or	0
swim	swim	vvi	swim	swim	0
,	,	,	,	,	0
they	they	pns32	they	they	0
care	care	vvb	care	care	0
not	not	xx	not	not	0
,	,	,	,	,	0
so	so	av	so	so	0
their	their	po32	their	their	0
own	own	d	own	own	0
nds	nds	n2	nds	nd	0
be	be	vbb	be	be	0
