Honourable	Honourable	j	Honourable	honourable	0
and	and	cc	and	and	0
Honoured	Honoured	j-vvn	Honoured	honour	0
,	,	,	,	,	0
WHen	WHen	c-crq	WHen	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
received	received	vvn	received	receive	0
your	your	po22	your	your	0
Order	Order	n1	Order	order	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Prin	Prin	n1	Prin	prin	0
∣	∣	sy	∣	∣	0
ting	ting	zf	ting	thing	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
I	I	pns11	I	i	0
procured	procured	vvd	procured	procure	0
the	the	dt	the	the	0
best	best	js	best	best	0
Copy	Copy	n1	Copy	copy	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
and	and	cc	and	and	0
the	the	dt	the	the	0
best	best	js	best	best	0
me	me	pno11	me	i	0
∣	∣	sy	∣	∣	0
mory	mory	n1	mory	mory	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
delivered	delivered	vvd	delivered	deliver	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
deavoured	deavoured	vvn	deavoured	deavour	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
view	view	n1	view	view	0
;	;	;	;	;	0
not	not	xx	not	not	0
without	without	p-acp	without	without	0
a	a	dt	a	a	0
little	little	j	little	little	0
addition	addition	n1	addition	addition	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
heads	heads	n2	heads	head	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
then	then	av	then	then	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
enlarge	enlarge	vvi	enlarge	enlarge	0
.	.	.	.	.	1
The	The	dt	The	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
addresse	addresse	vvi	address	address	0
My	My	po11	My	my	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
complement	complement	vvi	compliment	compliment	0
and	and	cc	and	and	0
flatter	flatter	vvi	flatter	flatter	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
