ALthough	ALthough	cs	ALthough	although	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
worshipful	worshipful	j	worshipful	worshipful	0
)	)	)	)	)	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
last	last	ord	last	last	0
being	being	vbg	being	be	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
principall	principall	j-jn	principal	principal	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
why	why	c-crq	why	why	0
I	I	pns11	I	i	0
chose	chose	vvd	chosen	choose	0
that	that	d	that	that	0
text	text	n1	text	text	0
of	of	pp-f	of	of	0
thanksgiuing	thanksgiuing	n1	thanksgiving	thanksgiving	0
(	(	(	(	(	0
be	be	vbi	be	be	0
¦	¦	sy	¦	¦	0
ing	ing	zz	ing	ing	0
a	a	zz	a	a	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Psalm	Psalm	n1	Psalm	psalm	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
read	read	vvn	read	read	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
church	church	n1	church	church	0
that	that	cst	that	that	0
Sabboth	Sabboth	n1	Sabbath	sabbath	0
)	)	)	)	)	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
stir	stir	vvi	stir	stir	0
vp	vp	a-acp	up	up	0
our	our	po12	our	our	0
mindes	mindes	n2	minds	mind	0
to	to	pc-acp	to	to	0
render	render	vvi	render	render	0
hearty	hearty	j	hearty	hearty	0
prayse	prayse	n1	praise	praise	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
peaceable	peaceable	j	peaceable	peaceable	0
,	,	,	,	,	0
hap	hap	n1	hap	hap	0
∣	∣	sy	∣	∣	0
py	py	n1	py	pie	0
,	,	,	,	,	0
and	and	cc	and	and	0
ioyfull	ioyfull	j	joyful	joyful	0
entrance	entrance	n1	entrance	entrance	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
Gracious	Gracious	j	Gracious	gracious	0
Soueraigne	Soueraigne	j-jn	Sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
the	the	dt	the	the	0
King	King	n1	King	king	0
his	his	po31	his	his	0
Maiesty	Maiesty	n1	Majesty	majesty	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
possession	possession	n1	possession	possession	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
his	his	po31	his	his	0
Realmes	Realmes	n2	Realms	realm	0
and	and	cc	and	and	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
assured	assured	j-vvn	assured	assure	0
hope	hope	n1	hope	hope	0
which	which	r-crq	which	which	0
wee	wee	pns12	we	we	0
may	may	vmb	may	may	0
euery	euery	d	every	every	0
way	way	n1	way	way	0
conceiue	conceiue	vvb	conceive	conceive	0
of	of	pp-f	of	of	0
hauing	hauing	j-vvg	having	have	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gos	Gos	vvz	Gos	go	0
∣	∣	sy	∣	∣	0
pel	pel	n1	pel	pel	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
Graces	Graces	n2	Graces	grace	0
religious	religious	j	religious	religious	0
care	care	n1	care	care	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
most	most	av-ds	most	most	0
firmely	firmely	av-j	firmly	firm	0
established	established	vvn	established	establish	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
mongst	mongst	p-acp	amongst	among	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
likewise	likewise	av	likewise	likewise	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
text	text	n1	text	text	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
duties	duties	n2	duties	duty	0
wee	wee	pns12	we	we	0
owe	owe	vvb	owe	owe	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
these	these	d	these	these	0
and	and	cc	and	and	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
his	his	po31	his	his	0
inestimable	inestimable	j	inestimable	inestimable	0
benefites	benefites	n2	benefits	benefit	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
seeing	seeing	vvg	seeing	see	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
now	now	av	now	now	0
commit	commit	vvi	commit	commit	0
to	to	p-acp	to	to	0
Presse	Presse	vvb	Press	press	0
a	a	dt	a	a	0
little	little	j	little	little	0
Treatise	Treatise	n1	Treatise	treatise	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
Soule	Soule	n1	Soul	soul	0
and	and	cc	and	and	0
Spirit	Spirit	n1	Spirit	spirit	0
of	of	pp-f	of	of	0
Man	Man	n1	Man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
giftes	giftes	n2	gifts	gift	0
and	and	cc	and	and	0
graces	graces	n2	graces	grace	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
wee	wee	pns12	we	we	0
are	are	vbr	are	be	0
bound	bound	vvn	bound	bind	0
espe	espe	fw-fr	espe	espe	0
∣	∣	sy	∣	∣	0
cially	cially	av-j	cially	cial	0
to	to	pc-acp	to	to	0
render	render	vvi	render	render	0
prayses	prayses	n2	praises	praise	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
therefore	therefore	av	therefore	therefore	0
thought	thought	vvn	thought	think	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
impertinent	impertinent	j	impertinent	impertinent	0
to	to	pc-acp	to	to	0
adde	adde	vvi	add	add	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
of	of	pp-f	of	of	0
