Madame	Madame	n1	Madame	madam	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Cannot	Cannot	vmbx	Cannot	can	0
but	but	p-acp	but	but	0
make	make	vvi	make	make	0
account	account	n1	account	account	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
thankes	thankes	n2	thanks	thanks	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
fauour	fauour	n1	favour	favour	0
and	and	cc	and	and	0
acceptance	acceptance	n1	acceptance	acceptance	0
:	:	:	:	:	0
acknowledgement	acknowledgement	n1	acknowledgement	acknowledgement	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
least	least	ds	least	least	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
duty	duty	n1	duty	duty	0
.	.	.	.	.	1
He	He	pns31	He	he	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
confesse	confesse	vvi	confess	confess	0
a	a	dt	a	a	0
debt	debt	n1	debt	debt	0
,	,	,	,	,	0
neuer	neuer	av-x	never	never	0
meanes	meanes	vvz	means	mean	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
it	it	pn31	it	it	0
:	:	:	:	:	0
some	some	d	some	some	0
such	such	d	such	such	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
:	:	:	:	:	0
And	And	cc	And	and	0
others	others	n2-jn	others	other	0
againe	againe	av	again	again	0
,	,	,	,	,	0
will	will	vmb	will	will	0
inge	inge	vvi	inge	inge	0
∣	∣	sy	∣	∣	0
nuously	nuously	av-j	nuously	nuous	0
confesse	confesse	vvb	confess	confess	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
not	not	xx	not	not	0
pay	pay	vvi	pay	pay	0
;	;	;	;	;	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
cannot	cannot	vmbx	cannot	can	0
.	.	.	.	.	1
And	And	cc	And	and	0
inability	inability	n1	inability	inability	0
gi	gi	zz	gi	gi	0
∣	∣	sy	∣	∣	0
ueth	ueth	n1	ueth	ueth	0
an	an	cs	and	an	0
acquittance	acquittance	n1	acquittance	acquittance	0
,	,	,	,	,	0
though	though	cs	though	though	0
