Right	Right	av-jn	Right	right	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Haue	Haue	vhb	Have	have	0
presumed	presumed	vvn	presumed	presume	0
vnder	vnder	p-acp	under	under	0
your	your	po22	your	your	0
worthy	worthy	j	worthy	worthy	0
Name	Name	n1	Name	name	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
forth	forth	av	forth	forth	0
a	a	dt	a	a	0
few	few	d	few	few	0
Obseruations	Obseruations	n2	Observations	observation	0
(	(	(	(	(	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
)	)	)	)	)	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Parable	Parable	n1	Parable	parable	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Rich	Rich	j	Rich	rich	0
man	man	n1	man	man	0
and	and	cc	and	and	0
Lazarus	Lazarus	np1	Lazarus	Lazarus	0
:	:	:	:	:	0
A	A	dt	A	a	0
Scripture	Scripture	n1	Scripture	scripture	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
well	well	av	well	well	0
beset	beset	vvn	beset	beset	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Preacher	Preacher	n1	Preacher	preacher	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
age	age	n1	age	age	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
ful	ful	j	full	full	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
of	of	pp-f	of	of	0
sinne	sinne	n1	sin	sin	0
as	as	c-acp	as	as	0
ours	ours	png12	ours	we	0
is	is	vbz	is	be	0
:	:	:	:	:	0
An	An	dt	And	a	0
age	age	n1	age	age	0
and	and	cc	and	and	0
time	time	n1	time	time	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
vngodlinesse	vngodlinesse	n1	ungodliness	ungodliness	0
,	,	,	,	,	0
Preface	Preface	n1	Preface	preface	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
trunesse	trunesse	fw-fr	trunesse	trunesse	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
.	.	.	.	.	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
(	(	(	(	(	0
a	a	av	a	a	0
)	)	)	)	)	0
L.	L.	n1	L.	lord	0
of	of	pp-f	of	of	0
Plessis	Plessis	np1	Plessis	Plessis	0
once	once	a-acp	once	once	0
sayde	sayde	vvd	said	say	0
)	)	)	)	)	0
was	was	vbds	was	be	0
wont	wont	vvn	wont	wont	0
but	but	p-acp	but	but	0
to	to	pc-acp	to	to	0
