Beloved	Beloved	j-vvn	Beloved	belove	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Saviour	Saviour	n1	Saviour	saviour	0
!	!	!	!	!	1
IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
a	a	dt	a	a	0
Complement	Complement	n1	Compliment	compliment	0
I	I	pns11	I	i	0
pass	pass	vvb	pass	pass	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
tell	tell	vvb	tell	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Souls	Souls	n2	Souls	soul	0
are	are	vbr	are	be	0
very	very	av	very	very	0
dear	dear	j-jn	dear	dear	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
even	even	av	even	even	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
own	own	d	own	own	0
;	;	;	;	;	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Salvation	Salvation	n1	Salvation	salvation	0
as	as	p-acp	as	as	0
my	my	po11	my	my	0
own	own	d	own	own	0
,	,	,	,	,	0
desired	desired	vvd	desired	desire	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
perswaded	perswaded	vvn	persuaded	persuade	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
put	put	vvn	put	put	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Mi	Mi	fw-mi	Mi	mi	0
∣	∣	sy	∣	∣	0
nistry	nistry	n1	nistry	nistry	0
specially	specially	av-j	specially	special	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	d	that	that	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
gave	gave	vvd	gave	give	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
Talents	Talents	n2	Talents	talent	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
;	;	;	;	;	0
that	that	d	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
improve	improve	vvi	improve	improve	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
advantage	advantage	n1	advantage	advantage	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
first	first	ord	first	first	0
I	I	pns11	I	i	0
came	came	vvd	came	come	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
young	young	j	young	young	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
my	my	po11	my	my	0
self	self	n1	self	self	0
was	was	vbds	was	be	0
young	young	j	young	young	0
also	also	av	also	also	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
many	many	d	many	many	0
years	years	n2	years	year	0
are	are	vbr	are	be	0
past	past	j	past	past	0
and	and	cc	and	and	0
gone	gone	vvn	gone	go	0
since	since	c-acp	since	since	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
first	first	ord	first	first	0
related	related	vvn	related	relate	0
the	the	dt	the	the	0
one	one	crd	one	one	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
;	;	;	;	;	0
our	our	po12	our	our	0
Age	Age	n1	Age	age	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
gins	gins	vvz	begins	begin	0
to	to	pc-acp	to	to	0
decline	decline	vvi	decline	decline	0
;	;	;	;	;	0
Old	Old	j	Old	old	0
