To	To	p-acp	To	to	0
the	the	dt	the	the	0
Most	Most	av-ds	Most	most	0
High	High	j	High	high	0
,	,	,	,	,	0
Puissant	Puissant	j	Puissant	puissant	0
,	,	,	,	,	0
and	and	cc	and	and	0
Noble	Noble	j	Noble	noble	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
HENRY	HENRY	np1	HENRY	Henry	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
;	;	;	;	;	0
Earl	Earl	n1	Earl	earl	0
Marshal	Marshal	n1	Marshal	marshal	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
;	;	;	;	;	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Arundel	Arundel	np1	Arundel	Arundel	0
,	,	,	,	,	0
Sur	Sur	np1	Sur	Sur	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
,	,	,	,	,	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
,	,	,	,	,	0
and	and	cc	and	and	0
Norwich	Norwich	np1	Norwich	Norwich	0
;	;	;	;	;	0
Lord	Lord	n1	Lord	lord	0
Howard	Howard	np1	Howard	Howard	0
,	,	,	,	,	0
Mowbray	Mowbray	np1	Mowbray	Mowbray	0
,	,	,	,	,	0
Segrave	Segrave	np1	Segrave	Segrave	0
,	,	,	,	,	0
Brews	Brews	vvz	Brews	brew	0
of	of	pp-f	of	of	0
Gower	Gower	np1	Gower	Gower	0
,	,	,	,	,	0
Fitz-Alan	Fitz-Alan	np1	Fitz-Alan	Fitz-Alan	0
,	,	,	,	,	0
Warren	Warren	np1	Warren	Warren	0
,	,	,	,	,	0
Clun	Clun	np1	Clun	Clun	0
,	,	,	,	,	0
Oswaldestre	Oswaldestre	np1	Oswaldestre	Oswaldestre	0
,	,	,	,	,	0
Matravers	Matravers	np1	Matravers	Matravers	0
,	,	,	,	,	0
Scales	Scales	n2	Scales	scale	0
,	,	,	,	,	0
Graystock	Graystock	np1	Graystock	Graystock	0
,	,	,	,	,	0
Furnedal	Furnedal	n1	Furnedal	furnedal	0
of	of	pp-f	of	of	0
Sheffeild	Sheffeild	np1	Sheffeild	Sheffeild	0
,	,	,	,	,	0
and	and	cc	and	and	0
Howard	Howard	np1	Howard	Howard	0
of	of	pp-f	of	of	0
Castle-Rising	Castle-Rising	j	Castlerising	castlerising	0
;	;	;	;	;	0
Constable	Constable	n1	Constable	constable	0
and	and	cc	and	and	0
Gover	Gover	np1	Gover	Gover	0
∣	∣	sy	∣	∣	0
nour	nour	n1	nou_r_	nou_r_	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Royal	Royal	j	Royal	royal	0
Castle	Castle	n1	Castle	castle	0
,	,	,	,	,	0
and	and	cc	and	and	0
Honour	Honour	n1	Honour	honour	0
of	of	pp-f	of	of	0
Wind	Wind	n1	Wind	wind	0
∣	∣	sy	∣	∣	0
sor	sor	p-acp	sor	for	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Warden	Warden	n1	Warden	warden	0
of	of	pp-f	of	of	0
the	the	pno32	thee	they	0
For	For	c-acp	For	for	0
∣	∣	sy	∣	∣	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
Windsor	Windsor	np1	Windsor	Windsor	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
,	,	,	,	,	0
Surry	Surry	np1	Surry	Surry	0
,	,	,	,	,	0
and	and	cc	and	and	0
Berks	Berks	np1	Berks	Berks	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
Norwich	Norwich	np1	Norwich	Norwich	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
