Much	Much	av-d	Much	much	0
honoured	honoured	vvn	honoured	honour	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
sweetnesse	sweetnesse	n1	sweetness	sweetness	0
of	of	pp-f	of	of	0
Communion	Communion	n1	Communion	communion	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
(	(	(	(	(	0
whereby	whereby	c-crq	whereby	whereby	0
Saints	Saints	n2	Saints	saint	0
taste	taste	vvb	taste	taste	0
and	and	cc	and	and	0
see	see	vvb	see	see	0
how	how	c-crq	how	how	0
good	good	j	good	good	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
is	is	vbz	is	be	0
)	)	)	)	)	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
clearly	clearly	av-j	clearly	clear	0
discerned	discerned	vvn	discerned	discern	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
own	own	d	own	own	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
sonall	sonall	j	sonall	sonall	0
experience	experience	n1	experience	experience	0
,	,	,	,	,	0
than	than	cs	than	than	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
clared	clared	vvn	clared	clare	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
verball	verball	j	verbal	verbal	0
expressions	expressions	n2	expressions	expression	0
.	.	.	.	.	1
This	This	d	This	this	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
pitch	pitch	n1	pitch	pitch	0
of	of	pp-f	of	of	0
Adams	Adams	npg1	Adams	Adam	0
happinesse	happinesse	n1	happiness	happiness	0
,	,	,	,	,	0
during	during	p-acp	during	during	0
his	his	po31	his	his	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
created	created	vvn	created	create	0
integrity	integrity	n1	integrity	integrity	0
,	,	,	,	,	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
was	was	vbds	was	be	0
admitted	admitted	vvn	admitted	admit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
enjoyment	enjoyment	n1	enjoyment	enjoyment	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
grand	grand	j	grand	grand	0
priviledge	priviledge	n1	privilege	privilege	0
;	;	;	;	;	0
what	what	q-crq	what	what	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
then	then	av	then	then	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
fal	fal	n1	fall	fall	0
∣	∣	sy	∣	∣	0
len	len	j	len	len	0
Off-spring	Off-spring	n1	Offspring	offspring	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
restored	restored	vvn	restored	restore	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
great	great	j	great	great	0
exaltation	exaltation	n1	exaltation	exaltation	0
?	?	?	?	?	1
And	And	cc	And	and	0
yet	yet	av	yet	yet	0
we	we	pns12	we	we	0
know	know	vvb	know	know	0
that	that	d	that	that	0
Beleevers	Beleevers	n2	Believers	believer	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
faith	faith	n1	faith	faith	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
are	are	vbr	are	be	0
reinsta	reinsta	fw-es	reinsta	reinsta	0
∣	∣	sy	∣	∣	0
ted	ted	vvn	ted	t	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
advancement	advancement	n1	advancement	advancement	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
many	many	d	many	many	0
times	times	n2	times	time	0
inabled	inabled	vvn	enabled	enable	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
feelingly	feelingly	av-vvg	feelingly	feel	0
,	,	,	,	,	0
.	.	.	.	.	1
1	1	crd	1	1	0
Joh.	Joh.	np1	Joh.	Joh.	1
1.3	1.3	crd	1.3	1.3	0
.	.	.	.	.	0
truly	truly	av-j	truly	true	0
our	our	po12	our	our	0
fellowshp	fellowshp	n1	fellowshp	fellowshp	0
,	,	,	,	,	0
(	(	(	(	(	0
or	or	cc	or	or	0
our	our	po12	our	our	0
