HAaving	HAaving	vvg	HAaving	haave	0
lately	lately	av-j	lately	late	0
an	an	dt	and	a	0
Occasion	Occasion	n1	Occasion	occasion	0
that	that	cst	that	that	0
called	called	vvd	called	call	0
me	me	pno11	me	i	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Country	Country	n1	Country	country	0
about	about	p-acp	about	about	0
a	a	dt	a	a	0
small	small	j	small	small	0
Affair	Affair	n1	Affair	affair	0
,	,	,	,	,	0
relating	relating	vvg	relating	relate	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Member	Member	n1	Member	member	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Company	Company	n1	Company	company	0
,	,	,	,	,	0
I	I	pns11	I	i	0
there	there	zz	there	there	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cidentally	cidentally	av-j	cidentally	cidental	0
had	had	vhd	had	have	0
an	an	dt	and	a	0
opportunity	opportunity	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
behold	behold	vvi	behold	behold	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Houses	Houses	n2	Houses	house	0
of	of	pp-f	of	of	0
Charity	Charity	n1	Charity	charity	0
belonging	belonging	vvg	belonging	belong	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Corporation	Corporation	n1	Corporation	corporation	0
;	;	;	;	;	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
I	I	pns11	I	i	0
vi	vi	crd	vi	vi	0
∣	∣	sy	∣	∣	0
sited	sited	vvn	sited	site	0
two	two	crd	two	two	0
Almes-Houses	Almes-Houses	n2	Almes-Houses	almes-house	0
,	,	,	,	,	0
and	and	cc	and	and	0
two	two	crd	two	two	0
Schools	Schools	n2	Schools	school	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
Schools	Schools	n2	Schools	school	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
many	many	d	many	many	0
expert	expert	j	expert	expert	0
and	and	cc	and	and	0
witty	witty	j	witty	witty	0
Boyes	Boyes	n2	Boys	boy	0
,	,	,	,	,	0
and	and	cc	and	and	0
very	very	av	very	very	0
oppertunely	oppertunely	av-j	oppertunely	opportune	0
came	came	vvd	came	come	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Spectator	Spectator	n1	Spectator	spectator	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Play	Play	n1	Play	play	0
Acted	Acted	vvn	Acted	act	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Boyes	Boyes	n2	Boys	boy	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Schools	Schools	n2	Schools	school	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
performed	performed	vvn	performed	perform	0
beyond	beyond	p-acp	beyond	beyond	0
belief	belief	n1	belief	belief	0
,	,	,	,	,	0
