ALL	ALL	av-d	ALL	all	0
Scripture	Scripture	n1	Scripture	scripture	0
is	is	vbz	is	be	0
giuen	giuen	vvn	given	give	0
by	by	p-acp	by	by	0
inspiration	inspiration	n1	inspiration	inspiration	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
(	(	(	(	(	0
deare	deare	j-jn	deer	dear	0
and	and	cc	and	and	0
louing	louing	j-vvg	loving	love	0
Brethren	Brethren	n2	Brothers	brethren	0
)	)	)	)	)	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
profitable	profitable	j	profitable	profitable	0
for	for	p-acp	for	for	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
2.	2.	crd	2.	2.	1
Tim.	Tim.	np1	Tim.	Tim.	0
3.16.17	3.16.17	crd	3.16.17	3.16.17	0
for	for	p-acp	for	for	0
re	re	fw-it	re	re	0
∣	∣	sy	∣	∣	0
proofe	proofe	n1	proof	proof	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
correction	correction	n1	correction	correction	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
instruction	instruction	n1	instruction	instruction	0
in	in	p-acp	in	in	0
righteousnesse	righteousnesse	n1	righteousness	righteousness	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
perfect	perfect	j	perfect	perfect	0
,	,	,	,	,	0
throughly	throughly	av-j	thoroughly	thorough	0
furnished	furnished	vvn	furnished	furnish	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
good	good	j	good	good	0
workes	workes	n2	works	work	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
the	the	dt	the	the	0
same	same	d	same	same	0
Scripture	Scripture	n1	Scripture	scripture	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
,	,	,	,	,	0
Heb	Heb	n1	Heb	heb	0
6.5	6.5	crd	6.5	6.5	0
.	.	.	.	.	0
the	the	dt	the	the	0
good	good	j	good	good	0
Word	Word	n1	Word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
119.103	119.103	crd	119.103	119.103	0
.	.	.	.	.	0
the	the	dt	the	the	0
sweete	sweete	j	sweet	sweet	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
Heb.	Heb.	np1	Heb.	Heb.	0
4.12	4.12	crd	4.12	4.12	0
.	.	.	.	.	0
the	the	dt	the	the	0
quicke	quicke	j	quick	quick	0
and	and	cc	and	and	0
powerfull	powerfull	j	powerful	powerful	0
Word	Word	n1	Word	word	0
,	,	,	,	,	0
Colos.	Colos.	np1	Colos.	Colos.	0
1.5	1.5	crd	1.5	1.5	0
.	.	.	.	.	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
Heb.	Heb.	np1	Heb.	Heb.	0
5.13	5.13	crd	5.13	5.13	0
.	.	.	.	.	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
of	of	pp-f	of	of	0
righteousnes	righteousnes	n1	righteousness	righteousness	0
,	,	,	,	,	0
Act.	Act.	n1	Act.	act	0
