To	To	p-acp	To	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
S.	S.	n1	S.	saint	0
Ed.	Ed.	np1	Ed.	Ed.	0
Lewkenor	Lewkenor	np1	Lewkenor	Lewkenor	0
knights	knights	n2	knights	knight	0
.	.	.	.	.	1
S.	S.	np1	S.	S.	0
Ro.	Ro.	np1	Ro.	Ro.	0
Lewkenor	Lewkenor	np1	Lewkenor	Lewkenor	0
knights	knights	n2	knights	knight	0
.	.	.	.	.	1
S.	S.	np1	S.	S.	0
Ro.	Ro.	np1	Ro.	Ro.	0
Quarles	Quarles	np1	Quarles	Quarles	0
,	,	,	,	,	0
knights	knights	n2	knights	knight	0
.	.	.	.	.	1
And	And	cc	And	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worshipful	worshipful	j	worshipful	worshipful	0
Gentlem.	Gentlem.	np1	Gentlem.	Gentlem.	0
M.	M.	n1	M.	m.	0
Rodes	Rodes	zz	Rodes	rodes	0
,	,	,	,	,	0
And	And	cc	And	and	0
the	the	dt	the	the	0
po	po	n1	po	po	0
∣	∣	sy	∣	∣	0
steritie	steritie	n1	steritie	steritie	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
all	all	d	all	all	0
.	.	.	.	.	1
M.	M.	n1	M.	m.	0
Gourny	Gourny	n1	Gourny	gourny	0
,	,	,	,	,	0
And	And	cc	And	and	0
the	the	dt	the	the	0
po	po	n1	po	po	0
∣	∣	sy	∣	∣	0
steritie	steritie	n1	steritie	steritie	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
all	all	d	all	all	0
.	.	.	.	.	1
M.	M.	n1	M.	m.	0
Caestill	Caestill	n1	Caestill	caestill	0
,	,	,	,	,	0
And	And	cc	And	and	0
the	the	dt	the	the	0
po	po	n1	po	po	0
∣	∣	sy	∣	∣	0
steritie	steritie	n1	steritie	steritie	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
all	all	d	all	all	0
.	.	.	.	.	1
M.	M.	n1	M.	m.	0
Steward	Steward	n1	Steward	steward	0
And	And	cc	And	and	0
the	the	dt	the	the	0
po	po	n1	po	po	0
∣	∣	sy	∣	∣	0
steritie	steritie	n1	steritie	steritie	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
all	all	d	all	all	0
.	.	.	.	.	1
