ROBERT	ROBERT	np1	ROBERT	Robert	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
VVARWICK	VVARWICK	np1	VVARWICK	VVARWICK	0
High	High	j	High	high	0
Admirall	Admirall	n1	Admiral	admiral	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Navy	Navy	n1	Navy	navy	0
by	by	p-acp	by	by	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Defence	Defence	n1	Defence	defence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
KING	KING	n1	KING	king	0
and	and	cc	and	and	0
KINGDOME	KINGDOME	n1	KINGDOME	kingdom	0
;	;	;	;	;	0
his	his	po31	his	his	0
Crown	Crown	n1	Crown	crown	0
,	,	,	,	,	0
their	their	po32	their	their	0
life	life	n1	life	life	0
,	,	,	,	,	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
Lawes	Lawes	n2	Laws	law	0
,	,	,	,	,	0
Liberties	Liberties	n2	Liberties	liberty	0
,	,	,	,	,	0
GRACE	GRACE	n1	GRACE	grace	0
and	and	cc	and	and	0
PEACE	PEACE	n1	PEACE	peace	0
be	be	vbb	be	be	0
multiplied	multiplied	vvn	multiplied	multiply	0
.	.	.	.	.	1
WHen	WHen	c-crq	WHen	when	0
I	I	pns11	I	i	0
looked	looked	vvd	looked	look	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
subject	subject	j-jn	subject	subject	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
▪	▪	▪	▪	▪	0
the	the	dt	the	the	0
History	History	n1	History	history	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
good	good	j	good	good	0
Kings	Kings	n2	Kings	king	0
their	their	po32	their	their	0
good	good	j	good	good	0
way	way	n1	way	way	0
,	,	,	,	,	0
good	good	j	good	good	0
Ayms	Ayms	vvz	Aims	aim	0
,	,	,	,	,	0
good	good	j	good	good	0
ends	ends	n2	ends	end	0
;	;	;	;	;	0
The	The	dt	The	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
Their	Their	po32	Their	their	0
owne	owne	d	own	own	0
