MAdame	MAdame	n1	MAdame	madam	0
,	,	,	,	,	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
vn	vn	fw-fr	vn	un	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
La	La	fw-fr	La	la	0
∣	∣	sy	∣	∣	0
diships	diships	ng1	diships	diships	0
view	view	vvi	view	view	0
and	and	cc	and	and	0
reading	reading	n-vvg	reading	read	0
,	,	,	,	,	0
this	this	d	this	this	0
Homelie	Homelie	j	Homely	homely	0
preached	preached	vvd	preached	preach	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
French	French	jp	French	french	0
tongue	tongue	n1	tongue	tongue	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
and	and	cc	and	and	0
iudicious	iudicious	j	judicious	judicious	0
diuine	diuine	j-jn	divine	divine	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	1
Peter	Peter	np1	Peter	Peter	0
du	du	fw-fr	du	du	0
Moulin	Moulin	np1	Moulin	Moulin	0
,	,	,	,	,	0
Mi	Mi	fw-mi	Mi	mi	0
∣	∣	sy	∣	∣	0
nister	nister	n1	nister	nister	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
translated	translated	vvn	translated	translate	0
,	,	,	,	,	0
touch	touch	vvi	touch	touch	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
that	that	d	that	that	0
excellent	excellent	j	excellent	excellent	0
conference	conference	n1	conference	conference	0
betweene	betweene	p-acp	between	between	0
God	God	np1	God	God	0
and	and	cc	and	and	0
his	his	po31	his	his	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
uant	uant	n1	uant	vaunt	0
Abraham	Abraham	np1	Abraham	Abraham	0
;	;	;	;	;	0
wherein	wherein	c-crq	wherein	wherein	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
behold	behold	vvi	behold	behold	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
side	side	n1	side	side	0
the	the	dt	the	the	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
sinne	sinne	n1	sin	sin	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
vengeance	vengeance	n1	vengeance	vengeance	0
