TO	TO	p-acp	TO	to	0
THE	THE	dt	THE	the	0
MOST	MOST	av-ds	MOST	most	0
NOBLE	NOBLE	j	NOBLE	noble	0
PRINCE	PRINCE	n1	PRINCE	prince	0
JAMES	JAMES	np1	JAMES	James	0
,	,	,	,	,	0
DUKE	DUKE	n1	DUKE	duke	0
,	,	,	,	,	0
MARQUES	MARQUES	np1	MARQUES	Marques	0
AND	AND	cc	AND	and	0
EARL	EARL	n1	EARL	earl	0
OF	OF	pp-f	OF	of	0
ORMOND	ORMOND	np1	ORMOND	Ormond	0
,	,	,	,	,	0
EARL	EARL	n1	EARL	earl	0
OF	OF	pp-f	OF	of	0
OSSORY	OSSORY	np1	OSSORY	Ossory	0
AND	AND	cc	AND	and	0
BRECKNOCK	BRECKNOCK	np1	BRECKNOCK	Brecknock	0
,	,	,	,	,	0
VISCOUNT	VISCOUNT	np1	VISCOUNT	Viscount	0
THURLES	THURLES	vvz	THURLES	thurle	0
,	,	,	,	,	0
LORD	LORD	n1	LORD	lord	0
BARON	BARON	n1	BARON	baron	0
OF	OF	pp-f	OF	of	0
ARCLO	ARCLO	np1	ARCLO	ARCLO	0
AND	AND	cc	AND	and	0
LANTHONY	LANTHONY	np1	LANTHONY	LANTHONY	0
,	,	,	,	,	0
LORD	LORD	n1	LORD	lord	0
OF	OF	pp-f	OF	of	0
THE	THE	dt	THE	the	0
REGALITIES	REGALITIES	n2	REGALITIES	regality	0
AND	AND	cc	AND	and	0
LIBERTIES	LIBERTIES	n2	LIBERTIES	liberty	0
OF	OF	pp-f	OF	of	0
THE	THE	dt	THE	the	0
COUNTY	COUNTY	n1	COUNTY	county	0
OF	OF	pp-f	OF	of	0
TIPERARY	TIPERARY	np1	TIPERARY	TIPERARY	0
,	,	,	,	,	0
CHANCELLOR	CHANCELLOR	n1	CHANCELLOR	chancellor	0
OF	OF	pp-f	OF	of	0
THE	THE	dt	THE	the	0
UNIVERSITY	UNIVERSITY	n1	UNIVERSITY	university	0
OF	OF	pp-f	OF	of	0
DUBLIN	DUBLIN	np1	DUBLIN	Dublin	0
,	,	,	,	,	0
LORD	LORD	n1	LORD	lord	0
LIEUTENANT-GENERAL	LIEUTENANT-GENERAL	n1	LIEUTENANT-GENERAL	lieutenant-general	0
AND	AND	cc	AND	and	0
GENERAL	GENERAL	j	GENERAL	general	0
GOVERNOUR	GOVERNOUR	n1	GOVERNOUR	governor	0
OF	OF	pp-f	OF	of	0
HIS	HIS	po31	HIS	his	0
MAJESTIES	MAJESTIES	ng1	MAJESTIES	majesty	0
KINGDOM	KINGDOM	n1	KINGDOM	kingdom	0
OF	OF	pp-f	OF	of	0
IRELAND	IRELAND	np1	IRELAND	Ireland	0
,	,	,	,	,	0
ONE	ONE	crd	ONE	one	0
OF	OF	pp-f	OF	of	0
THE	THE	dt	THE	the	0
LORDS	LORDS	ng1	LORDS	lord	0
OF	OF	pp-f	OF	of	0
HIS	HIS	po31	HIS	his	0
MAJESTIES	MAJESTIES	ng1	MAJESTIES	majesty	0
MOST	MOST	av-ds	MOST	most	0
HONOURABLE	HONOURABLE	j	HONOURABLE	honourable	0
PRIVY	PRIVY	j	PRIVY	privy	0
COUNCIL	COUNCIL	n1	COUNCIL	council	0
,	,	,	,	,	0
OF	OF	pp-f	OF	of	0
HIS	HIS	po31	HIS	his	0
MAJESTIES	MAJESTIES	ng1	MAJESTIES	majesty	0
KINGDOMS	KINGDOMS	n2	KINGDOMS	kingdom	0
OF	OF	pp-f	OF	of	0
ENGLAND	ENGLAND	np1	ENGLAND	England	0
,	,	,	,	,	0
SCOTLAND	SCOTLAND	np1	SCOTLAND	Scotland	0
,	,	,	,	,	0
AND	AND	cc	AND	and	0
IRELAND	IRELAND	np1	IRELAND	Ireland	0
,	,	,	,	,	0
GENTLEMAN	GENTLEMAN	n1	GENTLEMAN	gentleman	0
OF	OF	pp-f	OF	of	0
HIS	HIS	po31	HIS	his	0
MAJESTIES	MAJESTIES	ng1	MAJESTIES	majesty	0
BED-CHAMBER	BED-CHAMBER	n1	BED-CHAMBER	bedchamber	0
,	,	,	,	,	0
LORD	LORD	n1	LORD	lord	0
STEWARD	STEWARD	n1	STEWARD	steward	0
OF	OF	pp-f	OF	of	0
HIS	HIS	po31	HIS	his	0
MAJESTIES	MAJESTIES	ng1	MAJESTIES	majesty	0
HOUSHOLD	HOUSHOLD	n1	HOUSHOLD	household	0
,	,	,	,	,	0
LORD	LORD	n1	LORD	lord	0
LIEUTENANT	LIEUTENANT	n1	LIEUTENANT	lieutenant	0
OF	OF	pp-f	OF	of	0
THE	THE	dt	THE	the	0
COUNTY	COUNTY	n1	COUNTY	county	0
OF	OF	pp-f	OF	of	0
SOMERSET	SOMERSET	np1	SOMERSET	Somerset	0
,	,	,	,	,	0
LORD	LORD	n1	LORD	lord	0
LIEUTENANT	LIEUTENANT	n1	LIEUTENANT	lieutenant	0
AND	AND	cc	AND	and	0
LORD	LORD	n1	LORD	lord	0
HIGH	HIGH	j	HIGH	high	0
STEWARD	STEWARD	n1	STEWARD	steward	0
OF	OF	pp-f	OF	of	0
THE	THE	dt	THE	the	0
CITY	CITY	n1	CITY	city	0
OF	OF	pp-f	OF	of	0
BRISTOL	BRISTOL	np1	BRISTOL	Bristol	0
,	,	,	,	,	0
AND	AND	cc	AND	and	0
KNIGHT	KNIGHT	n1	KNIGHT	knight	0
OF	OF	pp-f	OF	of	0
THE	THE	dt	THE	the	0
MOST	MOST	av-ds	MOST	most	0
NOBLE	NOBLE	j	NOBLE	noble	0
ORDER	ORDER	n1	ORDER	order	0
OF	OF	pp-f	OF	of	0
THE	THE	dt	THE	the	0
GARTER	GARTER	n1	GARTER	garter	0
:	:	:	:	:	0
THIS	THIS	d	THIS	this	0
The	The	dt	The	the	0
most	most	av-ds	most	most	0
Ancient	Ancient	j	Ancient	ancient	0
and	and	cc	and	and	0
Best	Best	js	Best	best	0
Piece	Piece	n1	Piece	piece	0
of	of	pp-f	of	of	0
Moral	Moral	n1	Moral	moral	0
and	and	cc	and	and	0
Political	Political	j	Political	political	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
is	is	vbz	is	be	0
humbly	humbly	av-j	humbly	humble	0
Presented	Presented	vvn	Presented	present	0
and	and	cc	and	and	0
Dedicated	Dedicated	vvn	Dedicated	dedicate	0
,	,	,	,	,	1
