Brethren	Brethren	n1	Brothers	brethren	0
and	and	cc	and	and	0
Fathers	Fathers	n2	Father's	father	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
long	long	av-j	long	long	0
since	since	a-acp	since	since	0
serious	serious	j	serious	serious	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
considered	considered	vvd	considered	consider	0
(	(	(	(	(	0
since	since	c-acp	since	since	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
so	so	av	so	so	0
much	much	av-d	much	much	0
divided	divided	vvn	divided	divide	0
among	among	p-acp	among	among	0
us	us	pno12	us	we	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
whom	whom	ro-crq	whom	who	0
to	to	pc-acp	to	to	0
close	close	vvi	close	close	0
,	,	,	,	,	0
and	and	cc	and	and	0
where	where	c-crq	where	where	0
to	to	pc-acp	to	to	0
fix	fix	vvi	fix	fix	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
endea	endea	n1	endea	endea	0
∣	∣	sy	∣	∣	0
voured	voured	j	voured	voured	0
to	to	pc-acp	to	to	0
observe	observe	vvi	observe	observe	0
both	both	d	both	both	0
the	the	dt	the	the	0
publique	publique	j	public	public	0
and	and	cc	and	and	0
pri	pri	zz	pri	pri	0
∣	∣	sy	∣	∣	0
vate	vate	vvb	vate	vate	0
actions	actions	n2	actions	action	0
,	,	,	,	,	0
the	the	dt	the	the	0
Te	Te	fw-la	Te	te	0
∣	∣	sy	∣	∣	0
nents	nents	npg1-j	nents	nents	0
and	and	cc	and	and	0
conversati	conversati	fw-la	conversati	conversati	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
Ministers	Ministers	n2	Ministers	minister	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
judgements	judgements	n2	judgements	judgement	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
publikely	publikely	av-j	publicly	public	0
profess	profess	vvi	profess	profess	0
,	,	,	,	,	0
that	that	cst	that	that	0
those	those	d	those	those	0
Ministers	Ministers	n2	Ministers	minister	0
which	which	r-crq	which	which	0
have	have	vhb	have	have	0
and	and	cc	and	and	0
still	still	av	still	still	0
doe	doe	vdb	do	do	0
own	own	d	own	own	0
Provincial	Provincial	j-jn	Provincial	provincial	0
Assemblies	Assemblies	n2	Assemblies	assembly	0
,	,	,	,	,	0
are	are	vbr	are	be	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
Piety	Piety	n1	Piety	piety	0
,	,	,	,	,	0
Orthodoxness	Orthodoxness	n1	Orthodoxness	orthodoxness	0
,	,	,	,	,	0
Christi	Christi	fw-la	Christi	christi	0
∣	∣	sy	∣	∣	0
an	an	dt	and	a	0
Simplicity	Simplicity	n1	Simplicity	simplicity	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
powerfull	powerfull	j	powerful	powerful	0
,	,	,	,	,	0
spiritual	spiritual	j	spiritual	spiritual	0
,	,	,	,	,	0
frequent	frequent	j	frequent	frequent	0
