THough	THough	cs	THough	though	0
I	I	pns11	I	i	0
liue	liue	vvb	live	live	0
a	a	dt	a	a	0
farre	farre	av-j	far	far	0
off	off	a-acp	off	off	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
God	God	np1	God	God	0
knowes	knowes	vvz	knows	know	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
beene	beene	vbn	been	be	0
vnmindfull	vnmindfull	j	unmindful	unmindful	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
daily	daily	j	daily	daily	0
prayers	prayers	n2	prayers	prayer	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
best	best	js	best	best	0
good	good	j	good	good	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
doe	doe	vdi	do	do	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
heard	heard	vvd	herd	hear	0
that	that	cst	that	that	0
God	God	np1	God	God	0
did	did	vdd	did	do	0
beginne	beginne	vvi	begin	begin	0
to	to	pc-acp	to	to	0
shine	shine	vvi	shine	shine	0
in	in	p-acp	in	in	0
loue	loue	n1	love	love	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
City	City	n1	City	city	0
againe	againe	av	again	again	0
,	,	,	,	,	0
God	God	np1	God	God	0
knowes	knowes	vvz	knows	know	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
vnmindefull	vnmindefull	j	unmindful	unmindful	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
thankfull	thankfull	j	thankful	thankful	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
sole	sole	j	sole	sole	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
not	not	xx	not	not	0
that	that	cst	that	that	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
nough	nough	av-d	nough	nough	0
:	:	:	:	:	0
therefore	therefore	av	therefore	therefore	0
as	as	c-acp	as	as	0
before	before	c-acp	before	before	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
spent	spent	vvn	spent	spend	0
many	many	d	many	many	0
dayes	dayes	n2	days	day	0
in	in	p-acp	in	in	0
fasting	fasting	vvg	fasting	fast	0
,	,	,	,	,	0
and	and	cc	and	and	0
prayer	prayer	n1	prayer	prayer	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
in	in	p-acp	in	in	0
body	body	n1	body	body	0
;	;	;	;	;	0
so	so	av	so	so	0
did	did	vdd	did	do	0
I	I	pns11	I	i	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
solue	solue	vvi	solve	solve	0
(	(	(	(	(	0
hauing	hauing	vhg	having	have	0
that	that	d	that	that	0
blessed	blessed	vvn	blessed	bless	0
liberty	liberty	n1	liberty	liberty	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
spende	spende	vvi	spend	spend	0
one	one	crd	one	one	0
day	day	n1	day	day	0
in	in	p-acp	in	in	0
fasting	fasting	vvg	fasting	fast	0
,	,	,	,	,	0
prayer	prayer	n1	prayer	prayer	0
,	,	,	,	,	0
and	and	cc	and	and	0
thanksgiuing	thanksgiuing	n1	thanksgiving	thanksgiving	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
:	:	:	:	:	0
what	what	r-crq	what	what	0
good	good	j	good	good	0
it	it	pn31	it	it	0
wrought	wrought	vvd	wrought	wrought	0
vpon	vpon	p-acp	upon	upon	0
my	my	po11	my	my	0
owne	owne	d	own	own	0
people	people	n1	people	people	0
and	and	cc	and	and	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
body	body	n1	body	body	0
who	who	r-crq	who	who	0
heard	heard	vvd	herd	hear	0
me	me	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
what	what	q-crq	what	what	0
good	good	j	good	good	0
I	I	pns11	I	i	0
aymed	aymed	vvn	aimed	aim	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
conscience	conscience	n1	conscience	conscience	0
is	is	vbz	is	be	0
priuy	priuy	j	privy	privy	0
to	to	p-acp	to	to	0
,	,	,	,	,	0
&	&	cc	&	and	0
what	what	q-crq	what	what	0
my	my	po11	my	my	0
desire	desire	n1	desire	desire	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
more	more	av-dc	more	more	0
.	.	.	.	.	1
I	I	pns11	I	i	0
consider	consider	vvb	consider	consider	0
how	how	c-crq	how	how	0
louingly	louingly	av-vvg	lovingly	love	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
tertained	tertained	vvn	tertained	tertain	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
assistant	assistant	n1	assistant	assistant	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Reue	Reue	vvi	Reue	reave	0
∣	∣	sy	∣	∣	0
rend	rend	vvb	rend	rend	0
Diuine	Diuine	j-jn	Divine	divine	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
now	now	av	now	now	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
.	.	.	.	.	1
I	I	pns11	I	i	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
siderMaster	siderMaster	n1	siderMaster	sidermaster	0
Haiward	Haiward	j	Haiward	haiward	0
of	of	pp-f	of	of	0
Wool-Church	Wool-Church	n1	Wool-Church	wool-church	0
.	.	.	.	.	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
many	many	d	many	many	0
brethren	brethren	n2	brothers	brethren	0
,	,	,	,	,	0
sisters	sisters	n2	sisters	sister	0
,	,	,	,	,	0
and	and	cc	and	and	0
kins-folke	kins-folke	n1	kinsfolk	kinsfolk	0
,	,	,	,	,	0
