IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
33.	33.	crd	33.	33.	0
of	of	pp-f	of	of	0
Ezechiel	Ezechiel	np1	Ezechiel	Ezechiel	0
:	:	:	:	:	0
That	That	cst	That	that	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
land	land	n1	land	land	0
take	take	vvb	take	take	0
a	a	dt	a	a	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
coasts	coasts	n2	coasts	coast	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
him	him	pno31	him	he	0
their	their	po32	their	their	0
watchman	watchman	n1	watchman	watchman	0
,	,	,	,	,	0
if	if	cs	if	if	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
seeth	seeth	vvz	sees	see	0
the	the	dt	the	the	0
sword	sword	n1	sword	sword	0
come	come	vvb	come	come	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
land	land	n1	land	land	0
,	,	,	,	,	0
he	he	pns31	he	he	0
blow	blow	vvb	blow	blow	0
the	the	dt	the	the	0
trumpet	trumpet	n1	trumpet	trumpet	0
,	,	,	,	,	0
and	and	cc	and	and	0
warne	warne	vvi	warn	warn	0
the	the	dt	the	the	0
people	people	n1	people	people	0
:	:	:	:	:	0
then	then	cs	then	than	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
heareth	heareth	vvz	hears	hear	0
the	the	dt	the	the	0
sound	sound	n1	found	sound	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
trumpet	trumpet	n1	trumpet	trumpet	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
warned	warned	vvn	warned	warn	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
sword	sword	n1	sword	sword	0
come	come	vvb	come	come	0
and	and	cc	and	and	0
take	take	vvi	take	take	0
him	him	pno31	him	he	0
away	away	av	away	away	0
,	,	,	,	,	0
his	his	po31	his	his	0
bloud	bloud	n1	blood	blood	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
v	v	crd	v	five	0
∣	∣	sy	∣	∣	0
pon	pon	av	pon	pon	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
head	head	n1	head	head	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
the	the	dt	the	the	0
watch	watch	n1	watch	watch	0
∣	∣	sy	∣	∣	0
man	man	n1	man	man	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
sword	sword	n1	sword	sword	0
come	come	vvb	come	come	0
;	;	;	;	;	0
and	and	cc	and	and	0
blow	blow	vvb	blow	blow	0
not	not	xx	not	not	0
the	the	dt	the	the	0
trumpet	trumpet	n1	trumpet	trumpet	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
people	people	n1	people	people	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
warned	warned	vvn	warned	warn	0
