SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Was	Was	vbds	Was	be	0
earnestly	earnestly	av-j	earnestly	earnest	0
desired	desired	vvn	desired	desire	0
to	to	pc-acp	to	to	0
print	print	vvi	print	print	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
soon	soon	av	soon	soon	0
after	after	p-acp	after	after	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
preached	preached	vvn	preached	preach	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
refused	refused	vvd	refused	refuse	0
,	,	,	,	,	0
and	and	cc	and	and	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
urged	urged	vvn	urged	urge	0
any	any	d	any	any	0
more	more	av-dc	more	more	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
one	one	crd	one	one	0
Friend	Friend	n1	Friend	friend	0
lately	lately	av-j	lately	late	0
brought	brought	vvd	brought	bring	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
Sermon	Sermon	n1	Sermon	sermon	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
Short-hand	Short-hand	n1	Shorthand	shorthand	0
,	,	,	,	,	0
desiring	desiring	vvg	desiring	desire	0
me	me	pno11	me	i	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
look	look	vvi	look	look	0
it	it	pn31	it	it	0
over	over	p-acp	over	over	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
printed	printed	vvn	printed	print	0
.	.	.	.	.	1
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
now	now	av	now	now	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
Reason	Reason	n1	Reason	reason	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
satisfy	satisfy	vvi	satisfy	satisfy	0
,	,	,	,	,	0
alledging	alledging	vvg	alleging	allege	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
usual	usual	j	usual	usual	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
print	print	vvi	print	print	0
a	a	dt	a	a	0
Funeral	Funeral	n1	Funeral	funeral	0
