THIS	THIS	d	THIS	this	0
small	small	j	small	small	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
your	your	po22	your	your	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
truths	truths	n2	truths	truth	0
herein	herein	av	herein	herein	0
contain	contain	vvi	contain	contain	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
great	great	j	great	great	0
engage	engage	vvb	engage	engage	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
and	and	cc	and	and	0
no	no	dx	no	no	0
less	less	dc	less	less	0
affecti	affecti	n1	affection	affection	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
have	have	vhb	have	have	0
long	long	av-j	long	long	0
since	since	a-acp	since	since	0
entituled	entituled	vvn	entitled	entitle	0
you	you	pn22	you	you	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
humbly	humbly	av-j	humbly	humble	0
put	put	vvi	put	put	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
craves	craves	vvz	craves	crave	0
the	the	pno32	thee	they	0
accep	accep	vvi	accept	accept	0
∣	∣	sy	∣	∣	0
tance	tance	n1	tance	tance	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
so	so	av	so	so	0
many	many	d	many	many	0
wayes	wayes	n2	ways	way	0
your	your	po22	your	your	0
own	own	d	own	own	0
.	.	.	.	.	1
If	If	cs	If	if	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
capable	capable	j	capable	capable	0
of	of	pp-f	of	of	0
making	making	vvg	making	make	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
returns	returns	n2	returns	return	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
favours	favours	n2	favours	favour	0
;	;	;	;	;	0
Yet	Yet	av	Yet	yet	0
(	(	(	(	(	0
since	since	c-acp	since	since	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
all	all	d	all	all	0
so	so	av	so	so	0
inconside	inconside	n1-an	inconside	inconside	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
)	)	)	)	)	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
pardon	pardon	vvi	pardon	pardon	0
my	my	po11	my	my	0
self	self	n1	self	self	0
so	so	av	so	so	0
great	great	j	great	great	0
an	an	dt	and	a	0
injustice	injustice	n1	injustice	injustice	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
not	not	xx	not	not	0
presenting	presenting	vvg	presenting	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
would	would	vmd	would	will	0
seem	seem	vvi	seem	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
seeing	seeing	vvg	seeing	see	0
I	I	pns11	I	i	0
de	de	vdb	de	do	0
∣	∣	sy	∣	∣	0
spair	spair	n1	spair	spair	0
of	of	pp-f	of	of	0
doing	doing	vdg	doing	do	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
else	else	av	else	else	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
justly	justly	av-j	justly	just	0
expect	expect	vvi	expect	expect	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
a	a	dt	a	a	0
pardon	pardon	n1	pardon	pardon	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
denyed	denyed	vvn	denied	deny	0
you	you	pn22	you	you	0
this	this	d	this	this	0
poor	poor	j	poor	poor	0
acknowledgement	acknowledgement	n1	acknowledgement	acknowledgement	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
true	true	j	true	true	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
expect	expect	vvb	expect	expect	0
neither	neither	dx	neither	neither	0
this	this	d	this	this	0
nor	nor	ccx	nor	nor	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
requital	requital	n1	requital	requital	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
kind	kind	n1	kind	kind	0
∣	∣	sy	∣	∣	0
nesses	nesses	n1	nesses	nesses	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
all	all	d	all	all	0
my	my	po11	my	my	0
services	services	n2	services	service	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
due	due	j-jn	due	due	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
,	,	,	,	,	0
expect	expect	vvb	expect	expect	0
none	none	pix	none	none	0
at	at	p-acp	at	at	0
all	all	av-d	all	all	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
detained	detained	vvn	detained	detain	0
you	you	pn22	you	you	0
so	so	av	so	so	0
long	long	av-j	long	long	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
former	former	j	former	former	0
addresses	addresses	n2	addresses	address	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
short	short	j	short	short	0
∣	∣	sy	∣	∣	0
er	er	zz	er	er	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
:	:	:	:	:	0
and	and	cc	and	and	0
only	only	av-j	only	only	0
acquaint	acquaint	vvi	acquaint	acquaint	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
was	was	vbds	was	be	0
intended	intended	vvn	intended	intend	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
remedy	remedy	n1	remedy	remedy	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
evils	evils	n2-jn	evils	evil	0
under	under	p-acp	under	under	0
under	under	p-acp	under	under	0
