Madams	Madams	ng1	Madams	madam	0
,	,	,	,	,	0
fair	fair	j	fair	fair	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	0
and	and	cc	and	and	0
Gentlewomen	Gentlewomen	n2	Gentlewomen	gentlewoman	0
,	,	,	,	,	0
THere	THere	pc-acp	THere	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Proverb	Proverb	n1	Proverb	proverb	0
which	which	r-crq	which	which	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
That	That	cst	That	that	0
some	some	d	some	some	0
are	are	vbr	are	be	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
are	are	vbr	are	be	0
otherwise	otherwise	av	otherwise	otherwise	0
:	:	:	:	:	0
Whence	Whence	c-crq	Whence	whence	0
I	I	pns11	I	i	0
infer	infer	vvb	infer	infer	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
wise	wise	j	wise	wise	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
some	some	d	some	some	0
Fools	Fools	n2	Fools	fool	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
The	The	dt	The	the	0
Provi	Provi	np1	Provi	Provi	0
∣	∣	sy	∣	∣	0
dence	dence	n1	dence	dence	0
of	of	pp-f	of	of	0
Nature	Nature	n1	Nature	nature	0
was	was	vbds	was	be	0
great	great	j	great	great	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
chequer	chequer	n1	chequer	chequer	0
the	the	dt	the	the	0
world	world	n1	world	world	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
variety	variety	n1	variety	variety	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
how	how	q-crq	how	how	0
could	could	vmd	could	can	0
wisemen	wisemen	n2	wisemen	wiseman	0
recreate	recreate	vvi	recreate	recreate	0
their	their	po32	their	their	0
serious	serious	j	serious	serious	0
Contemplations	Contemplations	n2	Contemplations	contemplation	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
some	some	d	some	some	0
men	men	n2	men	man	0
born	born	vvn	born	bear	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
merry	merry	j	merry	merry	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
folly	folly	n1	folly	folly	0
?	?	?	?	?	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
,	,	,	,	,	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
alwayes	alwayes	av	always	always	0
