GOod	GOod	j	GOod	good	0
Mris	Mris	n1	Mris	mistress	0
Owefield	Owefield	np1	Owefield	Owefield	0
;	;	;	;	;	0
Considering	Considering	vvg	Considering	consider	0
your	your	po22	your	your	0
case	case	n1	case	case	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
same	same	d	same	same	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Lady	Lady	n1	Lady	lady	0
Bennets	Bennets	n2	Bennets	bennet	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
losse	losse	n1	loss	loss	0
in	in	p-acp	in	in	0
Mr	Mr	n1	Mr	mr.	0
Randall	Randall	np1	Randall	Randall	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
her	her	pno31	her	she	0
,	,	,	,	,	0
so	so	av	so	so	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
a	a	dt	a	a	0
faith	faith	n1	faith	faith	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
Counseller	Counseller	n1	Counseller	counseller	0
every	every	d	every	every	0
way	way	n1	way	way	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
often	often	av	often	often	0
confessed	confessed	vvn	confessed	confess	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
loue	loue	n1	love	love	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
life	life	n1	life	life	0
,	,	,	,	,	0
sick	sick	j	sick	sick	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
,	,	,	,	,	0
death	death	n1	death	death	0
,	,	,	,	,	0
and	and	cc	and	and	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
odds	odds	n2	odds	odds	0
is	is	vbz	is	be	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
side	side	n1	side	side	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
particular	particular	j	particular	particular	0
,	,	,	,	,	0
sustey	sustey	n1	sustey	sustey	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
a	a	zz	a	a	0
losse	losse	n1	loss	loss	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
your	your	po22	your	your	0
Family	Family	n1	Family	family	0
also	also	av	also	also	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
worthy	worthy	j	worthy	worthy	0
servant	servant	n1	servant	servant	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
oft	oft	av	oft	oft	0
instructed	instructed	vvd	instructed	instruct	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
:	:	:	:	:	0
considering	considering	vvg	considering	consider	0
,	,	,	,	,	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
your	your	po22	your	your	0
case	case	n1	case	case	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
like	like	j	like	like	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
respects	respects	n2	respects	respect	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
bolde	bolde	j	bold	bold	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
thankefulnes	thankefulnes	n1	thankfulness	thankfulness	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
loue	loue	n1	love	love	0
divers	divers	j	diverse	diverse	0
times	times	n2	times	time	0
shewed	shewed	vvn	showed	show	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
this	this	d	this	this	0
Worke	Worke	n1	Work	work	0
also	also	av	also	also	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
losse	losse	n1	loss	loss	0
may	may	vmb	may	may	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
)	)	)	)	)	0
be	be	vbi	be	be	0
supplyed	supplyed	vvd	supplied	supply	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
seeing	seeing	vvg	seeing	see	0
and	and	cc	and	and	0
hearing	hearing	vvg	hearing	hear	0
him	him	pno31	him	he	0
speaking	speaking	vvg	speaking	speak	0
to	to	p-acp	to	to	0
,	,	,	,	,	0
and	and	cc	and	and	0
counselling	counselling	vvg	counseling	counsel	0
you	you	pn22	you	you	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Print	Print	n1	Print	print	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
you	you	pn22	you	you	0
so	so	av	so	so	0
reioyced	reioyced	vvd	rejoiced	rejoice	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
and	and	cc	and	and	0
heare	heare	vvb	hear	hear	0
speake	speake	vvi	speak	speak	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
living	living	vvg	living	live	0
by	by	p-acp	by	by	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
I	I	pns11	I	i	0
make	make	vvb	make	make	0
no	no	dx	no	no	0
question	question	n1	question	question	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
acceptance	acceptance	n1	acceptance	acceptance	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
his	his	png31	his	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
was	was	vbds	was	be	0
both	both	av-d	both	both	0
penned	penned	vvn	penned	pen	0
and	and	cc	and	and	0
Preached	Preached	vvn	Preached	preach	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
here	here	av	here	here	0
it	it	pn31	it	it	0
commeth	commeth	vvz	comes	come	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
View	View	n1	View	view	0
:	:	:	:	:	0
My	My	po11	My	my	0
desire	desire	n1	desire	desire	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
blesse	blesse	vvi	bless	bless	0
this	this	d	this	this	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
labours	labours	n2	labours	labour	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
inioyed	inioyed	vvn	enjoyed	enjoy	0
,	,	,	,	,	0
any	any	d	any	any	0
way	way	n1	way	way	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
furthering	furthering	j-vvg	furthering	further	0
,	,	,	,	,	0
edifying	edifying	j-vvg	edifying	edify	0
,	,	,	,	,	0
and	and	cc	and	and	0
confirming	confirming	vvg	confirming	confirm	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
yours	yours	png22	yours	you	0
vnmoueably	vnmoueably	av-j	unmovably	unmovable	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
present	present	j	present	present	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
grant	grant	vvb	grant	grant	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
Christs	Christs	npg1	Christs	Christ	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
,	,	,	,	,	1
