Dear	Dear	j-jn	Dear	dear	0
Brethren	Brethren	n2	Brothers	brethren	0
and	and	cc	and	and	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
Providence	Providence	n1	Providence	providence	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
unaptly	unaptly	av-j	unaptly	unapt	0
compared	compared	vvn	compared	compare	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
wheels	wheels	n2	wheels	wheel	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Clock	Clock	n1	Clock	clock	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
albei	albei	n1	albei	albei	0
they	they	pns32	they	they	0
run	run	vvb	run	run	0
variously	variously	av-j	variously	various	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
they	they	pns32	they	they	0
agree	agree	vvb	agree	agree	0
harmoni	harmoni	fw-la	harmoni	harmoni	0
∣	∣	sy	∣	∣	0
ously	ously	av-j	ously	ous	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
producing	producing	vvg	producing	produce	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
end	end	n1	end	end	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
appointed	appointed	vvn	appointed	appoint	0
;	;	;	;	;	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
notwihstanding	notwihstanding	p-acp	notwithstanding	notwithstanding	0
the	the	dt	the	the	0
affairs	affairs	n2	affairs	affair	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
have	have	vhb	have	have	0
for	for	p-acp	for	for	0
some	some	d	some	some	0
time	time	n1	time	time	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
contrary	contrary	j-jn	contrary	contrary	0
motion	motion	n1	motion	motion	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
general	general	j	general	general	0
expectation	expectation	n1	expectation	expectation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
probably	probably	av-j	probably	probable	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
flaggings	flaggings	n2	flaggings	flagging	0
,	,	,	,	,	0
and	and	cc	and	and	0
secret	secret	j-jn	secret	secret	0
murmuings	murmuings	n2	murmuings	murmuing	0
and	and	cc	and	and	0
repinings	repinings	n2-vvg	repinings	repine	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
▪	▪	▪	▪	▪	0
as	as	c-acp	as	as	0
though	though	cs	though	though	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
had	had	vhd	had	have	0
forgot	forgot	vvn	forgotten	forget	0
∣	∣	sy	∣	∣	0
ten	ten	crd	ten	ten	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
gracious	gracious	j	gracious	gracious	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
perform	perform	vvi	perform	perform	0
his	his	po31	his	his	0
peromises	peromises	n2	peromises	peromise	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
search	search	vvb	search	search	0
narrowly	narrowly	av-j	narrowly	narrow	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
mind	mind	n1	mind	mind	0
and	and	cc	and	and	0
ill	ill	n-jn	ill	ill	0
of	of	pp-f	of	of	0
Jehovah	Jehovah	np1	Jehovah	Jehovah	0
,	,	,	,	,	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
prove	prove	vvi	prove	prove	0
no	no	av-dx	no	no	0
better	better	av-jc	better	better	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
incre	incre	n1	incre	incre	0
∣	∣	sy	∣	∣	0
dulity	dulity	n1	dulity	dulity	0
,	,	,	,	,	0
than	than	cs	than	than	0
the	the	dt	the	the	0
Disciples	Disciples	n2	Disciples	disciple	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
blessed	blessed	j-vvn	blessed	bless	0
Saviour	Saviour	n1	Saviour	saviour	0
,	,	,	,	,	0
Luk.	Luk.	np1	Luk.	Luk.	1
24.	24.	crd	24.	24.	0
25.	25.	crd	25.	25.	1
i	i	sy	i	i	0
.	.	.	.	.	1
e	e	sy	e	e	0
.	.	.	.	.	0
fools	fools	ng1	fools	fool	0
and	and	cc	and	and	0
and	and	cc	and	and	0
slow	slow	j	slow	slow	0
of	of	pp-f	of	of	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
believe	believe	vvi	believe	believe	0
all	all	d	all	all	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Prophets	Prophets	n2	Prophets	prophet	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Apostles	Apostles	n2	Apostles	apostle	0
have	have	vhb	have	have	0
spoken	spoken	vvn	spoken	speak	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
last	last	ord	last	last	0
dayes	dayes	n2	days	day	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
instance	instance	n1	instance	instance	0
,	,	,	,	,	0
the	the	dt	the	the	0
present	present	j	present	present	0
Apostacies	Apostacies	n2	Apostasies	apostasy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Army	Army	n1	Army	army	0
,	,	,	,	,	0
and	and	cc	and	and	0
several	several	j	several	several	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foolish	foolish	j	foolish	foolish	0
(	(	(	(	(	0
though	though	cs	though	though	0
)	)	)	)	)	0
virgin	virgin	n1	virgin	virgin	0
Churches	Churches	n2	Churches	church	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
external	external	j	external	external	0
ordinan	ordinan	n1	ordinan	ordinan	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
)	)	)	)	)	0
i	i	uh	i	i	0
.	.	.	.	.	1
e	e	sy	e	e	0
.	.	.	.	.	0
those	those	d	those	those	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
lately	lately	av-j	lately	late	0
subscribed	subscribed	vvn	subscribed	subscribe	0
their	their	po32	their	their	0
approbation	approbation	n1	approbation	approbation	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sent	sent	n1	sent	scent	0
Government	Government	n1	Government	government	0
we	we	pns12	we	we	0
now	now	av	now	now	0
live	live	vvb	live	live	0
under	under	p-acp	under	under	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
complied	complied	vvn	complied	comply	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
have	have	vhb	have	have	0
formerly	formerly	av-j	formerly	former	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Governments	Governments	n2	Governments	government	0
of	of	pp-f	of	of	0
Heathen	Heathen	j-jn	Heathen	heathen	0
Potentates	Potentates	n2	Potentates	potentate	0
,	,	,	,	,	0
(	(	(	(	(	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
least	least	ds	least	least	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
prohibition	prohibition	n1	prohibition	prohibition	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
and	and	cc	and	and	0
appointed	appointed	vvn	appointed	appoint	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
worship	worship	n1	worship	worship	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Image	Image	n1	Image	image	0
,	,	,	,	,	0
o	o	uh	oh	oh	0
that	that	cst	that	that	0
receiveth	receiveth	vvz	receives	receive	0
his	his	po31	his	his	0
mark	mark	n1	mark	mark	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
forehead	forehead	n1	forehead	forehead	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
hand	hand	n1	hand	hand	0
or	or	cc	or	or	0
his	his	po31	his	his	0
Name	Name	n1	Name	name	0
,	,	,	,	,	0
or	or	cc	or	or	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
name	name	n1	name	name	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
pain	pain	n1	pain	pain	0
and	and	cc	and	and	0
penalty	penalty	n1	penalty	penalty	0
of	of	pp-f	of	of	0
drinking	drinking	vvg	drinking	drink	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wine	wine	n1	wine	wine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wrath	wrath	n1	wrath	wrath	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
powred	powred	vvd	poured	pour	0
out	out	av	out	out	0
without	without	p-acp	without	without	0
mi	mi	fw-mi	mi	mi	0
∣	∣	sy	∣	∣	0
xture	xture	n1	xture	xture	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
cup	cup	n1	cup	cup	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
indignation	indignation	n1	indignation	indignation	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
tormented	tormented	vvn	tormented	torment	0
wih	wih	p-acp	with	with	0
Fire	Fire	n1	Fire	fire	0
and	and	cc	and	and	0
Brimstone	Brimstone	n1	Brimstone	brimstone	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Angels	Angels	n2	Angels	angel	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lamb	Lamb	n1	Lamb	lamb	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
smoak	smoak	n1	smoke	smoke	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
torment	torment	n1	torment	torment	0
shall	shall	vmb	shall	shall	0
ascend	ascend	vvi	ascend	ascend	0
up	up	a-acp	up	up	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
and	and	cc	and	and	0
ever	ever	av	ever	ever	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
no	no	dx	no	no	0
rest	rest	n1	rest	rest	0
day	day	n1	day	day	0
nor	nor	ccx	nor	nor	0
night	night	n1	night	night	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
worship	worship	n1	worship	worship	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Image	Image	n1	Image	image	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
Rev.	Rev.	n1	Rev.	rev.	1
14	14	crd	14	14	0
,	,	,	,	,	0
9	9	crd	9	9	0
,	,	,	,	,	0
10	10	crd	10	10	0
,	,	,	,	,	0
1.	1.	crd	1.	1.	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
doubtlesse	doubtlesse	av-j	doubtless	doubtless	0
been	been	vbn	been	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
stumbling	stumbling	j-vvg	stumbling	stumble	0
block	block	n1	block	block	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
people	people	n1	people	people	0
,	,	,	,	,	0
o	o	uh	oh	oh	0
what	what	q-crq	what	what	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
expectation	expectation	n1	expectation	expectation	0
of	of	pp-f	of	of	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
that	that	cst	that	that	0
all	all	d	all	all	0
men	men	n2	men	man	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
and	and	cc	and	and	0
know	know	vvi	know	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
present	present	j	present	present	0
Government	Government	n1	Government	government	0
runs	runs	vvz	runs	run	0
paralel	paralel	n1	parallel	parallel	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Beast	Beast	n1	Beast	beast	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
sa	sa	uh	sa	sa	0
pro	pro	fw-la	pro	pro	0
,	,	,	,	,	0
(	(	(	(	(	0
one	one	pi	one	one	0
presumptuously	presumptuously	av-j	presumptuously	presumptuous	0
)	)	)	)	)	0
are	are	vbr	are	be	0
