SACRED	SACRED	j	SACRED	sacred	0
Maiesty	Maiesty	n1	Majesty	majesty	0
,	,	,	,	,	0
Plin.	Plin.	np1	Plin.	Plin.	0
l.	l.	n1	l.	l.	0
11.	11.	crd	11.	11.	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
16.	16.	crd	16.	16.	0
natural	natural	j	natural	natural	0
History	History	n1	History	history	0
teacheth	teacheth	vvz	teaches	teach	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
Bees	Bees	n2	Bees	bee	0
appeare	appeare	vvb	appear	appear	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
ginning	ginning	n1	ginning	ginning	0
,	,	,	,	,	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
little	little	j	little	little	0
white	white	j-jn	white	white	0
worme	worme	n1	worm	worm	0
,	,	,	,	,	0
all	all	d	all	all	0
except	except	c-acp	except	except	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
their	their	po32	their	their	0
King	King	n1	King	king	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
commeth	commeth	vvz	comes	come	0
forth	forth	av	forth	forth	0
with	with	p-acp	with	with	0
wings	wings	n2	wings	wing	0
,	,	,	,	,	0
&	&	cc	&	and	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
yellow	yellow	j-jn	yellow	yellow	0
colour	colour	n1	colour	colour	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	n1	cause	cause	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
formed	formed	vvn	formed	form	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
quisite	quisite	j	quisite	quisite	0
flowers	flowers	n2	flowers	flower	0
