MOST	MOST	av-ds	MOST	most	0
Vertuous	Vertuous	j	Virtuous	virtuous	0
,	,	,	,	,	0
Reue	Reue	vvi	Reue	reave	0
∣	∣	sy	∣	∣	0
rend	rend	vvb	rend	rend	0
,	,	,	,	,	0
&	&	cc	&	and	0
Learned	Learned	j	Learned	learned	0
MEN	MEN	n2	MEN	man	0
;	;	;	;	;	0
To	To	p-acp	To	to	0
whome	whome	ro-crq	whom	who	0
should	should	vmd	should	shall	0
I	I	pns11	I	i	0
rather	rather	av-c	rather	rather	0
addresse	addresse	vvi	address	address	0
this	this	d	this	this	0
my	my	po11	my	my	0
small	small	j	small	small	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
yourselues	yourselues	px22	yourselves	yourselves	0
,	,	,	,	,	0
who	who	q-crq	who	who	0
are	are	vbr	are	be	0
partly	partly	av	partly	partly	0
interessed	interessed	vvn	interested	interest	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Person	Person	n1	Person	person	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Worke	Worke	n1	Work	work	0
is	is	vbz	is	be	0
here	here	av	here	here	0
translated	translated	vvn	translated	translate	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
all	all	d	all	all	0
members	members	n2	members	member	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Societie	Societie	n1	Society	society	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
dyed	dyed	vvd	died	die	0
:	:	:	:	:	0
partly	partly	av	partly	partly	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Cause	Cause	n1	Cause	cause	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
deuoted	deuoted	j-vvn	devoted	devote	0
yourselues	yourselues	px22	yourselves	yourselves	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
propagation	propagation	n1	propagation	propagation	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
dyed	dyed	vvd	died	die	0
?	?	?	?	?	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
Combat	Combat	n1	Combat	combat	0
no	no	dx	no	no	0
doubt	doubt	n1	doubt	doubt	0
he	he	pns31	he	he	0
well	well	av	well	well	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
membred	membred	vvn	membered	member	0
(	(	(	(	(	0
though	though	c-acp	though	though	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
diffe	diffe	n1	diffe	diffe	0
∣	∣	sy	∣	∣	0
rent	rent	n1	rend	rent	0
sense	sense	n1	sense	sense	0
)	)	)	)	)	0
those	those	d	those	those	0
words	words	n2	words	word	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
holy	holy	j	holy	holy	0
Father	Father	n1	Father	father	0
:	:	:	:	:	0
August	August	np1	August	August	0
.	.	.	.	.	0
l.	l.	n1	l.	l.	1
1.	1.	crd	1.	1.	1
Confess	Confess	vvb	Confess	confess	0
.	.	.	.	.	1
c	c	sy	c	c	0
.	.	.	.	.	1
5.	5.	crd	5.	5.	1
Moriar	Moriar	fw-la	Moriar	moriar	0
,	,	,	,	,	0
ne	ne	fw-la	ne	ne	0
moriar	moriar	fw-la	moriar	moriar	0
.	.	.	.	.	1
The	The	dt	The	the	0
Worke	Worke	n1	Work	work	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	n1	present	present	0
receaues	receaues	vvz	receives	receive	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
,	,	,	,	,	0
an	an	dt	and	a	0
English	English	jp	English	english	0
tincture	tincture	n1	tincture	tincture	0
and	and	cc	and	and	0
dye	dye	vvi	die	dye	0
,	,	,	,	,	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
Originall	Originall	j-jn	Original	original	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
worth	worth	n1	worth	worth	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
neede	neede	vvb	need	need	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
marchandize	marchandize	n1	merchandise	merchandise	0
and	and	cc	and	and	0
stall	stall	n1	stall	stall	0
forth	forth	av	forth	forth	0
the	the	dt	the	the	0
valew	valew	n1	value	value	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
seing	seing	vvg	sing	sing	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
Iudge	Iudge	n1	Judge	judge	0
∣	∣	sy	∣	∣	0
ments	ments	ng1	ments	ments	0
can	can	vmb	can	can	0
best	best	av-js	best	best	0
censure	censure	vvi	censure	censure	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
presume	presume	vvb	presume	presume	0
,	,	,	,	,	0
that	that	cst	that	that	0
di	di	zz	di	di	0
¦	¦	sy	¦	¦	0
uers	uers	zz	uers	uers	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
(	(	(	(	(	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
say	say	vvi	say	say	0
,	,	,	,	,	0
read	read	vvb	read	read	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
)	)	)	)	)	0
euen	euen	av-j	even	even	0
studyed	studyed	vvd	studied	study	0
the	the	dt	the	the	0
Booke	Booke	n1	Book	book	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
.	.	.	.	.	1
Only	Only	j	Only	only	0
this	this	d	this	this	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
maintayne	maintayne	vvi	maintain	maintain	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
thour	thour	n1	thour	thour	0
hath	hath	vhz	hath	have	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
discoursing	discoursing	vvg	discoursing	discourse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
supreme	supreme	j	supreme	supreme	0
Mysteries	Mysteries	n2	Mysteries	mystery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Catholike	Catholike	jp	Catholic	catholic	0
Fayth	Fayth	n1	Faith	faith	0
,	,	,	,	,	0
inuested	inuested	vvn	invested	invest	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
)	)	)	)	)	0
and	and	cc	and	and	0
cloathed	cloathed	vvd	clothed	clothe	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
roabes	roabes	n2	robes	robe	0
of	of	pp-f	of	of	0
speach	speach	n1	speech	speech	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
best	best	js	best	best	0
sorte	sorte	n1	sort	sort	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Reuerence	Reuerence	n1	Reverence	reverence	0
&	&	cc	&	and	0
Maiesty	Maiesty	n1	Majesty	majesty	0
;	;	;	;	;	0
since	since	c-acp	since	since	0
a	a	dt	a	a	0
Man	Man	n1	Man	man	0
is	is	vbz	is	be	0
able	able	j	able	able	0
to	to	p-acp	to	to	0
glasse	glasse	n1	glass	glass	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
small	small	j	small	small	0
Trea	Trea	np1	Trea	Trea	0
∣	∣	sy	∣	∣	0
tise	tise	n1	tise	tise	0
,	,	,	,	,	0
the	the	dt	the	the	0
full	full	j	full	full	0
perfection	perfection	n1	perfection	perfection	0
of	of	pp-f	of	of	0
Elo	Elo	np1	Elo	Elo	0
∣	∣	sy	∣	∣	0
cution	cution	n1	cution	cution	0
and	and	cc	and	and	0
Oratorie	Oratorie	n1	Oratory	oratory	0
.	.	.	.	.	1
His	His	po31	His	his	0
Vertues	Vertues	n2	Virtues	virtue	0
,	,	,	,	,	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
Christian	Christian	np1	Christian	Christian	0
feruour	feruour	n1	fervour	fervour	0
,	,	,	,	,	0
and	and	cc	and	and	0
Reso	Reso	av	Reso	reso	0
∣	∣	sy	∣	∣	0
lution	lution	n1	lution	lution	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
here	here	av	here	here	0
endea	endea	n1	endea	endea	0
∣	∣	sy	∣	∣	0
uour	uour	vvb	uour	uour	0
to	to	pc-acp	to	to	0
display	display	vvi	display	display	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
