IF	IF	cs	IF	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
unbecoming	unbecoming	j	unbecoming	unbecoming	0
confi	confi	n2	confi	confi	0
∣	∣	sy	∣	∣	0
dence	dence	n1	dence	dence	0
,	,	,	,	,	0
(	(	(	(	(	0
Most	Most	av-ds	Most	most	0
Eminent	Eminent	j	Eminent	eminent	0
of	of	pp-f	of	of	0
Kings	Kings	n2	Kings	king	0
!	!	!	!	!	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
Hugo	Hugo	np1	Hugo	Hugo	0
Grotius	Grotius	np1	Grotius	Grotius	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
at	at	p-acp	at	at	0
most	most	ds	most	most	0
did	did	vdd	did	do	0
owe	owe	vvi	owe	owe	0
Your	Your	po22	Your	your	0
Illustrious	Illustrious	j	Illustrious	illustrious	0
Uncle	Uncle	n1	Uncle	uncle	0
Lewis	Lewis	np1	Lewis	Lewis	0
the	the	dt	the	the	0
Thirteenth	Thirteenth	ord	Thirteenth	thirteenth	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
a	a	dt	a	a	0
topical	topical	j	topical	topical	0
and	and	cc	and	and	0
temporary	temporary	j	temporary	temporary	0
obedience	obedience	n1	obedience	obedience	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
his	his	po31	his	his	0
Book	Book	n1	Book	book	0
De	De	fw-fr	De	de	0
Jure	Jure	fw-la	Jure	jure	0
Belli	Belli	np1	Belli	Belli	0
&	&	cc	&	and	0
Pacis	Pacis	fw-la	Pacis	pacis	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
founded	founded	vvn	founded	found	0
upon	upon	p-acp	upon	upon	0
such	such	d	such	such	0
feigned	feigned	j-vvn	feigned	feign	0
and	and	cc	and	and	0
inconsistible	inconsistible	j	inconsistible	inconsistible	0
principles	principles	n2	principles	principle	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
written	written	vvn	written	write	0
for	for	p-acp	for	for	0
Justice	Justice	n1	Justice	justice	0
:	:	:	:	:	0
Then	Then	av	Then	then	0
will	will	vmb	will	will	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
ill	ill	av-jn	ill	ill	0
become	become	vvi	become	become	0
a	a	dt	a	a	0
natural	natural	j	natural	natural	0
Subject	Subject	j-jn	Subject	subject	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Majesties	Majesties	n2	Majesties	majesty	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
divine	divine	j-jn	divine	divine	0
and	and	cc	and	and	0
humane	humane	j	humane	humane	0
laws	laws	n2	laws	law	0
owes	owes	vvz	owes	owe	0
an	an	dt	and	a	0
indelible	indelible	j	indelible	indelible	0
character	character	n1	character	character	0
of	of	pp-f	of	of	0
obedience	obedience	n1	obedience	obedience	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
implore	implore	vvi	implore	implore	0
Your	Your	po22	Your	your	0
patronage	patronage	n1	patronage	patronage	0
of	of	pp-f	of	of	0
Justice	Justice	n1	Justice	justice	0
,	,	,	,	,	0
founded	founded	vvn	founded	found	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
true	true	j	true	true	0
and	and	cc	and	and	0
genuine	genuine	j	genuine	genuine	0
causes	causes	n2	causes	cause	0
.	.	.	.	.	1
Nor	Nor	ccx	Nor	nor	0
is	is	vbz	is	be	0
there	there	pc-acp	there	there	0
any	any	d	any	any	0
attribute	attribute	n1	attribute	attribute	0
of	of	pp-f	of	of	0
Justice	Justice	n1	Justice	justice	0
which	which	r-crq	which	which	0
Grotius	Grotius	np1	Grotius	Grotius	0
there	there	a-acp	there	there	0
ascribes	ascribes	vvz	ascribes	ascribe	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Uncle	Uncle	n1	Uncle	uncle	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
properly	properly	av-j	properly	proper	0
or	or	cc	or	or	0
more	more	av-dc	more	more	0
due	due	j-jn	due	due	0
to	to	p-acp	to	to	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
if	if	cs	if	if	0
Lewis	Lewis	np1	Lewis	Lewis	0
were	were	vbdr	were	be	0
just	just	j	just	just	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
above	above	p-acp	above	above	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
which	which	r-crq	which	which	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
spoken	spoken	vvn	spoken	speak	0
,	,	,	,	,	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
honor	honor	vvi	honour	honour	0
the	the	dt	the	the	0
memory	memory	n1	memory	memory	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
King	King	n1	King	king	0
his	his	po31	his	his	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
imitating	imitating	vvg	imitating	imitate	0
him	him	pno31	him	he	0
;	;	;	;	;	0
how	how	c-crq	how	how	0
just	just	j	just	just	0
then	then	av	then	then	0
is	is	vbz	is	be	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
as	as	c-acp	as	as	0
not	not	xx	not	not	0
all	all	d	all	all	0
the	the	dt	the	the	0
storms	storms	n2	storms	storm	0
of	of	pp-f	of	of	0
adverse	adverse	j	adverse	adverse	0
fortune	fortune	n1	fortune	fortune	0
in	in	p-acp	in	in	0
Your	Your	po22	Your	your	0
Father	Father	n1	Father	father	0
or	or	cc	or	or	0
Self	Self	n1	Self	self	0
,	,	,	,	,	0
could	could	vmd	could	can	0
ever	ever	av	ever	ever	0
any	any	d	any	any	0
ways	ways	n2	ways	way	0
shake	shake	vvb	shake	shake	0
the	the	dt	the	the	0
constant	constant	j	constant	constant	0
veneration	veneration	n1	veneration	veneration	0
You	You	pn22	You	you	0
have	have	vhb	have	have	0
always	always	av	always	always	0
paid	paid	vvn	paid	pay	0
his	his	po31	his	his	0
Saintlike	Saintlike	j	Saintlike	saintlike	0
memory	memory	n1	memory	memory	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
imitating	imitating	vvg	imitating	imitate	0
him	him	pno31	him	he	0
;	;	;	;	;	0
whereas	whereas	cs	whereas	whereas	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
sperity	sperity	n1	sperity	sperity	0
did	did	vdd	did	do	0
almost	almost	av	almost	almost	0
ever	ever	av	ever	ever	0
fill	fill	vvi	fill	fill	0
the	the	dt	the	the	0
sails	sails	n2	sails	sail	0
of	of	pp-f	of	of	0
Your	Your	po22	Your	your	0
Uncle	Uncle	n1	Uncle	uncle	0
and	and	cc	and	and	0
his	his	po31	his	his	0
great	great	j	great	great	0
Father	Father	n1	Father	father	0
!	!	!	!	!	1
If	If	cs	If	if	0
he	he	pns31	he	he	0
were	were	vbdr	were	be	0
just	just	j	just	just	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
struct	struct	vvn	struct	strike	0
his	his	po31	his	his	0
Brother	Brother	n1	Brother	brother	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
means	means	n2	means	mean	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
most	most	ds	most	most	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
own	own	d	own	own	0
example	example	n1	example	example	0
;	;	;	;	;	0
then	then	av	then	then	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
less	less	av-dc	less	less	0
just	just	j	just	just	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
means	means	n2	means	mean	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
most	most	ds	most	most	0
by	by	p-acp	by	by	0
Your	Your	po22	Your	your	0
own	own	d	own	own	0
Example	Example	n1	Example	example	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
