Friends	Friends	ng1	Friends	friend	0
and	and	cc	and	and	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
BE	BE	vbb	BE	be	0
it	it	pn31	it	it	0
known	known	vvn	known	know	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
all	all	d	all	all	0
that	that	cst	that	that	0
know	know	vvb	know	know	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
can	can	vmb	can	can	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
measure	measure	n1	measure	measure	0
witnesse	witnesse	vvi	witness	witness	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
hidden	hidden	j-vvn	hidden	hide	0
mystery	mystery	n1	mystery	mystery	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Coll.	Coll.	np1	Coll.	Coll.	1
2.	2.	crd	2.	2.	0
2.	2.	crd	2.	2.	1
Chap	Chap	n1	Chap	chap	0
:	:	:	:	:	0
1.	1.	crd	1.	1.	0
27.	27.	crd	27.	27.	1
Father	Father	n1	Father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
Hope	Hope	n1	Hope	hope	0
of	of	pp-f	of	of	0
Glory	Glory	n1	Glory	glory	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
that	that	cst	that	that	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
measure	measure	n1	measure	measure	0
received	received	vvd	received	receive	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
faithful	faithful	j	faithful	faithful	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
acknowledgment	acknowledgment	n1	acknowledgment	acknowledgement	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
∣	∣	sy	∣	∣	0
stery	stery	zz	stery	stery	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
comforted	comforted	vvn	comforted	comfort	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
knit	knit	vvb	knit	knit	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
love	love	n1	love	love	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
a	a	dt	a	a	0
full	full	j	full	full	0
assurance	assurance	n1	assurance	assurance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
understanding	understanding	n1	understanding	understanding	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
mystery	mystery	n1	mystery	mystery	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
an	an	dt	and	a	0
discover	discover	vvb	discover	discover	0
and	and	cc	and	and	0
lay	lay	vvi	lay	lay	0
open	open	j	open	open	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
loose	loose	j	lose	loose	0
,	,	,	,	,	0
sandy	sandy	j	sandy	sandy	0
,	,	,	,	,	0
and	and	cc	and	and	0
rot	rot	vvb	rot	rot	0
∣	∣	sy	∣	∣	0
ten	ten	crd	ten	ten	0
foundations	foundations	n2	foundations	foundation	0
,	,	,	,	,	0
and	and	cc	and	and	0
buildings	buildings	n2	buildings	building	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
mens	mens	ng2	men's	man	0
pretended	pretended	j-vvn	pretended	pretend	0
Religions	Religions	n2	Religions	religion	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
forme	forme	n1	form	form	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
power	power	n1	power	power	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
things	things	n2	things	thing	0
below	below	p-acp	below	below	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
an	an	dt	and	a	0
end	end	n1	end	end	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
my	my	po11	my	my	0
work	work	n1	work	work	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
