COnsyderynge	COnsyderynge	vvg	Considering	consider	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
reue	reue	vvi	reue	reave	0
∣	∣	sy	∣	∣	0
rende	rende	vvb	rend	rend	0
father	father	n1	father	father	0
)	)	)	)	)	0
the	the	dt	the	the	0
bountifull	bountifull	j	bountiful	bountiful	0
goodnes	goodnes	n1	goodness	goodness	0
of	of	pp-f	of	of	0
Almyghtly	Almyghtly	av-j	Almyghtly	almyght	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
dyd	dyd	vdd	did	do	0
so	so	av	so	so	0
thankeful	thankeful	j	thankful	thankful	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
receaue	receaue	vvb	receive	receive	0
the	the	dt	the	the	0
myte	myte	n1	myte	mite	0
offered	offered	vvd	offered	offer	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
wyddowe	wyddowe	n1	widow	widow	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
the	the	dt	the	the	0
precious	precious	j	precious	precious	0
giftes	giftes	n2	gifts	gift	0
offered	offered	vvn	offered	offer	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
ryche	ryche	j	rich	rich	0
and	and	cc	and	and	0
welthy	welthy	j	wealthy	wealthy	0
persons	persons	n2	persons	person	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
byn	byn	vbn	been	be	0
there	there	a-acp	there	there	0
by	by	p-acp	by	by	0
encoraged	encoraged	vvd	encouraged	encourage	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
towardes	towardes	p-acp	towards	towards	0
the	the	dt	the	the	0
buylding	buylding	n1	building	building	0
ageyne	ageyne	av	again	again	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
blessed	blessed	j-vvn	blessed	bless	0
Temple	Temple	n1	Temple	temple	0
(	(	(	(	(	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
)	)	)	)	)	0
de	de	fw-la	de	de	0
¦	¦	sy	¦	¦	0
faced	faced	j	faced	faced	0
and	and	cc	and	and	0
almost	almost	av	almost	almost	0
destroyde	destroyde	vvn	destroyed	destroy	0
by	by	p-acp	by	by	0
heretickes	heretickes	n2	heretics	heretic	0
,	,	,	,	,	0
these	these	d	these	these	0
simple	simple	j	simple	simple	0
and	and	cc	and	and	0
rude	rude	j	rude	rude	0
sermons	sermons	n2	sermons	sermon	0
,	,	,	,	,	0
not	not	xx	not	not	0
bicause	bicause	c-acp	because	because	0
that	that	d	that	that	0
I	I	pns11	I	i	0
thynke	thynke	vvb	think	think	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
suche	suche	d	such	such	0
force	force	n1	force	force	0
or	or	cc	or	or	0
learnynge	learnynge	n1	learning	learning	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
helpe	helpe	vvi	help	help	0
muche	muche	d	much	much	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
or	or	cc	or	or	0
that	that	cst	that	that	0
the	the	dt	the	the	0
greate	greate	j	great	great	0
and	and	cc	and	and	0
precious	precious	j	precious	precious	0
treasures	treasures	n2	treasures	treasure	0
of	of	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fryd	fryd	vvd	fryd	fryd	0
by	by	p-acp	by	by	0
other	other	n-jn	other	other	0
myght	myght	vmd	might	may	0
not	not	xx	not	not	0
suffyce	suffyce	vvi	suffice	suffice	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
sayd	sayd	vvd	said	say	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
the	the	dt	the	the	0
promptnes	promptnes	n1	promptness	promptness	0
and	and	cc	and	and	0
redynesse	redynesse	n1	redynesse	readiness	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
mynde	mynde	n1	mind	mind	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
and	and	cc	and	and	0
all	all	d	all	all	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
seruyce	seruyce	n1	service	service	0
vnto	vnto	p-acp	unto	unto	0
his	his	po31	his	his	0
maiestie	maiestie	n1	majesty	majesty	0
accordynge	accordynge	vvg	according	accord	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
habilitie	habilitie	n1	hability	hability	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
knowen	knowen	vvn	known	know	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordeshyp	Lordeshyp	n1	Lordship	lordship	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
bookes	bookes	n2	books	book	0
and	and	cc	and	and	0
sermons	sermons	n2	sermons	sermon	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
made	made	vvn	made	make	0
to	to	pc-acp	to	to	0
deface	deface	vvi	deface	deface	0
the	the	dt	the	the	0
churche	churche	n1	church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
number	number	n1	number	number	0
and	and	cc	and	and	0
the	the	dt	the	the	0
diligentnes	diligentnes	n1	diligentnes	diligentnes	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
wold	wold	vmd	would	will	0
haue	haue	vhi	have	have	0
de	de	dt	the	the	0
¦	¦	sy	¦	¦	0
stroyed	stroyed	vvn	stroyed	stroy	0
the	the	dt	the	the	0
churche	churche	n1	church	church	0
,	,	,	,	,	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
diligence	diligence	n1	diligence	diligence	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
or	or	cc	or	or	0
ra	ra	zz	ra	ra	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
continuall	continuall	j	continual	continual	0
ragynge	ragynge	j-vvg	raging	rage	0
yf	yf	cs	if	if	0
it	it	pn31	it	it	0
shulde	shulde	vmd	should	shall	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
matched	matched	vvn	matched	match	0
or	or	cc	or	or	0
with	with	p-acp	with	with	0
like	like	j	like	like	0
diligence	diligence	n1	diligence	diligence	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
parte	parte	n1	part	part	0
ouercome	ouercome	vvn	overcome	overcome	0
and	and	cc	and	and	0
outmat	outmat	fw-la	outmat	outmat	0
∣	∣	sy	∣	∣	0
ched	ched	pns31|vmb	ched	she|will	0
,	,	,	,	,	0
it	it	pn31	it	it	0
shulde	shulde	vmd	should	shall	0
be	be	vbi	be	be	0
much	much	av-d	much	much	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
reproche	reproche	n1	reproach	reproach	0
of	of	pp-f	of	of	0
vs	vs	pno12	us	we	0
all	all	d	all	all	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
yf	yf	cs	if	if	0
we	we	pns12	we	we	0
se	se	vvb	see	see	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
se	se	vvi	see	see	0
)	)	)	)	)	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
taken	taken	vvn	taken	take	0
suche	suche	d	such	such	0
peynes	peynes	n2	pains	pain	0
to	to	pc-acp	to	to	0
suppresse	suppresse	vvi	suppress	suppress	0
and	and	cc	and	and	0
ouerthrowe	ouerthrowe	vvi	overthrown	overthrow	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
(	(	(	(	(	0
yf	yf	cs	if	if	0
it	it	pn31	it	it	0
lay	lay	vvb	lay	lay	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
)	)	)	)	)	0
howe	howe	c-crq	how	how	0
iustely	iustely	av-j	justly	just	0
shall	shall	vmb	shall	shall	0
our	our	po12	our	our	0
conscience	conscience	n1	conscience	conscience	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
demne	demne	vvb	demne	demne	0
vs	vs	pno12	us	we	0
beinge	beinge	vbg	being	be	0
negligent	negligent	j	negligent	negligent	0
or	or	cc	or	or	0
retchlesse	retchlesse	j	retchless	reckless	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
helpe	helpe	n1	help	help	0
to	to	pc-acp	to	to	0
defende	defende	vvi	defend	defend	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
Let	Let	vvb	Let	let	0
vs	vs	pno12	us	we	0
not	not	xx	not	not	0
thynke	thynke	vvi	think	think	0
but	but	p-acp	but	but	0
God	God	np1	God	God	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
alredy	alredy	av	already	already	0
plaged	plaged	vvn	plagued	plague	0
the	the	dt	the	the	0
churche	churche	n1	church	church	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
realme	realme	n1	realm	realm	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
rechlessenes	rechlessenes	n1	rechlessenes	rechlessenes	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
fathers	fathers	ng1	father's	father	0
wyl	wyl	n1	will	will	0
)	)	)	)	)	0
much	much	d	much	much	0
more	more	av-dc	more	more	0
greuously	greuously	av-j	grievously	grievous	0
punyshe	punyshe	vvi	punish	punish	0
vs	vs	pno12	us	we	0
beinge	beinge	vbg	being	be	0
nothinge	nothinge	pix	nothing	nothing	0
amended	amended	vvn	amended	amend	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
worse	worse	av-jc	worse	worse	0
after	after	p-acp	after	after	0
this	this	d	this	this	0
his	his	po31	his	his	0
chastisement	chastisement	n1	chastisement	chastisement	0
and	and	cc	and	and	0
correction	correction	n1	correction	correction	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
this	this	d	this	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
tyme	tyme	n1	time	time	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
hede	hede	n1	heed	heed	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
diligent	diligent	j	diligent	diligent	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
tyme	tyme	n1	time	time	0
to	to	p-acp	to	to	0
haruest	haruest	n1	harvest	harvest	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
