Shewing	Shewing	vvg	Showing	show	0
,	,	,	,	,	0
THat	THat	cst	THat	that	0
whereas	whereas	cs	whereas	whereas	0
your	your	po22	your	your	0
Petitio	Petitio	np1	Petitio	Petitio	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
Jones	Jones	np1	Jones	Jones	0
,	,	,	,	,	0
and	and	cc	and	and	0
another	another	j-jn	another	another	0
were	were	vbdr	were	be	0
committed	committed	vvn	committed	commit	0
and	and	cc	and	and	0
kept	kept	vvn	kept	keep	0
prisoners	prisoners	n2	prisoners	prisoner	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Fleet	Fleet	n1	Fleet	fleet	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Ba	Ba	uh	Ba	ba	0
∣	∣	sy	∣	∣	0
rons	rons	n2	rons	ron	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
exchequer	exchequer	n1	exchequer	exchequer	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
execu	execu	n1	execu	execu	0
∣	∣	sy	∣	∣	0
ting	ting	uh	ting	ting	0
Commissions	Commissions	n2	Commissions	commission	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Seal	Seal	n1	Seal	seal	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
and	and	cc	and	and	0
Teste	Teste	fw-la	Teste	testae	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Wild	Wild	j	Wild	wild	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
discovering	discovering	n-vvg	discovering	discover	0
of	of	pp-f	of	of	0
diverse	diverse	j	diverse	diverse	0
lands	lands	n2	lands	land	0
in	in	p-acp	in	in	0
diverse	diverse	j	diverse	diverse	0
Counties	Counties	n2	Counties	county	0
forefeited	forefeited	vvn	forfeited	forfeit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Common-wealth	Common-wealth	n1	Commonwealth	commonwealth	0
,	,	,	,	,	0
and	and	cc	and	and	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
cealed	cealed	n1	cealed	cealed	0
from	from	p-acp	from	from	0
them	them	pno32	them	they	0
:	:	:	:	:	0
Which	Which	r-crq	Which	which	0
your	your	po22	your	your	0
Pe	Pe	np1	Pe	Pedro	0
∣	∣	sy	∣	∣	0
titioners	titioners	n2	titioners	titioner	0
have	have	vhb	have	have	0
sound	sound	n1	found	sound	0
out	out	av	out	out	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Oaths	Oaths	n2	Oaths	oath	0
of	of	pp-f	of	of	0
lawful	lawful	j	lawful	lawful	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
returned	returned	vvn	returned	return	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
commanded	commanded	vvn	commanded	command	0
,	,	,	,	,	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Court	Court	n1	Court	court	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
expirations	expirations	n2	expirations	expiration	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Commissions	Commissions	n2	Commissions	commission	0
.	.	.	.	.	1
And	And	cc	And	and	0
have	have	vhb	have	have	0
another	another	j-jn	another	another	0
unexpired	unexpired	vvd	unexpired	unexpire	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Inquisitions	Inquisitions	n2	Inquisitions	inquisition	0
thereupon	thereupon	av	thereupon	thereupon	0
made	made	vvn	made	make	0
&	&	cc	&	and	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Com	Com	vvi	Come	come	0
∣	∣	sy	∣	∣	0
missions	missions	n2	missions	mission	0
and	and	cc	and	and	0
Inquisitions	Inquisitions	n2	Inquisitions	inquisition	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
filed	filed	vvn	filed	file	0
,	,	,	,	,	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Barons	Barons	n2	Barons	baron	0
having	having	vhg	having	have	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
tice	tice	vvb	tice	entice	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Lawyers	Lawyers	n2	Lawyers	lawyer	0
hired	hired	vvn	hired	hire	0
to	to	p-acp	to	to	0
at	at	p-acp	at	at	0
∣	∣	sy	∣	∣	0
tend	tend	vvb	tend	tend	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Concealers	Concealers	n2	Concealers	concealer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Lands	Lands	n2	Lands	land	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Petitioner	Petitioner	n1	Petitioner	petitioner	0
Jones	Jones	np1	Jones	Jones	0
wrot	wrot	vvd	wrote	write	0
the	the	dt	the	the	0
book	book	n1	book	book	0
called	called	vvn	called	call	0
Judges	Judges	n2	Judges	judge	0
judged	judged	vvn	judged	judge	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
own	own	d	own	own	0
mouthes	mouthes	n2	mouths	mouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
books	books	n2	books	book	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
dedica	dedica	fw-la	dedica	dedica	0
∣	∣	sy	∣	∣	0
ted	ted	vvn	ted	t	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
your	your	po22	your	your	0
Army	Army	n1	Army	army	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
corrupt	corrupt	j	corrupt	corrupt	0
Lawyers	Lawyers	n2	Lawyers	lawyer	0
and	and	cc	and	and	0
their	their	po32	their	their	0
unlawful	unlawful	j	unlawful	unlawful	0
practises	practises	n2	practises	practise	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
own	own	d	own	own	0
unconscionable	unconscionable	j	unconscionable	unconscionable	0
gaines	gaines	n2	gains	gain	0
and	and	cc	and	and	0
extor	extor	n1	extor	extor	0
∣	∣	sy	∣	∣	0
tions	tions	j	tions	tions	0
contrary	contrary	n-jn	contrary	contrary	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Law	Law	n1	Law	law	0
,	,	,	,	,	0
Justice	Justice	n1	Justice	justice	0
and	and	cc	and	and	0
Equity	Equity	n1	Equity	equity	0
,	,	,	,	,	0
&	&	cc	&	and	0
in	in	p-acp	in	in	0
subversion	subversion	n1	subversion	subversion	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
In	In	p-acp	In	in	0
their	their	po32	their	their	0
malignity	malignity	n1	malignity	malignity	0
to	to	p-acp	to	to	0
Jones	Jones	np1	Jones	Jones	0
,	,	,	,	,	0
looked	looked	vvn	looked	look	0
upon	upon	p-acp	upon	upon	0
their	their	po32	their	their	0
own	own	d	own	own	0
Commissions	Commissions	n2	Commissions	commission	0
as	as	c-acp	as	as	0
erroneous	erroneous	j	erroneous	erroneous	0
and	and	cc	and	and	0
unwarrantable	unwarrantable	j	unwarrantable	unwarrantable	0
by	by	p-acp	by	by	0
Law	Law	n1	Law	law	0
(	(	(	(	(	0
though	though	cs	though	though	0
presidented	presidented	vvn	presidented	president	0
by	by	p-acp	by	by	0
learned	learned	j	learned	learned	0
and	and	cc	and	and	0
Judi	Judi	np1	Judi	Judi	0
∣	∣	sy	∣	∣	0
cious	cious	uh	cious	cious	0
Lawyers	Lawyers	n2	Lawyers	lawyer	0
in	in	p-acp	in	in	0
former	former	j	former	former	0
ages	ages	n2	ages	age	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
presidents	presidents	n2	presidents	president	0
,	,	,	,	,	0
the	the	dt	the	the	0
now	now	av	now	now	0
Barons	Barons	n2	Barons	baron	0
and	and	cc	and	and	0
Lawyers	Lawyers	n2	Lawyers	lawyer	0
disregarding	disregarding	vvg	disregarding	disregard	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
respect	respect	n1	respect	respect	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
have	have	vhb	have	have	0
ordered	ordered	vvn	ordered	order	0
all	all	d	all	all	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Commissions	Commissions	n2	Commissions	commission	0
