PLATO	PLATO	np1	PLATO	Plato	0
A	A	sy	A	a	0
∣	∣	sy	∣	∣	0
mong	mong	p-acp	mong	among	0
many	many	d	many	many	0
o	o	uh	oh	oh	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
table	table	n1	table	table	0
sentences	sentences	n2	sentences	sentence	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
government	government	n1	government	government	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
cōmon	cōmon	j	common	common	0
weale	weale	n1	weal	weal	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
this	this	d	this	this	0
:	:	:	:	:	0
Well	Well	av	Well	well	0
is	is	vbz	is	be	0
that	that	d	that	that	0
realme	realme	n1	realm	realm	0
governed	governed	vvn	governed	govern	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
am	am	vbm	am	be	0
∣	∣	sy	∣	∣	0
bicious	bicious	j	bicious	bicious	0
desyer	desyer	n1	desire	desire	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
office	office	n1	office	office	0
.	.	.	.	.	1
Wherby	Wherby	c-crq	Whereby	whereby	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
perceive	perceive	vvi	perceive	perceive	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
)	)	)	)	)	0
what	what	r-crq	what	what	0
offices	offices	n2	offices	office	0
are	are	vbr	are	be	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
duely	duely	av-jn	duly	due	0
exe	exe	n1	exe	exe	0
∣	∣	sy	∣	∣	0
cuted	cuted	n1	cut	cut	0
:	:	:	:	:	0
not	not	xx	not	not	0
gaynful	gaynful	j	gainful	gainful	0
spoyles	spoyles	n2	spoils	spoil	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
gredy	gredy	j	greedy	greedy	0
to	to	pc-acp	to	to	0
hunt	hunt	vvi	hunt	hunt	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
payneful	payneful	j	payneful	payneful	0
toyles	toyles	n2	toils	toil	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
heedy	heedy	j	heedy	heedy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
charged	charged	vvn	charged	charge	0
with	with	p-acp	with	with	0
.	.	.	.	.	1
You	You	pn22	You	you	0
may	may	vmb	may	may	0
perceyve	perceyve	vvi	perceive	perceive	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
sentence	sentence	n1	sentence	sentence	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
more	more	av-dc	more	more	0
necessary	necessary	j	necessary	necessary	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
common	common	j	common	common	0
weale	weale	n1	weal	weal	0
,	,	,	,	,	0
than	than	cs	than	than	0
that	that	d	that	that	0
officers	officers	n2	officers	officer	0
be	be	vbb	be	be	0
diligent	diligent	j	diligent	diligent	0
and	and	cc	and	and	0
trusty	trusty	j	trusty	trusty	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
charges	charges	n2	charges	charge	0
.	.	.	.	.	1
And	And	cc	And	and	0
sure	sure	av-j	sure	sure	0
in	in	p-acp	in	in	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
realme	realme	n1	realm	realm	0
such	such	d	such	such	0
provision	provision	n1	provision	provision	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
,	,	,	,	,	0
that	that	cst	that	that	0
officers	officers	n2	officers	officer	0
be	be	vbb	be	be	0
forced	forced	vvn	forced	force	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
their	their	po32	their	their	0
duties	duties	n2	duties	duty	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
harde	harde	j	harden	hard	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
an	an	dt	and	a	0
officer	officer	n1	officer	officer	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
o	o	fw-fr	o	o	0
