SIth	SIth	c-acp	SIth	sith	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
so	so	av	so	so	0
,	,	,	,	,	0
that	that	cst	that	that	0
eache	eache	d	each	each	0
thing	thing	n1	thing	thing	0
naturally	naturally	av-j	naturally	natural	0
coueteth	coueteth	vvz	covets	covet	0
and	and	cc	and	and	0
desireth	desireth	vvz	desires	desire	0
that	that	d	that	that	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
so	so	av	so	so	0
muche	muche	av-d	much	much	0
auaile	auaile	vvi	avail	avail	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
conser	conser	fw-fr	conser	conser	0
∣	∣	sy	∣	∣	0
uation	uation	n1	uation	uation	0
of	of	pp-f	of	of	0
humane	humane	j	humane	humane	0
life	life	n1	life	life	0
and	and	cc	and	and	0
societie	societie	n1	society	society	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	d	that	that	0
whiche	whiche	r-crq	which	which	0
is	is	vbz	is	be	0
necessarie	necessarie	j	necessary	necessary	0
and	and	cc	and	and	0
profitable	profitable	j	profitable	profitable	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
:	:	:	:	:	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
certeine	certeine	j	certain	certain	0
(	(	(	(	(	0
Syr	Syr	n1	Sir	sir	0
,	,	,	,	,	0
)	)	)	)	)	0
that	that	cst	that	that	0
among	among	p-acp	among	among	0
all	all	d	all	all	0
thinges	thinges	n2	things	thing	0
created	created	vvn	created	create	0
good	good	j	good	good	0
and	and	cc	and	and	0
beneficiall	beneficiall	j	beneficial	beneficial	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
auaile	auaile	n1	avail	avail	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
none	none	pi	none	none	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
compared	compared	vvn	compared	compare	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
commoditie	commoditie	n1	commodity	commodity	0
and	and	cc	and	and	0
profite	profite	n1	profit	profit	0
that	that	cst	that	that	0
commeth	commeth	vvz	comes	come	0
from	from	p-acp	from	from	0
man	man	n1	man	man	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
mainteined	mainteined	vvn	maintained	maintain	0
&	&	cc	&	and	0
cau	cau	vvn	caused	cause	0
∣	∣	sy	∣	∣	0
sed	sed	fw-la	sed	sed	0
Common	Common	j	Common	common	0
weales	weales	n2	weals	weal	0
,	,	,	,	,	0
Realmes	Realmes	n2	Realms	realm	0
,	,	,	,	,	0
Alexander	Alexander	np1	Alexander	Alexander	0
Iu.	Iu.	np1	Iu.	Iu.	0
Caesar	Caesar	np1	Caesar	Caesar	0
.	.	.	.	.	0
and	and	cc	and	and	0
Empires	Empires	n2	Empires	empire	0
to	to	pc-acp	to	to	0
flourishe	flourishe	vvi	flourish	flourish	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
men	men	n2	men	man	0
?	?	?	?	?	1
Alexander	Alexander	np1	Alexander	Alexander	0
,	,	,	,	,	0
Iulius	Iulius	np1	Iulius	Iulius	0
Caesar	Caesar	np1	Caesar	Caesar	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
excellent	excellent	j	excellent	excellent	0
and	and	cc	and	and	0
greate	greate	j	great	great	0
personages	personages	n2	personages	personage	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
what	what	r-crq	what	what	0
other	other	j-jn	other	other	0
meane	meane	n2	mean	mean	0
haue	haue	vhb	have	have	0
they	they	pns32	they	they	0
done	done	vdi	done	do	0
so	so	av	so	so	0
great	great	j	great	great	0
and	and	cc	and	and	0
renow	renow	av	renow	renow	0
∣	∣	sy	∣	∣	0
med	med	vvd	med	m	0
thinges	thinges	n2	things	thing	0
?	?	?	?	?	1
So	So	av	So	so	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
moste	moste	av-ds	most	most	0
cleare	cleare	j	clear	clear	0
