BY	BY	p-acp	BY	by	0
your	your	po22	your	your	0
Fauours	Fauours	n2	Favours	favour	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
some	some	d	some	some	0
place	place	n1	place	place	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
before	before	a-acp	before	before	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
now	now	av	now	now	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
an	an	dt	and	a	0
Aduen	Aduen	n1	Advent	advent	0
∣	∣	sy	∣	∣	0
turer	turer	n1	turer	turer	0
,	,	,	,	,	0
if	if	cs	if	if	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
VIRGI	VIRGI	np1	VIRGI	Virgi	0
∣	∣	sy	∣	∣	0
NIA	NIA	np1	NIA	Nia	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
for	for	p-acp	for	for	0
VIRGI	VIRGI	np1	VIRGI	Virgi	0
∣	∣	sy	∣	∣	0
NIA	NIA	np1	NIA	Nia	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
,	,	,	,	,	0
euery	euery	d	every	every	0
man	man	n1	man	man	0
that	that	cst	that	that	0
Prints	Prints	n2	Prints	print	0
,	,	,	,	,	0
Aduen	Aduen	vvn	Advent	advent	0
∣	∣	sy	∣	∣	0
tures	tures	n1	tures	tures	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
Preaching	Preaching	vvg	Preaching	preach	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Ser	Ser	n1	Sir	sir	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
but	but	cc-acp	but	but	0
vnder	vnder	p-acp	under	under	0
your	your	po22	your	your	0
Inuitation	Inuitation	n1	Invitation	invitation	0
;	;	;	;	;	0
my	my	po11	my	my	0
Time	Time	n1	Time	time	0
was	was	vbds	was	be	0
mine	mine	png11	mine	i	0
owne	owne	d	own	own	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
Medi	Medi	fw-la	Medi	medi	0
∣	∣	sy	∣	∣	0
tations	tations	n2	tations	tation	0
mine	mine	png11	mine	i	0
owne	owne	d	own	own	0
:	:	:	:	:	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
beene	beene	vbn	been	be	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
cusable	cusable	j-u	cusable	cusable	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
turned	turned	vvn	turned	turn	0
that	that	d	that	that	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
Meditations	Meditations	n2	Meditations	meditation	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
GODS	GODS	npg1	GODS	God	0
Seruice	Seruice	n1	Service	service	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
place	place	n1	place	place	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Printing	Printing	vvg	Printing	print	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
vnder	vnder	p-acp	under	under	0
your	your	po22	your	your	0
Inuitation	Inuitation	n1	Invitation	invitation	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
vnder	vnder	p-acp	under	under	0
your	your	po22	your	your	0
Commandement	Commandement	n1	Commandment	commandment	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
prea	prea	vvb	prea	pray	0
∣	∣	sy	∣	∣	0
ched	ched	pns31|vmb	ched	she|will	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
yours	yours	png22	yours	you	0
:	:	:	:	:	0
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
gaue	gaue	vvd	gave	give	0
it	it	pn31	it	it	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
but	but	p-acp	but	but	0
restore	restore	vvi	restore	restore	0
it	it	pn31	it	it	0
now	now	av	now	now	0
,	,	,	,	,	0
The	The	dt	The	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
was	was	vbds	was	be	0
an	an	dt	and	a	0
act	act	n1	act	act	0
of	of	pp-f	of	of	0
Loue	Loue	n1	Love	love	0
;	;	;	;	;	0
this	this	d	this	this	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Iustice	Iustice	n1	Justice	justice	0
:	:	:	:	:	0
both	both	d	both	both	0
which	which	r-crq	which	which	0
Vertues	Vertues	n2	Virtues	virtue	0
,	,	,	,	,	0
Almightie	Almightie	j-jn	Almighty	almighty	0
God	God	np1	God	God	0
euer	euer	av	ever	ever	0
∣	∣	sy	∣	∣	0
more	more	dc	more	more	0
promoue	promoue	vvb	promove	promove	0
,	,	,	,	,	0
and	and	cc	and	and	0
exalt	exalt	vvi	exalt	exalt	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
your	your	po22	your	your	0
proceedings	proceedings	n2-vvg	proceedings	proceed	0
.	.	.	.	.	1
AMEN	AMEN	uh-n	AMEN	amen	0
.	.	.	.	.	1
