Intirely	Intirely	av-j	Entirely	entire	0
Beloved	Beloved	vvn	Beloved	belove	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
importunate	importunate	j	importunate	importunate	0
Desires	Desires	n2	Desires	desire	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
have	have	vhb	have	have	0
Midwiv'd	Midwiv'd	j	Midwived	midwived	0
this	this	d	this	this	0
imperfect	imperfect	j	imperfect	imperfect	0
Discourse	Discourse	n1	Discourse	discourse	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
tho'	tho'	cs	though	though	0
much	much	d	much	much	0
against	against	p-acp	against	against	0
my	my	po11	my	my	0
Inclination	Inclination	n1	Inclination	inclination	0
;	;	;	;	;	0
and	and	cc	and	and	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
the	the	dt	the	the	0
Reluctancies	Reluctancies	n2	Reluctancies	reluctancy	0
and	and	cc	and	and	0
Struglings	Struglings	n2-vvg	Strugglings	struggle	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Mind	Mind	n1	Mind	mind	0
about	about	p-acp	about	about	0
it	it	pn31	it	it	0
,	,	,	,	,	0
have	have	vhb	have	have	0
hindered	hindered	vvn	hindered	hinder	0
the	the	dt	the	the	0
exposing	exposing	vvg	exposing	expose	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
public	public	j	public	public	0
View	View	n1	View	view	0
until	until	c-acp	until	until	0
now	now	av	now	now	0
;	;	;	;	;	0
not	not	xx	not	not	0
because	because	p-acp	because	because	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
least	least	ds	least	least	0
measure	measure	n1	measure	measure	0
ashamed	ashamed	j	ashamed	ashamed	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
great	great	j	great	great	0
and	and	cc	and	and	0
fundamental	fundamental	j	fundamental	fundamental	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Subject	Subject	j-jn	Subject	subject	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
or	or	cc	or	or	0
unwilling	unwilling	j	unwilling	unwilling	0
the	the	dt	the	the	0
World	World	n1	World	world	0
should	should	vmd	should	shall	0
know	know	vvi	know	know	0
my	my	po11	my	my	0
Judg	Judg	n1	Judge	judge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
herein	herein	av	herein	herein	0
:	:	:	:	:	0
This	This	d	This	this	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
reasonably	reasonably	av-j	reasonably	reasonable	0
supposed	supposed	vvn	supposed	suppose	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
considered	considered	vvn	considered	consider	0
,	,	,	,	,	0
that	that	cst	that	that	0
these	these	d	these	these	0
Sermons	Sermons	n2	Sermons	sermon	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
Preached	Preached	vvn	Preached	preach	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
few	few	d	few	few	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Corner	Corner	n1	Corner	corner	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
very	very	j	very	very	0
considerable	considerable	j	considerable	considerable	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
People	People	n1	People	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
Meeting-Place	Meeting-Place	n1	Meeting-Place	meeting-place	0
of	of	pp-f	of	of	0
as	as	a-acp	as	as	0
great	great	j	great	great	0
Note	Note	n1	Note	note	0
as	as	p-acp	as	as	0
any	any	d	any	any	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Shortness	Shortness	n1	Shortness	shortness	0
,	,	,	,	,	0
Broken	Broken	j-vvn	Broken	break	0
and	and	cc	and	and	0
Abrupt	Abrupt	j	Abrupt	abrupt	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
handling	handling	vvg	handling	handle	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
considering	considering	vvg	considering	consider	0
,	,	,	,	,	0
that	that	cst	that	that	0
many	many	d	many	many	0
Learned	Learned	j	Learned	learned	0
and	and	cc	and	and	0
Worthy	Worthy	j	Worthy	worthy	0
Men	Men	n2	Men	man	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
Print	Print	n1	Print	print	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
Subject	Subject	j-jn	Subject	subject	0
;	;	;	;	;	0
and	and	cc	and	and	0
lest	lest	cs	lest	lest	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
thought	thought	vvn	thought	think	0
Ambitious	Ambitious	j	Ambitious	ambitious	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
numbered	numbered	vvn	numbered	number	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
,	,	,	,	,	0
altho'	altho'	cs	although	although	0
(	(	(	(	(	0
so	so	av	so	so	0
far	far	av-j	far	far	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
acquainted	acquainted	vvn	acquainted	acquaint	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
own	own	d	own	own	0
Heart	Heart	n1	Heart	heart	0
)	)	)	)	)	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
say	say	vvi	say	say	0
,	,	,	,	,	0
I	I	pns11	I	i	0
esteem	esteem	vvb	esteem	esteem	0
my	my	po11	my	my	0
self	self	n1	self	self	0
altogether	altogether	av	altogether	altogether	0
Ʋnworthy	Ʋnworthy	j	Ʋnworthy	ʋnworthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Book-Bearer	Book-Bearer	n1	Book-Bearer	book-bearer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
least	least	ds	least	least	0
amongst	amongst	p-acp	among	among	0
all	all	d	all	all	0
those	those	d	those	those	0
Orthodox	Orthodox	n1	Orthodox	orthodox	0
Ministers	Ministers	n2	Ministers	minister	0
,	,	,	,	,	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
treated	treated	vvn	treated	treat	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
Subject	Subject	j-jn	Subject	subject	0
;	;	;	;	;	0
however	however	c-acp	however	however	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
accomo	accomo	fw-la	accomo	accomo	0
∣	∣	sy	∣	∣	0
date	date	n1	date	date	0
your	your	po22	your	your	0
Desires	Desires	n2	Desires	desire	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
adventured	adventured	vvn	adventured	adventure	0
to	to	pc-acp	to	to	0
break	break	vvi	break	break	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
Crowd	Crowd	n1	Crowd	crowd	0
of	of	pp-f	of	of	0
Impediments	Impediments	n2	Impediments	impediment	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
seemed	seemed	vvd	seemed	seem	0
to	to	pc-acp	to	to	0
lye	lye	vvi	lie	lie	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
;	;	;	;	;	0
and	and	cc	and	and	0
having	having	vhg	having	have	0
taken	taken	vvn	taken	take	0
a	a	dt	a	a	0
short	short	j	short	short	0
Review	Review	np1	Review	Review	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
Short-Hand	Short-Hand	n1	Short-Hand	shorthand	0
)	)	)	)	)	0
I	I	pns11	I	i	0
find	find	vvb	find	find	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
part	part	n1	part	part	0
,	,	,	,	,	0
the	the	dt	the	the	0
Substance	Substance	n1	Substance	substance	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
delivered	delivered	vvd	delivered	deliver	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
(	(	(	(	(	0
tho'	tho'	cs	though	though	0
something	something	pi	something	something	0
consi	consi	fw-fr	consi	consi	0
∣	∣	sy	∣	∣	0
derable	derable	j	derable	derable	0
is	is	vbz	is	be	0
omitted	omitted	vvn	omitted	omit	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
nothing	nothing	pix	nothing	nothing	0
added	added	vvd	added	add	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
I	I	pns11	I	i	0
considered	considered	vvd	considered	consider	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
put	put	vvn	put	put	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
another	another	j-jn	another	another	0
form	form	n1	from	form	0
,	,	,	,	,	0
clipp'd	clipp'd	vvn	clipped	clip	0
,	,	,	,	,	0
dress'd	dress'd	vvn	dressed	dress	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
any	any	d	any	any	0
considerable	considerable	j	considerable	considerable	0
Additions	Additions	n2	Additions	addition	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
please	please	vvi	please	please	0
the	the	dt	the	the	0
Curiosity	Curiosity	n1	Curiosity	curiosity	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Cen	Cen	n1	Cen	cen	0
∣	∣	sy	∣	∣	0
sorious	sorious	j	sorious	sorious	0
Age	Age	n1	Age	age	0
,	,	,	,	,	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
look'd	look'd	vvn	looked	look	0
so	so	av	so	so	0
much	much	av-d	much	much	0
unlike	unlike	av-j	unlike	unlike	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
Preach'd	Preach'd	vvn	Preached	preach	0
at	at	p-acp	at	at	0
Pinners-Hall	Pinners-Hall	n1	Pinners-Hall	pinners-hall	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
find	find	vvi	find	find	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
