MOST	MOST	av-ds	MOST	most	0
Illustrious	Illustrious	j	Illustrious	illustrious	0
,	,	,	,	,	0
and	and	cc	and	and	0
Renovvned	Renovvned	j-vvn	Renowned	renown	0
Ladies	Ladies	n2	Ladies	lady	0
;	;	;	;	;	0
It	It	pn31	It	it	0
vvas	vvas	vbds	was	be	0
the	the	dt	the	the	0
opinion	opinion	n1	opinion	opinion	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
ancient	ancient	j	ancient	ancient	0
,	,	,	,	,	0
and	and	cc	and	and	0
graue	graue	j	graven	grave	0
Thucydi	Thucydi	np1	Thucydi	Thucydi	0
∣	∣	sy	∣	∣	0
des	des	fw-fr	des	des	0
.	.	.	.	.	1
Hi	Hi	pno31	Him	he	0
∣	∣	sy	∣	∣	0
storian	storian	n1	storian	storian	0
,	,	,	,	,	0
that	that	cst	that	that	0
men	men	n2	men	man	0
should	should	vmd	should	shall	0
speake	speake	vvi	speak	speak	0
nothing	nothing	pix	nothing	nothing	0
of	of	pp-f	of	of	0
wo	wo	n1	woe	woe	0
∣	∣	sy	∣	∣	0
men	men	n2	men	man	0
;	;	;	;	;	0
neither	neither	dx	neither	neither	0
good	good	j	good	good	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
euill	euill	j-jn	evil	evil	0
.	.	.	.	.	1
An	An	dt	And	a	0
opinion	opinion	n1	opinion	opinion	0
vnvvorthy	vnvvorthy	j	unworthy	unworthy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Authour	Authour	n1	Author	author	0
;	;	;	;	;	0
vvhi	vvhi	fw-la	vvhi	vvhi	0
∣	∣	sy	∣	∣	0
ch	ch	n1	changed	chamber	0
as	as	c-acp	as	as	0
In	In	p-acp	In	in	0
his	his	po31	his	his	0
Treatise	Treatise	n1	Treatise	treatise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
vertuous	vertuous	j	virtuous	virtuous	0
acts	acts	n2	acts	act	0
of	of	pp-f	of	of	0
vvo	vvo	n1	vvo	vvo	0
∣	∣	sy	∣	∣	0
men	men	n1	men	man	0
.	.	.	.	.	1
Plutarch	Plutarch	np1	Plutarch	Plutarch	0
approoueth	approoueth	vvz	approveth	approve	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
censure	censure	n1	censure	censure	0
,	,	,	,	,	0
so	so	av	so	so	0
nei	nei	fw-la	nei	nei	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
Sir	Sir	n1	Sir	sir	0
Edward	Edward	np1	Edward	Edward	0
Hoby	Hoby	np1	Hoby	Hoby	0
