WHat	WHat	q-crq	WHat	what	0
great	great	j	great	great	0
commoditie	commoditie	n1	commodity	commodity	0
and	and	cc	and	and	0
profit	profit	n1	profit	profit	0
Right	Right	j-jn	Right	right	0
worthy	worthy	j	worthy	worthy	0
&	&	cc	&	and	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
shipfull	shipfull	j	shipfull	shipfull	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
alwaies	alwaies	av	always	always	0
redownded	redownded	vvd	redounded	redound	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
common	common	j	common	common	0
weale	weale	n1	weal	weal	0
,	,	,	,	,	0
and	and	cc	and	and	0
gouern	gouern	vvb	govern	govern	0
ours	ours	png12	ours	we	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
martial	martial	j	martial	martial	0
affaires	affaires	n2	affairs	affair	0
and	and	cc	and	and	0
warlike	warlike	j	warlike	warlike	0
discipline	discipline	n1	discipline	discipline	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
chiefely	chiefely	av-jn	chiefly	chief	0
delighted	delighted	vvn	delighted	delight	0
and	and	cc	and	and	0
taken	taken	vvn	taken	take	0
great	great	j	great	great	0
paines	paines	n2	pains	pain	0
and	and	cc	and	and	0
care	care	n1	care	care	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
vnto	vnto	p-acp	unto	unto	0
what	what	r-crq	what	what	0
excel	excel	vvi	excel	excel	0
∣	∣	sy	∣	∣	0
lent	lent	np1	lent	Lent	0
fame	fame	n1	fame	fame	0
and	and	cc	and	and	0
renowme	renowme	vvi	renown	renown	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
alwayes	alwayes	av	always	always	0
brought	brought	vvn	brought	bring	0
and	and	cc	and	and	0
exalted	exalted	vvn	exalted	exalt	0
vnto	vnto	p-acp	unto	unto	0
high	high	j	high	high	0
dignitie	dignitie	n1	dignity	dignity	0
,	,	,	,	,	0
those	those	d	those	those	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
taken	taken	vvn	taken	take	0
vpon	vpon	p-acp	upon	upon	0
them	them	pno32	them	they	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
their	their	po32	their	their	0
Prince	Prince	n1	Prince	prince	0
and	and	cc	and	and	0
Countries	Countries	ng1	Countries	country	0
prosperitie	prosperitie	n1	prosperity	prosperity	0
great	great	j	great	great	0
exploytes	exploytes	n2	exploits	exploit	0
,	,	,	,	,	0
rather	rather	av-c	rather	rather	0
putting	putting	vvg	putting	put	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
in	in	p-acp	in	in	0
daunger	daunger	n1	danger	danger	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
liues	liues	n2	lives	life	0
,	,	,	,	,	0
then	then	cs	then	than	0
their	their	po32	their	their	0
Prince	Prince	n1	Prince	prince	0
and	and	cc	and	and	0
Country	Country	n1	Country	country	0
shoulde	shoulde	vmd	should	shall	0
bee	bee	vbi	be	be	0
dishonoured	dishonoured	vvn	dishonoured	dishonour	0
.	.	.	.	.	1
Then	Then	cs	Then	than	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
obiection	obiection	n1	objection	objection	0
or	or	cc	or	or	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
woorship	woorship	n1	worship	worship	0
is	is	vbz	is	be	0
one	one	pi	one	one	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
I	I	pns11	I	i	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
can	can	vmb	can	can	0
witnesse	witnesse	vvi	witness	witness	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
owne	owne	d	own	own	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
know	know	vvb	know	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
person	person	n1	person	person	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Land	Land	n1	Land	land	0
hath	hath	vhz	hath	have	0
such	such	d	such	such	0
great	great	j	great	great	0
iudgement	iudgement	n1	judgement	judgement	0
and	and	cc	and	and	0
knowledge	knowledge	n1	knowledge	knowledge	0
in	in	p-acp	in	in	0
martial	martial	j	martial	martial	0
affaires	affaires	n2	affairs	affair	0
by	by	p-acp	by	by	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
both	both	d	both	both	0
touch	touch	n1	touch	touch	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
the	the	dt	the	the	0
shipping	shipping	n-vvg	shipping	ship	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
the	the	dt	the	the	0
proui	proui	fw-fr	proui	proui	0
∣	∣	sy	∣	∣	0
sion	sion	n1	sion	sion	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
woorship	woorship	n1	worship	worship	0
hath	hath	vhz	hath	have	0
:	:	:	:	:	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
courage	courage	n1	courage	courage	0
,	,	,	,	,	0
valiantnesse	valiantnesse	n1	valiantness	valiantness	0
,	,	,	,	,	0
and	and	cc	and	and	0
wisdome	wisdome	n1	wisdom	wisdom	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
vnknowne	vnknowne	j	unknown	unknown	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
,	,	,	,	,	0
whereas	whereas	cs	whereas	whereas	0
I	I	pns11	I	i	0
being	being	vbg	being	be	0
most	most	av-ds	most	most	0
symple	symple	j	simple	simple	0
haue	haue	vhb	have	have	0
written	written	vvn	written	write	0
this	this	d	this	this	0
base	base	j	base	base	0
and	and	cc	and	and	0
rude	rude	j	rude	rude	0
volume	volume	n1	volume	volume	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
I	I	pns11	I	i	0
doo	doo	vdb	do	do	0
call	call	vvi	call	call	0
a	a	dt	a	a	0
Treasure	Treasure	n1	Treasure	treasure	0
for	for	p-acp	for	for	0
Trauaylers	Trauaylers	n2	Travelers	traveller	0
,	,	,	,	,	0
am	am	vbm	am	be	0
so	so	av	so	so	0
bolde	bolde	j	bold	bold	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
it	it	pn31	it	it	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
the	the	dt	the	the	0
Booke	Booke	n1	Book	book	0
is	is	vbz	is	be	0
worthy	worthy	j	worthy	worthy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
preferred	preferred	vvn	preferred	prefer	0
vnto	vnto	p-acp	unto	unto	0
so	so	av	so	so	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thy	thy	po21	thy	thy	0
a	a	dt	a	a	0
person	person	n1	person	person	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
bounden	bounden	vvn	bounden	bind	0
duetyes	duetyes	n2	duties	duty	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
knowledge	knowledge	n1	knowledge	knowledge	0
my	my	po11	my	my	0
good	good	j	good	good	0
wyll	wyll	n1	will	will	0
towardes	towardes	p-acp	towards	towards	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
most	most	ds	most	most	0
largelye	largelye	av-j	largely	large	0
tasted	tasted	vvn	tasted	taste	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
beneuo	beneuo	n1	beneuo	beneuo	0
∣	∣	sy	∣	∣	0
lence	lence	n1	lence	lence	0
towards	towards	p-acp	towards	towards	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
being	being	vbg	being	be	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
poore	poore	j	poor	poor	0
Gunner	Gunner	n1	Gunner	gunner	0
,	,	,	,	,	0
