ALbeit	ALbeit	cs	ALbeit	albeit	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
Honourable	Honourable	j	Honourable	honourable	0
)	)	)	)	)	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
good	good	j	good	good	0
Reason	Reason	n1	Reason	reason	0
,	,	,	,	,	0
and	and	cc	and	and	0
moste	moste	av-ds	most	most	0
conue	conue	av	conue	conue	0
∣	∣	sy	∣	∣	0
nient	nient	av-j	nient	nient	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
¦	¦	sy	¦	¦	0
thing	thing	n1	thing	thing	0
shoulde	shoulde	vmd	should	shall	0
come	come	vvi	come	come	0
before	before	p-acp	before	before	0
your	your	po22	your	your	0
Honou	Honou	j	Honou	honou	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
presence	presence	n1	presence	presence	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
moste	moste	av-ds	most	most	0
perfect	perfect	j	perfect	perfect	0
and	and	cc	and	and	0
excellent	excellent	j	excellent	excellent	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
bearing	bearing	vvg	bearing	bear	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
bolde	bolde	j	bold	bold	0
vppon	vppon	p-acp	upon	upon	0
that	that	d	that	that	0
incomparable	incomparable	j	incomparable	incomparable	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
all	all	d	all	all	0
men	men	n2	men	man	0
knowe	knowe	vvb	know	know	0
to	to	p-acp	to	to	0
reast	reast	zz	reast	reast	0
within	within	p-acp	within	within	0
your	your	po22	your	your	0
Noble	Noble	j	Noble	noble	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
here	here	av	here	here	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
a	a	dt	a	a	0
taste	taste	n1	taste	taste	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
good	good	j	good	good	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
simple	simple	j	simple	simple	0
fruite	fruite	n1	fruit	fruit	0
as	as	p-acp	as	as	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
Orcharde	Orcharde	n1	Orchard	orchard	0
coulde	coulde	vmd	could	can	0
yeelde	yeelde	vvi	yield	yield	0
.	.	.	.	.	1
Moste	Moste	av-ds	Most	most	0
humbly	humbly	av-j	humbly	humble	0
beseeching	beseeching	vvg	beseeching	beseech	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
to	to	pc-acp	to	to	0
pardon	pardon	vvi	pardon	pardon	0
my	my	po11	my	my	0
rude	rude	j	rude	rude	0
boldenesse	boldenesse	n1	boldness	boldness	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
my	my	po11	my	my	0
sim	sim	fw-la	sim	sim	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
Present	Present	j	Present	present	0
.	.	.	.	.	1
My	My	po11	My	my	0
meaning	meaning	n1	meaning	meaning	0
hereby	hereby	av	hereby	hereby	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
(	(	(	(	(	0
my	my	po11	my	my	0
good	good	j	good	good	0
Lorde	Lorde	n1	Lord	lord	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
seeme	seeme	vvi	seem	seem	0
to	to	pc-acp	to	to	0
craue	craue	vvi	crave	crave	0
anye	anye	d	any	any	0
thankes	thankes	n2	thanks	thanks	0
or	or	cc	or	or	0
prayse	prayse	n1	praise	praise	0
where	where	c-crq	where	where	0
none	none	pix	none	none	0
is	is	vbz	is	be	0
deserued	deserued	vvn	deserved	deserve	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
seeke	seeke	vvi	seek	seek	0
some	some	d	some	some	0
such	such	d	such	such	0
meanes	meanes	n2	means	mean	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
abilitie	abilitie	n1	ability	ability	0
will	will	vmb	will	will	0
serue	serue	vvi	serve	serve	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
leaue	leaue	vvi	leave	leave	0
a	a	dt	a	a	0
Testi	Testi	n1	Testi	testi	0
∣	∣	sy	∣	∣	0
moniall	moniall	j	moniall	moniall	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
dutifull	dutifull	j	dutiful	dutiful	0
good	good	j	good	good	0
will	will	n1	will	will	0
and	and	cc	and	and	0
single	single	j	single	single	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
beare	beare	vvb	bear	bear	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
whose	whose	rg-crq	whose	who	0
good	good	j	good	good	0
and	and	cc	and	and	0
prosperous	prosperous	j	prosperous	prosperous	0
estate	estate	n1	estate	estate	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
touched	touched	vvn	touched	touch	0
,	,	,	,	,	0
eyther	eyther	av-d	either	either	0
with	with	p-acp	with	with	0
zeale	zeale	n1	zeal	zeal	0
of	of	pp-f	of	of	0
godlynesse	godlynesse	n1	godliness	godliness	0
,	,	,	,	,	0
or	or	cc	or	or	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Countrie	Countrie	n1	Country	country	0
)	)	)	)	)	0
haue	haue	vhi	have	have	0
good	good	j	good	good	0
occasion	occasion	n1	occasion	occasion	0
earnestlye	earnestlye	av-j	earnestly	earnest	0
to	to	pc-acp	to	to	0
pray	pray	vvi	pray	pray	0
:	:	:	:	:	0
so	so	av	so	so	0
I	I	pns11	I	i	0
especially	especially	av-j	especially	especial	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
