To	To	p-acp	To	to	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
honorable	honorable	j	honourable	honourable	0
,	,	,	,	,	0
Henry	Henry	np1	Henry	Henry	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Pembrooke	Pembrooke	np1	Pembrooke	Pembroke	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Herbert	Herbert	np1	Herbert	Herbert	0
of	of	pp-f	of	of	0
Cardyffe	Cardyffe	np1	Cardyffe	Cardyffe	0
,	,	,	,	,	0
Marmyon	Marmyon	np1	Marmyon	Marmyon	0
,	,	,	,	,	0
and	and	cc	and	and	0
S.	S.	n1	S.	saint	0
Quynten	Quynten	j	Quynten	quynten	0
,	,	,	,	,	0
Lorde	Lorde	n1	Lord	lord	0
Praesident	Praesident	n1	President	president	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
principality	principality	n1	principality	principality	0
of	of	pp-f	of	of	0
Wales	Wales	n2	Wales	wale	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Marches	Marches	n2	Marches	march	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
Liuetenant	Liuetenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
Wales	Wales	n2	Wales	wale	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Marches	Marches	n2	Marches	march	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
counties	counties	n2	counties	county	0
of	of	pp-f	of	of	0
Wy	Wy	zz	Wy	wy	0
and	and	cc	and	and	0
Sommerset	Sommerset	np1	Sommerset	Somerset	0
.	.	.	.	.	1
