WHereas	WHereas	cs	WHereas	whereas	0
our	our	po12	our	our	0
Bishops	Bishops	n2	Bishops	bishop	0
,	,	,	,	,	0
Deans	Deans	np1	Deans	Deans	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Cathe	Cathe	n1	Cathe	cathe	0
∣	∣	sy	∣	∣	0
dral	dral	n1	dral	dral	0
Churches	Churches	np1	Churches	Churches	0
,	,	,	,	,	0
Archdeacons	Archdeacons	ng1	Archdeacons	archdeacon	0
,	,	,	,	,	0
Chapters	Chapters	n2	Chapters	chapter	0
and	and	cc	and	and	0
Colledges	Colledges	n2	Colleges	college	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
Clergy	Clergy	n1	Clergy	clergy	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
Di	Di	zz	Di	di	0
∣	∣	sy	∣	∣	0
ocess	ocess	n1	ocess	ocess	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
several	several	j	several	several	0
Provinces	Provinces	n2	Provinces	province	0
of	of	pp-f	of	of	0
Canterbury	Canterbury	np1	Canterbury	Canterbury	0
and	and	cc	and	and	0
York	York	np1	York	York	0
,	,	,	,	,	0
being	being	vbg	being	be	0
respectively	respectively	av-j	respectively	respective	0
summoned	summoned	vvn	summoned	summon	0
and	and	cc	and	and	0
cal	cal	vvb	call	call	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
by	by	p-acp	by	by	0
vertue	vertue	n1	virtue	virtue	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
several	several	j	several	several	0
Writs	Writs	n2	Writs	writ	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Re	Re	fw-it	Re	re	0
∣	∣	sy	∣	∣	0
verend	verend	j	verend	verend	0
Father	Father	n1	Father	father	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
,	,	,	,	,	0
Our	Our	po12	Our	our	0
right	right	j-jn	right	right	0
trusty	trusty	j	trusty	trusty	0
and	and	cc	and	and	0
right	right	j-jn	right	right	0
well-beloved	well-beloved	j	well-beloved	well-beloved	0
Councellor	Councellor	n1	Councillor	councillor	0
,	,	,	,	,	0
William	William	np1	William	William	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Divine	Divine	j-jn	Divine	divine	0
Providence	Providence	n1	Providence	providence	0
Lord	Lord	n1	Lord	lord	0
Archbishop	Archbishop	n1	Archbishop	archbishop	0
of	of	pp-f	of	of	0
Canterbury	Canterbury	np1	Canterbury	Canterbury	0
,	,	,	,	,	0
Pri	Pri	zz	Pri	pri	0
∣	∣	sy	∣	∣	0
mate	mate	n1	mate	mate	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
Metropolitan	Metropolitan	j-jn	Metropolitan	metropolitan	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
most	most	ds	most	most	0
Reverend	Reverend	n-jn	Reverend	reverend	0
Father	Father	n1	Father	father	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
,	,	,	,	,	0
Our	Our	po12	Our	our	0
right	right	j-jn	right	right	0
trusty	trusty	j	trusty	trusty	0
and	and	cc	and	and	0
well-beloved	well-beloved	j	well-beloved	well-beloved	0
Councellor	Councellor	n1	Councillor	councillor	0
,	,	,	,	,	0
Richard	Richard	np1	Richard	Richard	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Divine	Divine	j-jn	Divine	divine	0
Providence	Providence	n1	Providence	providence	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Archbishop	Archbishop	n1	Archbishop	archbishop	0
of	of	pp-f	of	of	0
York	York	np1	York	York	0
,	,	,	,	,	0
Primate	Primate	j-jn	Primate	primate	0
and	and	cc	and	and	0
Metropolitan	Metropolitan	j-jn	Metropolitan	metropolitan	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
respectively	respectively	av-j	respectively	respective	0
directed	directed	vvn	directed	direct	0
,	,	,	,	,	0
bearing	bearing	vvg	bearing	bear	0
date	date	n1	date	date	0
the	the	dt	the	the	0
twentieth	twentieth	ord	twentieth	twenty	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fifteenth	fifteenth	ord	fifteenth	fifteen	0
year	year	n1	year	year	0
of	of	pp-f	of	of	0
Our	Our	np1	Our	Oure	0
Reign	Reign	vvi	Reign	reign	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
appear	appear	vvi	appear	appear	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Lord	Lord	n1	Lord	lord	0
Archbishop	Archbishop	n1	Archbishop	archbishop	0
of	of	pp-f	of	of	0
Canterbury	Canterbury	np1	Canterbury	Canterbury	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Our	Our	po12	Our	our	0
Cathe	Cathe	n1	Cathe	cathe	0
∣	∣	sy	∣	∣	0
dral	dral	n1	dral	dral	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
St.	St.	n1	St.	saint	1
Paul	Paul	np1	Paul	Paul	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
,	,	,	,	,	0
and	and	cc	and	and	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Lord	Lord	n1	Lord	lord	0
Archbshop	Archbshop	n1	Archbshop	archbshop	0
of	of	pp-f	of	of	0
York	York	np1	York	York	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Metropoli	Metropoli	np1	Metropoli	Metropoli	0
∣	∣	sy	∣	∣	0
tan	tan	uh	tan	tan	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
St.	St.	n1	St.	saint	1
Peter	Peter	np1	Peter	Peter	0
in	in	p-acp	in	in	0
York	York	np1	York	York	0
;	;	;	;	;	0
the	the	dt	the	the	0
fourteenth	fourteenth	ord	fourteenth	fourteenth	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
April	April	np1	April	April	0
then	then	av	then	then	0
next	next	ord	next	next	0
ensuing	ensuing	vvg	ensuing	ensue	0
,	,	,	,	,	0
or	or	cc	or	or	0
elsewhere	elsewhere	av	elsewhere	elsewhere	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
respectively	respectively	av-j	respectively	respective	0
should	should	vmd	should	shall	0
think	think	vvi	think	think	0
it	it	pn31	it	it	0
most	most	av-ds	most	most	0
convenient	convenient	j	convenient	convenient	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
treat	treat	vvi	treat	treat	0
,	,	,	,	,	0
consent	consent	n1	consent	consent	0
and	and	cc	and	and	0
conclude	conclude	vvi	conclude	conclude	0
upon	upon	p-acp	upon	upon	0
certain	certain	j	certain	certain	0
diffi	diffi	n2	diffi	diffi	0
∣	∣	sy	∣	∣	0
cult	cult	j	cult	cult	0
and	and	cc	and	and	0
urgent	urgent	j	urgent	urgent	0
affairs	affairs	n2	affairs	affair	0
contained	contained	vvn	contained	contain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Writs	Writs	n2	Writs	writ	0
;	;	;	;	;	0
Did	Did	vdd	Did	do	0
thereupon	thereupon	av	thereupon	thereupon	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
time	time	n1	time	time	0
appointed	appointed	vvn	appointed	appoint	0
,	,	,	,	,	0
and	and	cc	and	and	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
Cathedral	Cathedral	n1	Cathedral	cathedral	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Paul	Paul	np1	Paul	Paul	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Metropolitan	Metropolitan	j-jn	Metropolitan	metropolitan	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Peter	Peter	np1	Peter	Peter	0
aforesaid	aforesaid	vvn	aforesaid	aforesaid	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
∣	∣	sy	∣	∣	0
semble	semble	fw-fr	semble	semble	0
themselves	themselves	px32	themselves	themselves	0
respectively	respectively	av-j	respectively	respective	0
together	together	av	together	together	0
,	,	,	,	,	0
and	and	cc	and	and	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
pear	pear	n1	pear	pear	0
in	in	p-acp	in	in	0
several	several	j	several	several	0
Convocations	Convocations	n2	Convocations	convocation	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cording	cording	vvg	cording	cord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
several	several	j	several	several	0
Writs	Writs	n2	Writs	writ	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Lord	Lord	n1	Lord	lord	0
Archbishop	Archbishop	n1	Archbishop	archbishop	0
of	of	pp-f	of	of	0
Canterbury	Canterbury	np1	Canterbury	Canterbury	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Lord	Lord	n1	Lord	lord	0
Archbishop	Archbishop	n1	Archbishop	archbishop	0
of	of	pp-f	of	of	0
York	York	np1	York	York	0
respectively	respectively	av-j	respectively	respective	0
.	.	.	.	.	1
And	And	cc	And	and	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
We	We	pns12	We	we	0
are	are	vbr	are	be	0
given	given	vvn	given	give	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
Our	Our	po12	Our	our	0
Subjects	Subjects	n2-jn	Subject's	subject	0
being	being	vbg	being	be	0
misled	misled	vvn	misled	mislead	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Rites	Rites	n2	Rites	rite	0
and	and	cc	and	and	0
Cere	Cere	fw-la	Cere	cere	0
∣	∣	sy	∣	∣	0
monies	monies	n2	moneys	money	0
now	now	av	now	now	0
used	used	vvn	used	use	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
have	have	vhb	have	have	0
lately	lately	av-j	lately	late	0
taken	taken	vvn	taken	take	0
offence	offence	n1	offence	offence	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
an	an	dt	and	a	0
unjust	unjust	j	unjust	unjust	0
supposal	supposal	n1	supposal	supposal	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
Our	Our	po12	Our	our	0
Laws	Laws	n2	Laws	law	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
introductive	introductive	j	introductive	introductive	0
unto	unto	p-acp	unto	unto	0
Popish	Popish	j	Popish	popish	0
Super	Super	n1	Super	supper	0
∣	∣	sy	∣	∣	0
stitions	stitions	n2	stitions	stition	0
,	,	,	,	,	0
whereas	whereas	cs	whereas	whereas	0
it	it	pn31	it	it	0
well	well	av	well	well	0
appeareth	appeareth	vvz	appears	appear	0
unto	unto	p-acp	unto	unto	0
Vs	Vs	pno12	Us	we	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
mature	mature	j	mature	mature	0
consideration	consideration	n1	consideration	consideration	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
