PLato	PLato	np1	PLato	PLato	0
among	among	p-acp	among	among	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
notable	notable	j	notable	notable	0
sentences	sentences	n2	sentences	sentence	0
concernyng	concernyng	vvg	concerning	concern	0
the	the	pno32	thee	they	0
gouerne	gouerne	vvi	govern	govern	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
common	common	j	common	common	0
weale	weale	n1	weal	weal	0
hath	hath	vhz	hath	have	0
this	this	d	this	this	0
:	:	:	:	:	0
well	well	av	well	well	0
is	is	vbz	is	be	0
that	that	d	that	that	0
Realme	Realme	n1	Realm	realm	0
gouerned	gouerned	vvd	governed	govern	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
ambici	ambici	fw-la	ambici	ambici	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
,	,	,	,	,	0
desire	desire	vvb	desire	desire	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
beare	beare	vvi	bear	bear	0
office	office	n1	office	office	0
.	.	.	.	.	1
Whereby	Whereby	c-crq	Whereby	whereby	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
perceiue	perceiue	vvi	perceive	perceive	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
honourable	honourable	j	honourable	honourable	0
)	)	)	)	)	0
what	what	r-crq	what	what	0
of	of	pp-f	of	of	0
∣	∣	sy	∣	∣	0
fices	fices	n2	fices	fice	0
are	are	vbr	are	be	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
duely	duely	av-jn	duly	due	0
executed	executed	vvn	executed	execute	0
:	:	:	:	:	0
not	not	xx	not	not	0
gainfull	gainfull	j	gainful	gainful	0
spoyles	spoyles	n2	spoils	spoil	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
gredy	gredy	j	greedy	greedy	0
to	to	pc-acp	to	to	0
hunt	hunt	vvi	hunt	hunt	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
painefull	painefull	j	painful	painful	0
toyles	toyles	n2	toils	toil	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
heady	heady	j	heady	heady	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
charged	charged	vvn	charged	charge	0
with	with	p-acp	with	with	0
.	.	.	.	.	1
You	You	pn22	You	you	0
may	may	vmb	may	may	0
perceiue	perceiue	vvi	perceive	perceive	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
sentence	sentence	n1	sentence	sentence	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
more	more	av-dc	more	more	0
necessary	necessary	j	necessary	necessary	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
common	common	j	common	common	0
weale	weale	n1	weal	weal	0
,	,	,	,	,	0
then	then	cs	then	than	0
that	that	d	that	that	0
Magistrates	Magistrates	n2	Magistrates	magistrate	0
be	be	vbb	be	be	0
diligent	diligent	j	diligent	diligent	0
and	and	cc	and	and	0
trusty	trusty	j	trusty	trusty	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
charges	charges	n2	charges	charge	0
.	.	.	.	.	1
¶	¶	¶	¶	¶	0
And	And	cc	And	and	0
sure	sure	av-j	sure	sure	0
in	in	p-acp	in	in	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
Realme	Realme	n1	Realm	realm	0
such	such	d	such	such	0
prouision	prouision	n1	provision	provision	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
officers	officers	n2	officers	officer	0
be	be	vbb	be	be	0
forced	forced	vvn	forced	force	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
their	their	po32	their	their	0
duties	duties	n2	duties	duty	0
:	:	:	:	:	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
hard	hard	j	hard	hard	0
a	a	dt	a	a	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
to	to	p-acp	to	to	0
get	get	vvi	get	get	0
an	an	dt	and	a	0
officer	officer	n1	officer	officer	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
to	to	pc-acp	to	to	0
repulse	repulse	vvi	repulse	repulse	0
&	&	cc	&	and	0
shift	shift	n1	shift	shift	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
that	that	cst	that	that	0
with	with	p-acp	with	with	0
flattery	flattery	n1	flattery	flattery	0
,	,	,	,	,	0
brybes	brybes	n2	bribes	bribe	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
shiftes	shiftes	n2	shifts	shift	0
,	,	,	,	,	0
sue	sue	vvb	sue	sue	0
&	&	cc	&	and	0
preace	preace	vvi	press	press	0
for	for	p-acp	for	for	0
offices	offices	n2	offices	office	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
ambitious	ambitious	j	ambitious	ambitious	0
(	(	(	(	(	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
saye	saye	vvi	say	say	0
prollers	prollers	n2	prollers	proller	0
for	for	p-acp	for	for	0
po	po	n1	po	po	0
∣	∣	sy	∣	∣	0
wer	wer	fw-ge	wer	wer	0
or	or	cc	or	or	0
gayne	gayne	n1	gain	gain	0
)	)	)	)	)	0
seeke	seeke	vvb	seek	seek	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
offices	offices	n2	offices	office	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
whych	whych	r-crq	which	which	0
cause	cause	n1	cause	cause	0
officers	officers	n2	officers	officer	0
are	are	vbr	are	be	0
ordained	ordained	vvn	ordained	ordain	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
vndoing	vndoing	n-vvg	undoing	undo	0
of	of	pp-f	of	of	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
enrich	enrich	vvi	enrich	enrich	0
themselues	themselues	px32	themselves	themselves	0
.	.	.	.	.	1
And	And	cc	And	and	0
therfore	therfore	av	therefore	therefore	0
ar	ar	vbr	are	be	0
them	them	pns32	them	they	0
once	once	a-acp	once	once	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
bayt	bayt	n1	bait	bait	0
,	,	,	,	,	0
&	&	cc	&	and	0
force	force	vvi	force	force	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
their	their	po32	their	their	0
dueties	dueties	n2	duties	duty	0
,	,	,	,	,	0
then	then	av	then	then	0
will	will	vmb	will	will	0
they	they	pns32	they	they	0
geue	geue	vvi	give	give	0
more	more	av-dc	more	more	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
rid	rid	vvn	rid	rid	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
charges	charges	n2	charges	charge	0
,	,	,	,	,	0
than	than	cs	than	than	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
at	at	p-acp	at	at	0
yt	yt	pn31	that	it	0
first	first	ord	first	first	0
to	to	p-acp	to	to	0
come	come	vvi	come	come	0
by	by	p-acp	by	by	0
eē	eē	n1	eme	eme	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
they	they	pns32	they	they	0
seeke	seeke	vvb	seek	seek	0
onely	onely	av-j	only	only	0
their	their	po32	their	their	0
priuate	priuate	j	private	private	0
profite	profite	n1	profit	profit	0
.	.	.	.	.	1
And	And	cc	And	and	0
therfore	therfore	av	therefore	therefore	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
ambitious	ambitious	j	ambitious	ambitious	0
seeke	seeke	vvb	seek	seek	0
no	no	dx	no	no	0
office	office	n1	office	office	0
:	:	:	:	:	0
there	there	a-acp	there	there	0
no	no	dx	no	no	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
offices	offices	n2	offices	office	0
are	are	vbr	are	be	0
duely	duely	av-jn	duly	due	0
ministred	ministred	vvn	ministered	minister	0
.	.	.	.	.	1
And	And	np1	And	And	0
whee	whee	zz	whee	whee	0
offices	offices	n2	offices	office	0
are	are	vbr	are	be	0
duely	duely	av-jn	duly	due	0
ministred	ministred	vvn	ministered	minister	0
,	,	,	,	,	0
it	it	pn31	it	it	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
chosen	chosen	vvn	chosen	choose	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
people	people	n1	people	people	0
are	are	vbr	are	be	0
good	good	j	good	good	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
must	must	vmb	must	must	0
nedes	nedes	av	needs	needs	0
follow	follow	vvi	follow	follow	0
a	a	dt	a	a	0
good	good	j	good	good	0
common	common	j	common	common	0
weale	weale	n1	weal	weal	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
if	if	cs	if	if	0
the	the	dt	the	the	0
magistrates	magistrates	n2	magistrates	magistrate	0
be	be	vbb	be	be	0
good	good	j	good	good	0
