THe	THe	dt	THe	the	0
Iewes	Iewes	np2	Iewes	Jew	0
beeing	beeing	vbg	being	be	0
captiued	captiued	vvn	captived	captive	0
in	in	p-acp	in	in	0
Babilō	Babilō	np1	Babilō	Babilō	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
worship	worship	n1	worship	worship	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
Sir	Sir	n1	Sir	sir	0
)	)	)	)	)	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
a	a	dt	a	a	0
little	little	j	little	little	0
sorrow	sorrow	n1	sorrow	sorrow	0
∣	∣	sy	∣	∣	0
full	full	av-j	full	full	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
miserable	miserable	j	miserable	miserable	0
thraldome	thraldome	n1	thraldom	thraldom	0
of	of	pp-f	of	of	0
body	body	n1	body	body	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
for	for	c-acp	for	for	0
this	this	d	this	this	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
then	then	av	then	then	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
exercise	exercise	vvi	exercise	exercise	0
themselues	themselues	px32	themselves	themselves	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
uice	uice	n1	vice	vice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
true	true	j	true	true	0
God	God	np1	God	God	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
sometimes	sometimes	av	sometime	sometime	0
freely	freely	av-j	freely	free	0
haue	haue	vhi	have	have	0
done	done	vdn	done	do	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
Ierusalem	Ierusalem	np1	Ierusalem	Jerusalem	0
and	and	cc	and	and	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Iudah	Iudah	np1	Iudah	Judah	0
:	:	:	:	:	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
Babilonians	Babilonians	njp2	Babylonians	babylonians	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
merrie	merrie	j	merry	merry	0
moode	moode	n1	mood	mood	0
)	)	)	)	)	0
required	required	vvd	required	require	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
sing	sing	vvi	sing	sing	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Songs	Songs	n2	Songs	song	0
of	of	pp-f	of	of	0
Zion	Zion	np1	Zion	Zion	0
:	:	:	:	:	0
they	they	pns32	they	they	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
heauinesse	heauinesse	n1	heaviness	heaviness	0
answered	answered	vvd	answered	answer	0
them	them	pno32	them	they	0
:	:	:	:	:	0
How	How	c-crq	How	how	0
shall	shall	vmb	shall	shall	0
we	we	pns12	we	we	0
sing	sing	vvi	sing	sing	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
Song	Song	vvn	Song	sing	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
strange	strange	j	strange	strange	0
land	land	n1	land	land	0
?	?	?	?	?	0
howsoeuer	howsoeuer	c-acp	howsoever	howsoever	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
delightsome	delightsome	j	delightsome	delightsome	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Babilonians	Babilonians	njp2	Babylonians	babylonians	0
,	,	,	,	,	0
now	now	av	now	now	0
triumphing	triumphing	vvg	triumphing	triumph	0
ouer	ouer	p-acp	over	over	0
those	those	d	those	those	0
Iewes	Iewes	np2	Iewes	Jew	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
sing	sing	vvi	sing	sing	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Songs	Songs	n2	Songs	song	0
of	of	pp-f	of	of	0
Zion	Zion	np1	Zion	Zion	0
:	:	:	:	:	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
(	(	(	(	(	0
doubtlesse	doubtlesse	av-j	doubtless	doubtless	0
)	)	)	)	)	0
no	no	dx	no	no	0
Iesse	Iesse	np1	Iesse	Jesse	0
wofull	wofull	j	woeful	woeful	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
sing	sing	vvi	sing	sing	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
