Dearely	Dearely	av-jn	Dearly	dear	0
beloved	beloved	vvn	beloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
THough	THough	cs	THough	though	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eye	eye	n1	eye	eye	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
you	you	pn22	you	you	0
seeme	seeme	vvb	seem	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
strangers	strangers	n2	strangers	stranger	0
,	,	,	,	,	0
scattered	scattered	vvn	scattered	scatter	0
abroad	abroad	av	abroad	abroad	0
throughout	throughout	p-acp	throughout	throughout	0
Pontus	Pontus	np1	Pontus	Pontus	0
,	,	,	,	,	0
Ga	Ga	np1	Ga	Ga	0
∣	∣	sy	∣	∣	0
latia	latia	fw-la	latia	latia	0
,	,	,	,	,	0
Cappadocia	Cappadocia	np1	Cappadocia	Cappadocia	0
,	,	,	,	,	0
Asia	Asia	np1	Asia	Asia	0
,	,	,	,	,	0
and	and	cc	and	and	0
Bithynia1	Bithynia1	np1	Bithynia1	Bithynia1	0
Pet.	Pet.	np1	Pet.	Pet.	1
1.	1.	crd	1.	1.	0
1.	1.	crd	1.	1.	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
are	are	vbr	are	be	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
those	those	d	those	those	0
twelve	twelve	crd	twelve	twelve	0
Tribes	Tribes	n2	Tribes	tribe	0
scattered	scattered	vvn	scattered	scatter	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
our	our	po12	our	our	0
great	great	j	great	great	0
Apostle	Apostle	n1	Apostle	apostle	0
and	and	cc	and	and	0
high	high	j	high	high	0
PriestHeb	PriestHeb	n1	PriestHeb	priestheb	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	0
1.	1.	crd	1.	1.	0
daily	daily	j	daily	daily	0
sends	sends	vvz	sends	send	0
greetingIames	greetingIames	npg1	greetingIames	greetingiames	0
1.	1.	crd	1.	1.	0
1	1	crd	1	1	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
with	with	p-acp	with	with	0
those	those	d	those	those	0
twleve	twleve	vvb	twleve	twleve	0
Tribes	Tribes	n2	Tribes	tribe	0
(	(	(	(	(	0
under	under	p-acp	under	under	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
promise	promise	n1	promise	promise	0
)	)	)	)	)	0
incouraged	incouraged	vvn	encouraged	encourage	0
instantly	instantly	av-jn	instantly	instant	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
God	God	np1	God	God	0
day	day	n1	day	day	0
and	and	cc	and	and	0
nightAct	nightAct	n1	nightAct	nightact	0
.	.	.	.	.	1
22.	22.	crd	22.	22.	0
7.	7.	crd	7.	7.	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
hopes	hopes	vvz	hope's	hope	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
though	though	cs	though	though	0
you	you	pn22	you	you	0
be	be	vbb	be	be	0
often	often	av	often	often	0
drawn	drawn	vvn	drawn	draw	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
the	the	dt	the	the	0
rulers	rulers	n2	rulers	ruler	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
accused	accused	vvn	accused	accuse	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
say	say	vvb	say	say	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
Iewes	Iewes	np2	Iewes	Jew	0
but	but	p-acp	but	but	0
are	are	vbr	are	be	0
notRev	notRev	np1	notRev	notRev	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	0
9.	9.	crd	9.	9	1
Rev.	Rev.	n1	Rev.	rev.	0
3	3	crd	3	3	0
9.	9.	crd	9.	9	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
end	end	n1	end	end	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
leading	leading	vvg	leading	lead	0
you	you	pn22	you	you	0
through	through	p-acp	through	through	0
Heathenish	Heathenish	j	Heathenish	heathenish	0
Nations	Nations	n2	Nations	nation	0
,	,	,	,	,	0
may	may	vmb	may	may	0
thereby	thereby	av	thereby	thereby	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
struct	struct	vvn	struct	strike	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
signification	signification	n1	signification	signification	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
voices	voices	n2	voices	voice	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
utter	utter	vvi	utter	utter	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
all	all	d	all	all	0
the	the	dt	the	the	0
praises	praises	n2	praises	praise	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
cal	cal	vvi	call	call	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
you	you	pn22	you	you	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
darknesse	darknesse	n1	darkness	darkness	0
into	into	p-acp	into	into	0
his	his	po31	his	his	0
marvellous	marvellous	j	marvellous	marvellous	0
light1	light1	n1	light1	light1	0
Pet.	Pet.	np1	Pet.	Pet.	1
2.	2.	crd	2.	2.	0
9.	9.	crd	9.	9	1
;	;	;	;	;	0
for	for	c-acp	for	for	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
so	so	av	so	so	0
many	many	d	many	many	0
kinds	kinds	n2	kinds	kind	0
of	of	pp-f	of	of	0
voices	voices	n2	voices	voice	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
none	none	pix	none	none	0
is	is	vbz	is	be	0
without	without	p-acp	without	without	0
its	its	po31	its	its	0
proper	proper	j	proper	proper	0
signification	signification	n1	signification	signification	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
the	the	dt	the	the	0
meaning	meaning	n1	meaning	meaning	0
of	of	pp-f	of	of	0
thē	thē	pno32	them	they	0
voice	voice	n1	voice	voice	0
,	,	,	,	,	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
as	as	p-acp	as	as	0
Barbarians	Barbarians	n2-jn	Barbarians	barbarian	0
one	one	pi	one	one	0
to	to	p-acp	to	to	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
expressions	expressions	n2	expressions	expression	0
,	,	,	,	,	0
and	and	cc	and	and	0
receptions	receptions	n2	receptions	reception	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
God1	God1	np1	God1	God1	0
Cor.	Cor.	np1	Cor.	Cor.	1
14.	14.	crd	14.	14.	0
10	10	crd	10	10	0
,	,	,	,	,	1
11.	11.	crd	11.	11.	0
.	.	.	.	.	1
Observe	Observe	vvb	Observe	observe	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
changes	changes	n2	changes	change	0
the	the	dt	the	the	0
Saints	Saints	n2	Saints	saint	0
passe	passe	vvb	pass	pass	0
through	through	p-acp	through	through	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
is	is	vbz	is	be	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
voices	voices	n2	voices	voice	0
and	and	cc	and	and	0
sounds	sounds	n2	sounds	sound	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
speake	speake	vvi	speak	speak	0
by	by	p-acp	by	by	0
revelation	revelation	n1	revelation	revelation	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
prophecying	prophecying	vvg	prophesying	prophesy	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
Doctrine1	Doctrine1	np1	Doctrine1	Doctrine1	0
Cor	Cor	np1	Cor	Cor	0
,	,	,	,	,	0
13.	13.	crd	13.	13.	0
6.	6.	crd	6.	6.	0
for	for	p-acp	for	for	0
things	things	n2	things	thing	0
without	without	p-acp	without	without	0
life	life	n1	life	life	0
give	give	vvi	give	give	0
a	a	dt	a	a	0
sound	sound	n1	found	sound	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
whether	whether	cs	whither	whether	0
pipe	pipe	n1	pipe	pipe	0
or	or	cc	or	or	0
harp1	harp1	n1	harp1	harp1	0
Cor.	Cor.	np1	Cor.	Cor.	1
14.	14.	crd	14.	14.	0
7.	7.	crd	7.	7.	0
,	,	,	,	,	0
even	even	av	even	even	0
the	the	dt	the	the	0
courses	courses	n2	courses	course	0
the	the	dt	the	the	0
world	world	n1	world	world	0
holds	holds	vvz	holds	hold	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
dead	dead	j	dead	dead	0
in	in	p-acp	in	in	0
sinnes	sinnes	n2	sins	sin	0
and	and	cc	and	and	0
tres	tres	fw-la	tres	tres	0
∣	∣	sy	∣	∣	0
passes	passes	vvz	passes	pass	0
Ephe.	Ephe.	np1	Ephe.	Ephe.	1
2.	2.	crd	2.	2.	0
1	1	crd	1	1	0
,	,	,	,	,	0
2	2	crd	2	2	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
at	at	p-acp	at	at	0
allRom	allRom	np1	allRom	allRom	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	0
12.	12.	crd	12.	12.	0
12.	12.	crd	12.	12.	1
Iohn	Iohn	np1	Iohn	John	0
6.	6.	crd	6.	6.	0
53.	53.	crd	53.	53.	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
even	even	av	even	even	0
these	these	d	these	these	0
give	give	vvb	give	give	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
and	and	cc	and	and	0
distinct	distinct	j	distinct	distinct	0
sound	sound	n1	found	sound	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
stand	stand	vvb	stand	stand	0
in	in	p-acp	in	in	0
readinesse	readinesse	n1	readiness	readiness	0
prepared	prepared	vvn	prepared	prepare	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
battell	battell	n1	battle	battle	0
,	,	,	,	,	0
and	and	cc	and	and	0
know	know	vvb	know	know	0
very	very	av	very	very	0
well	well	av	well	well	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
piped	piped	vvd	piped	pipe	0
and	and	cc	and	and	0
harped1	harped1	n1	harped1	harped1	0
Cor.	Cor.	np1	Cor.	Cor.	1
14.	14.	crd	14.	14.	0
7	7	crd	7	7	0
,	,	,	,	,	1
8.	8.	crd	8.	8.	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
world	world	n1	world	world	0
thinks	thinks	vvz	thinks	think	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
confounding	confounding	vvg	confounding	confound	0
us	us	pno12	us	we	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
Babilonish	Babilonish	np1	Babilonish	Babilonish	0
conference	conference	n1	conference	conference	0
and	and	cc	and	and	0
courses	courses	n2	courses	course	0
held	held	vvn	held	hold	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
then	then	av	then	then	0
contrarie	contrarie	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
ability	ability	n1	ability	ability	0
and	and	cc	and	and	0
intentions	intentions	n2	intentions	intention	0
,	,	,	,	,	0
instructing	instructing	vvg	instructing	instruct	0
and	and	cc	and	and	0
teaching	teaching	vvg	teaching	teach	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
high	high	j	high	high	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
GodRom	GodRom	np1	GodRom	GodRom	0
.	.	.	.	.	1
8.	8.	crd	8.	8.	0
28	28	crd	28	28	0
,	,	,	,	,	0
and	and	cc	and	and	0
howsoever	howsoever	c-acp	howsoever	howsoever	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
babilonish	babilonish	j	babilonish	babilonish	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
fusion	fusion	n1	fusion	fusion	0
Gen.	Gen.	np1	Gen.	Gen.	1
11.	11.	crd	11.	11.	0
7	7	crd	7	7	0
,	,	,	,	,	1
8	8	crd	8	8	0
,	,	,	,	,	0
9.	9.	crd	9.	9	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
doth	doth	vdz	does	do	0
their	their	po32	their	their	0
voice	voice	n1	voice	voice	0
or	or	cc	or	or	0
voices	voices	n2	voices	voice	0
give	give	vvb	give	give	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
and	and	cc	and	and	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
stinct	stinct	n1	stinct	stinct	0
sound	sound	n1	found	sound	0
unto	unto	p-acp	unto	unto	0
us1	us1	n1	us1	us1	0
Cor.	Cor.	np1	Cor.	Cor.	1
14.	14.	crd	14.	14.	0
7	7	crd	7	7	0
,	,	,	,	,	1
8.	8.	crd	8.	8.	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
terrified	terrified	vvn	terrified	terrify	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
adversa	adversa	fw-la	adversa	adversa	0
∣	∣	sy	∣	∣	0
ries	ries	vvz	rises	rise	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
their	their	po32	their	their	0
practises	practises	n2	practises	practise	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
an	an	dt	and	a	0
evident	evident	j	evident	evident	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
perdition	perdition	n1	perdition	perdition	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
of	of	pp-f	of	of	0
salvation	salvation	n1	salvation	salvation	0
and	and	cc	and	and	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
GodPhil	GodPhil	np1	GodPhil	GodPhil	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	0
28.	28.	crd	28.	28.	1
;	;	;	;	;	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
e	e	fw-la	e	e	0
∣	∣	sy	∣	∣	0
vident	vident	j	vident	vident	0
and	and	cc	and	and	0
apparent	apparent	j	apparent	apparent	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
salvation	salvation	n1	salvation	salvation	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
the	the	dt	the	the	0
pow	pow	uh	pow	pow	0
∣	∣	sy	∣	∣	0
er	er	zz	er	er	0
and	and	cc	and	and	0
policy	policy	n1	policy	policy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
which	which	r-crq	which	which	0
doth	doth	vdz	does	do	0
nothing	nothing	pix	nothing	nothing	0
else	else	av	else	else	0
but	but	cc-acp	but	but	0
seek	seek	vvb	seek	seek	0
our	our	po12	our	our	0
ruinPsal	ruinPsal	np1	ruinPsal	ruinPsal	0
.	.	.	.	.	1
137.	137.	crd	137.	137.	0
7	7	crd	7	7	0
,	,	,	,	,	1
8	8	crd	8	8	0
,	,	,	,	,	0
9.	9.	crd	9.	9	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
adversaries	adversaries	n2	adversaries	adversary	0
,	,	,	,	,	0
amongst	amongst	p-acp	among	among	0
whom	whom	ro-crq	whom	who	0
hee	hee	pns31	he	he	0
hath	hath	vhz	hath	have	0
brought	brought	vvn	brought	bring	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
placeAct	placeAct	n1	placeAct	placeact	0
.	.	.	.	.	1
20.	20.	crd	20.	20.	0
21	21	crd	21	21	0
,	,	,	,	,	1
22.	22.	crd	22.	22.	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
sought	sought	vvn	sought	seek	0
our	our	po12	our	our	0
hurtPsal	hurtPsal	np1	hurtPsal	hurtPsal	0
.	.	.	.	.	1
38.	38.	crd	38.	38.	0
12.	12.	crd	12.	12.	1
Psal.	Psal.	np1	Psal.	Psal.	0
41.	41.	crd	41.	41.	0
7.	7.	crd	7.	7.	0
,	,	,	,	,	0
and	and	cc	and	and	0
wrested	wrested	vvn	wrested	wrest	0
our	our	po12	our	our	0
words	words	n2	words	word	0
to	to	pc-acp	to	to	0
effect	effect	vvi	effect	effect	0
their	their	po32	their	their	0
endsPsal	endsPsal	np1	endsPsal	endsPsal	0
.	.	.	.	.	1
56.	56.	crd	56.	56.	0
5	5	crd	5	5	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
struck	struck	vvn	struck	strike	0
at	at	p-acp	at	at	0
us	us	pno12	us	we	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
broke	broke	vvn	broke	break	0
themselves	themselves	px32	themselves	themselves	0
in	in	p-acp	in	in	0
pieces	pieces	n2	pieces	piece	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
waies	waies	n2	ways	way	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Covenants	Covenants	n2	Covenants	covenant	0
and	and	cc	and	and	0
Combinations	Combinations	n2	Combinations	combination	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
wayes	wayes	n2	ways	way	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Assemblies	Assemblies	n2	Assemblies	assembly	0
and	and	cc	and	and	0
Associations	Associations	n2	Associations	association	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
delighted	delighted	vvd	delighted	delight	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
such	such	d	such	such	0
confidence	confidence	n1	confidence	confidence	0
and	and	cc	and	and	0
trust	trust	n1	trust	trust	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
appeare	appeare	vvb	appear	appear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
broken	broken	j-vvn	broken	break	0
reed	reed	n1	reed	reed	0
of	of	pp-f	of	of	0
AEgypt	AEgypt	np1	AEgypt	Egypt	0
,	,	,	,	,	0
whereon	whereon	c-crq	whereon	whereon	0
if	if	cs	if	if	0
a	a	dt	a	a	0
man	man	n1	man	man	0
lean	lean	vvi	lean	lean	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
go	go	vvi	go	go	0
into	into	p-acp	into	into	0
his	his	po31	his	his	0
hand	hand	n1	hand	hand	0
and	and	cc	and	and	0
pierce	pierce	vvi	pierce	pierce	0
itIsa	itIsa	np1	itIsa	itIsa	0
.	.	.	.	.	1
36.	36.	crd	36.	36.	0
6.	6.	crd	6.	6.	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
sing	sing	vvi	sing	sing	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Psalmist	Psalmist	n1	Psalmist	psalmist	0
a	a	dt	a	a	0
hymne	hymne	n1	hymn	hymn	0
of	of	pp-f	of	of	0
praise	praise	n1	praise	praise	0
,	,	,	,	,	0
wherever	wherever	c-crq	wherever	wherever	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
led	led	vvn	led	lead	0
you	you	pn22	you	you	0
,	,	,	,	,	0
saying	saying	vvg	saying	say	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
brake	brake	vvd	brake	break	0
hee	hee	pns31	he	he	0
the	the	dt	the	the	0
ar	ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
rowes	rowes	n2	rows	row	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bow	bow	n1	bow	bow	0
,	,	,	,	,	0
the	the	dt	the	the	0
shield	shield	n1	shield	shield	0
and	and	cc	and	and	0
the	the	dt	the	the	0
sword	sword	n1	sword	sword	0
,	,	,	,	,	0
