Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
THeology	THeology	n1	THeology	theology	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
A	A	dt	A	a	0
King	King	n1	King	king	0
∣	∣	sy	∣	∣	0
dom	dom	zz	dom	dom	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
State	State	n1	State	state	0
of	of	pp-f	of	of	0
Govern	Govern	np1	Govern	Govern	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
:	:	:	:	:	0
Government	Government	n1	Government	government	0
is	is	vbz	is	be	0
by	by	p-acp	by	by	0
Laws	Laws	n2	Laws	law	0
:	:	:	:	:	0
He	He	pns31	He	he	0
therefore	therefore	av	therefore	therefore	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
understand	understand	vvi	understand	understand	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
Di	Di	zz	Di	di	0
∣	∣	sy	∣	∣	0
vinity	vinity	n1	vinity	vinity	0
,	,	,	,	,	0
must	must	vmb	must	must	0
understand	understand	vvi	understand	understand	0
the	the	dt	the	the	0
Laws	Laws	n2	Laws	law	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
And	And	cc	And	and	0
though	though	cs	though	though	0
there	there	pc-acp	there	there	0
be	be	vbb	be	be	0
many	many	d	many	many	0
inferiour	inferiour	j-jn	inferior	inferior	0
Particles	Particles	n2	Particles	particle	0
,	,	,	,	,	0
distinguished	distinguished	vvn	distinguished	distinguish	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
weighty	weighty	j	weighty	weighty	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
few	few	d	few	few	0
do	do	vdb	do	do	0
clearly	clearly	av-j	clearly	clear	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
necessary	necessary	j	necessary	necessary	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
know	know	vvb	know	know	0
in	in	p-acp	in	in	0
general	general	n1	general	general	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
Law	Law	n1	Law	law	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
under	under	p-acp	under	under	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
important	important	j	important	important	0
parts	parts	n2	parts	part	0
:	:	:	:	:	0
If	If	cs	If	if	0
we	we	pns12	we	we	0
understand	understand	vvb	understand	understand	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
of	of	pp-f	of	of	0
Tything	Tything	n1	Tithing	tithing	0
Mint	Mint	n1	Mint	mint	0
and	and	cc	and	and	0
Cummin	Cummin	np1	Cummin	Cummin	0
,	,	,	,	,	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
ignorant	ignorant	j	ignorant	ignorant	0
of	of	pp-f	of	of	0
Iudgment	Iudgment	n1	Judgement	judgement	0
,	,	,	,	,	0
Mercy	Mercy	n1	Mercy	mercy	0
and	and	cc	and	and	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
Matth.	Matth.	np1	Matth.	Matth.	1
23.	23.	crd	23.	23.	0
23.	23.	crd	23.	23.	1
They	They	pns32	They	they	0
that	that	cst	that	that	0
tell	tell	vvb	tell	tell	0
us	us	pno12	us	we	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
now	now	av	now	now	0
under	under	p-acp	under	under	0
no	no	dx	no	no	0
Laws	Laws	n2	Laws	law	0
,	,	,	,	,	0
do	do	vdb	do	do	0
tell	tell	vvi	tell	tell	0
us	us	pno12	us	we	0
thereby	thereby	av	thereby	thereby	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
under	under	p-acp	under	under	0
no	no	dx	no	no	0
Go	Go	vvb	Go	go	0
∣	∣	sy	∣	∣	0
verment	verment	n1	verment	vermin	0
,	,	,	,	,	0
and	and	cc	and	and	0
consequently	consequently	av-j	consequently	consequent	0
that	that	cst	that	that	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
out	out	av	out	out	0
Redeemer	Redeemer	n1	Redeemer	redeemer	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
Believers	Believers	n2	Believers	believer	0
.	.	.	.	.	1
And	And	cc	And	and	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
knoweth	knoweth	vvz	knoweth	know	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Name	Name	n1	Name	name	0
[	[	[	[	[	0
GOD	GOD	np1	GOD	God	0
]	]	]	]	]	0
doth	doth	vdz	does	do	0
signifie	signifie	vvi	signify	signify	0
the	the	dt	the	the	0
Divine	Divine	j-jn	Divine	divine	0
Relation	Relation	n1	Relation	relation	0
to	to	p-acp	to	to	0
Man	Man	n1	Man	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Divine	Divine	j-jn	Divine	divine	0
Na	Na	fw-mi	Na	na	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
,	,	,	,	,	0
will	will	vmb	will	will	0
know	know	vvi	know	know	0
that	that	cst	that	that	0
this	this	d	this	this	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
deny	deny	vvi	deny	deny	0
a	a	dt	a	a	0
God	God	n1	God	god	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
deny	deny	vvi	deny	deny	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
;	;	;	;	;	0
and	and	cc	and	and	0
rather	rather	av-c	rather	rather	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
called	called	vvn	called	call	0
Atheism	Atheism	n1	Atheism	atheism	0
,	,	,	,	,	0
and	and	cc	and	and	0
Infidelity	Infidelity	n1	Infidelity	infidelity	0
,	,	,	,	,	0
than	than	cs	than	than	0
Antinomianism	Antinomianism	n1	Antinomianism	antinomianism	0
:	:	:	:	:	0
Even	Even	av	Even	even	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
the	the	dt	the	the	0
written	written	j-vvn	written	write	0
Law	Law	n1	Law	law	0
of	of	pp-f	of	of	0
Moses	Moses	np1	Moses	Moses	0
,	,	,	,	,	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
Law	Law	n1	Law	law	0
of	of	pp-f	of	of	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
partly	partly	av	partly	partly	0
written	written	vvn	written	write	0
out	out	av	out	out	0
upon	upon	p-acp	upon	upon	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
:	:	:	:	:	0
And	And	cc	And	and	0
Christians	Christians	np1	Christians	Christians	0
have	have	vhb	have	have	0
both	both	d	both	both	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
of	of	pp-f	of	of	0
Nature	Nature	n1	Nature	nature	0
Extrinsick	Extrinsick	j	Extrinsic	extrinsic	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
written	written	j-vvn	written	write	0
Law	Law	n1	Law	law	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
both	both	d	both	both	0
(	(	(	(	(	0
acccording	acccording	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
various	various	j	various	various	0
measures	measures	n2	measures	measure	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
)	)	)	)	)	0
written	written	vvn	written	write	0
out	out	av	out	out	0
upon	upon	p-acp	upon	upon	0
their	their	po32	their	their	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
received	received	vvn	received	receive	0
by	by	p-acp	by	by	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
Love	Love	n1	Love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
readiness	readiness	n1	readiness	readiness	0
to	to	pc-acp	to	to	0
obey	obey	vvi	obey	obey	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
