WHat	WHat	q-crq	WHat	what	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
great	great	j	great	great	0
the	the	dt	the	the	0
cōfusion	cōfusion	n1	confusion	confusion	0
&	&	cc	&	and	0
trou	trou	fw-fr	trou	trou	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
age	age	n1	age	age	0
of	of	pp-f	of	of	0
ours	ours	png12	ours	we	0
,	,	,	,	,	0
[	[	[	[	[	0
noble	noble	j	noble	noble	0
Earle	Earle	np1	Earle	Earle	0
]	]	]	]	]	0
throughout	throughout	a-acp	throughout	throughout	0
all	all	d	all	all	0
christendome	christendome	np1	christendome	Christendom	0
,	,	,	,	,	0
aswell	aswell	p-acp	aswell	aswell	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
bout	bout	p-acp	bout	about	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
matters	matters	n2	matters	matter	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
most	most	av-ds	most	most	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
more	more	dc	more	more	0
especially	especially	av-j	especially	especial	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
bout	bout	p-acp	bout	about	0
matters	matters	n2	matters	matter	0
ecclesiasticall	ecclesiasticall	j	ecclesiastical	ecclesiastical	0
concerning	concerning	vvg	concerning	concern	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
man	man	n1	man	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
doeth	doeth	vdz	doth	do	0
not	not	xx	not	not	0
see	see	vvi	see	see	0
:	:	:	:	:	0
no	no	dx	no	no	0
good	good	j	good	good	0
man	man	n1	man	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
greeue	greeue	vvi	grieve	grieve	0
at	at	p-acp	at	at	0
:	:	:	:	:	0
and	and	cc	and	and	0
no	no	dx	no	no	0
god	god	n1	god	god	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
man	man	n1	man	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
admiration	admiration	n1	admiration	admiration	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
iudgements	iudgements	n2	judgements	judgement	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
exceedingly	exceedingly	av-vvg	exceedingly	exceed	0
bewaile	bewaile	vvi	bewail	bewail	0
.	.	.	.	.	1
Very	Very	j	Very	very	0
great	great	j	great	great	0
surely	surely	av-j	surely	sure	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
trueth	trueth	n1	truth	truth	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
our	our	po12	our	our	0
age	age	n1	age	age	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
through	through	p-acp	through	through	0
Gods	Gods	npg1	Gods	God	0
singular	singular	j	singular	singular	0
gift	gift	n1	gift	gift	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
bin	bin	vbn	been	be	0
found	found	vvn	found	find	0
out	out	av	out	out	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
scriptures	scriptures	n2	scriptures	scripture	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
faithfull	faithfull	j	faithful	faithful	0
seruants	seruants	n2	servants	servant	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
sprea	sprea	fw-la	sprea	sprea	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
abroad	abroad	av	abroad	abroad	0
farre	farre	av-j	far	far	0
and	and	cc	and	and	0
