CRATERVS	CRATERVS	np1	CRATERVS	CRATERVS	0
contending	contending	vvg	contending	contend	0
with	with	p-acp	with	with	0
Ephestion	Ephestion	np1	Ephestion	Ephestion	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
gracious	gracious	j	gracious	gracious	0
Prince	Prince	n1	Prince	prince	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
two	two	crd	two	two	0
loued	loued	vvd	loved	love	0
Alexāder	Alexāder	np1	Alexāder	Alexander	0
best	best	av-js	best	best	0
,	,	,	,	,	0
appealed	appealed	vvn	appealed	appeal	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
king	king	n1	king	king	0
for	for	p-acp	for	for	0
iudgement	iudgement	n1	judgement	judgement	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
iudged	iudged	vvd	judged	judge	0
that	that	cst	that	that	0
Cra	Cra	np1	Cra	Cra	0
∣	∣	sy	∣	∣	0
terus	terus	fw-la	terus	terus	0
loued	loued	vvd	loved	love	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ephestion	Ephestion	np1	Ephestion	Ephestion	0
loued	loued	vvd	loved	love	0
Alexander	Alexander	np1	Alexander	Alexander	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
both	both	d	both	both	0
alike	alike	av-j	alike	alike	0
loued	loued	vvd	loved	love	0
Alexan	Alexan	np1	Alexan	Alexan	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
the	the	dt	the	the	0
king	king	n1	king	king	0
.	.	.	.	.	1
So	So	np1	So	So	0
the	the	dt	the	the	0
Brytaynes	Brytaynes	npg1	Brytaynes	brytaynes	0
and	and	cc	and	and	0
the	the	dt	the	the	0
English	English	jp	English	english	0
loue	loue	n1	love	love	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
hardly	hardly	av	hardly	hardly	0
iudge	iudge	vvi	judge	judge	0
which	which	r-crq	which	which	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
loues	loues	n2	loves	love	0
you	you	pn22	you	you	0
best	best	av-js	best	best	0
,	,	,	,	,	0
vnlesse	vnlesse	cs	unless	unless	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
as	as	p-acp	as	as	0
Alex	Alex	np1	Alex	Alex	0
∣	∣	sy	∣	∣	0
ander	ander	fw-mi	ander	ander	0
did	did	vdd	did	do	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
iudge	iudge	vvi	judge	judge	0
the	the	dt	the	the	0
English	English	jp	English	english	0
as	as	p-acp	as	as	0
Craterus	Craterus	np1	Craterus	Craterus	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
Brytaynes	Brytaynes	np1|vbz	Britain's	britain|have	0
as	as	p-acp	as	as	0
Ephestion	Ephestion	np1	Ephestion	Ephestion	0
.	.	.	.	.	0
but	but	cc-acp	but	but	0
both	both	d	both	both	0
Brytaines	Brytaines	np2	Brytaines	brytaine	0
&	&	cc	&	and	0
English	English	np1	English	English	0
with	with	p-acp	with	with	0
equall	equall	j-jn	equal	equal	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
loyalty	loyalty	n1	loyalty	loyalty	0
loue	loue	vvb	love	love	0
King	King	n1	King	king	0
lames	lames	vvz	lames	lame	0
alike	alike	av-j	alike	alike	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
hauing	hauing	j-vvg	having	have	0
the	the	dt	the	the	0
like	like	j	like	like	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
ioy	ioy	n1	joy	joy	0
,	,	,	,	,	0
all	all	d	all	all	0
should	should	vmd	should	shall	0
so	so	av	so	so	0
reioyce	reioyce	vvi	rejoice	rejoice	0
to	to	pc-acp	to	to	0
enioy	enioy	vvi	enjoy	enjoy	0
such	such	d	such	such	0
a	a	dt	a	a	0
Iewell	Iewell	n1	Jewel	jewel	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
day	day	n1	day	day	0
enriched	enriched	vvn	enriched	enrich	0
England	England	np1	England	England	0
&	&	cc	&	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
king	king	n1	king	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Empire	Empire	n1	Empire	empire	0
of	of	pp-f	of	of	0
Brytayne	Brytayne	np1	Brytayne	Brytayne	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whome	whome	ro-crq	whom	who	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
reserued	reserued	vvn	reserved	reserve	0
and	and	cc	and	and	0
continued	continued	vvn	continued	continue	0
from	from	p-acp	from	from	0
Brutus	Brutus	np1	Brutus	Brutus	0
the	the	dt	the	the	0
first	first	ord	first	first	0
King	King	n1	King	king	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
the	the	dt	the	the	0
second	second	ord	second	second	0
King	King	n1	King	king	0
,	,	,	,	,	0
not	not	xx	not	not	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
stranger	stranger	n1	stranger	stranger	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
iust	iust	j	just	just	0
&	&	cc	&	and	0
a	a	dt	a	a	0
lawfull	lawfull	j	lawful	lawful	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
stocke	stocke	n1	stock	stock	0
and	and	cc	and	and	0
linage	linage	n1	lineage	lineage	0
of	of	pp-f	of	of	0
Brutus	Brutus	np1	Brutus	Brutus	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
succeed	succeed	vvi	succeed	succeed	0
and	and	cc	and	and	0
sit	sit	vvi	fit	sit	0
on	on	p-acp	on	on	0
Brutus	Brutus	npg1	Brutus	Brutus	0
seat	seat	n1	seat	seat	0
2800.	2800.	crd	2800.	2800.	0
yeeres	yeeres	n2	years	year	0
after	after	p-acp	after	after	0
Brutus	Brutus	np1	Brutus	Brutus	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
may	may	vmb	may	may	0
better	better	av-jc	better	better	0
say	say	vvi	say	say	0
then	then	av	then	then	0
Caesar	Caesar	np1	Caesar	Caesar	0
,	,	,	,	,	0
Veni	Veni	fw-la	Veni	veni	0
,	,	,	,	,	0
vidi	vidi	fw-la	vidi	vidi	0
,	,	,	,	,	0
vici	vici	fw-la	vici	vici	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
conquered	conquered	vvn	conquered	conquer	0
Time	Time	n1	Time	time	0
,	,	,	,	,	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
kingdomes	kingdomes	n2	kingdoms	kingdom	0
,	,	,	,	,	0
and	and	cc	and	and	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
such	such	d	such	such	0
a	a	dt	a	a	0
succession	succession	n1	succession	succession	0
,	,	,	,	,	0
that	that	cst	that	that	0
neyther	neyther	dx	neither	neither	0
the	the	dt	the	the	0
Macedonians	Macedonians	njp2	Macedonians	macedonian	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
much	much	av-d	much	much	0
bragged	bragged	vvn	bragged	brag	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Hercules	Hercules	np1	Hercules	Hercules	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
lyne	lyne	n1	line	line	0
ended	ended	vvn	ended	end	0
in	in	p-acp	in	in	0
Alexander	Alexander	np1	Alexander	Alexander	0
:	:	:	:	:	0
neyther	neyther	dx	neither	neither	0
the	the	dt	the	the	0
Romanes	Romanes	njp2	Romans	roman	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
much	much	av-d	much	much	0
gloried	gloried	vvn	gloried	glory	0
of	of	pp-f	of	of	0
Gens	Gens	np1	Gens	Gens	0
Iulia	Iulia	np1	Iulia	Julia	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
stocke	stocke	n1	stock	stock	0
extincted	extincted	j-vvn	extincted	extinct	0
in	in	p-acp	in	in	0
Nero	Nero	np1	Nero	Nero	0
:	:	:	:	:	0
nor	nor	ccx	nor	nor	0
any	any	d	any	any	0
nation	nation	n1	nation	nation	0
vnder	vnder	p-acp	under	under	0
heauen	heauen	n1	heaven	heaven	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
can	can	vmb	can	can	0
boast	boast	vvi	boast	boast	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
antiqui	antiqui	fw-la	antiqui	antiqui	0
∣	∣	sy	∣	∣	0
