MAtters	MAtters	n2	MAtters	matter	0
of	of	pp-f	of	of	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
thē	thē	pno32	them	they	0
that	that	cst	that	that	0
excel	excel	vvb	excel	excel	0
therein	therein	av	therein	therein	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
prouerbe	prouerbe	n1	proverb	proverb	0
is	is	vbz	is	be	0
,	,	,	,	,	0
Scientia	Scientia	fw-la	Scientia	scientia	0
emiē	emiē	n2	emien	emien	0
habet	habet	fw-la	habet	habet	0
ini	ini	fw-la	ini	ini	0
∣	∣	sy	∣	∣	0
micum	micum	n1	micum	micum	0
,	,	,	,	,	0
prater	prater	n1	prater	prater	0
ignorantem	ignorantem	fw-la	ignorantem	ignorantem	0
:	:	:	:	:	0
so	so	av	so	so	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
rule	rule	n1	rule	rule	0
may	may	vmb	may	may	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
Scientia	Scientia	fw-la	Scientia	scientia	0
nemiem	nemiem	fw-la	nemiem	nemiem	0
habet	habet	fw-la	habet	habet	0
amicum	amicum	fw-la	amicum	amicum	0
et	et	fw-la	et	et	0
Mecanatem	Mecanatem	fw-la	Mecanatem	mecanatem	0
,	,	,	,	,	0
nisi	nisi	fw-la	nisi	nisi	0
studio	studio	vvi	study	study	0
∣	∣	sy	∣	∣	0
sum	sum	n1	sum	sum	0
fatreque	fatreque	fw-la	fatreque	fatreque	0
honorum	honorum	fw-la	honorum	honorum	0
literarum	literarum	fw-la	literarum	literarum	0
.	.	.	.	.	1
Let	Let	vvb	Let	let	0
wisdom	wisdom	n1	wisdom	wisdom	0
grow	grow	vvi	grow	grow	0
in	in	p-acp	in	in	0
fauour	fauour	n1	favour	favour	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
