Christian	Christian	njp	Christian	christian	0
Champions	Champions	n2	Champions	champion	0
:	:	:	:	:	0
THat	THat	cst	THat	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
intend	intend	vvb	intend	intend	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Epistle	Epistle	n1	Epistle	epistle	0
,	,	,	,	,	0
is	is	vbz	is	be	0
humbly	humbly	av-j	humbly	humble	0
to	to	pc-acp	to	to	0
desire	desire	vvi	desire	desire	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
compare	compare	vvi	compare	compare	0
your	your	po22	your	your	0
past	past	n1	past	past	0
,	,	,	,	,	0
and	and	cc	and	and	0
present	present	j	present	present	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Israelites	Israelites	np2	Israelites	Israelite	0
,	,	,	,	,	0
during	during	p-acp	during	during	0
their	their	po32	their	their	0
Aegyptian	Aegyptian	jp	Egyptian	egyptian	0
bondage	bondage	n1	bondage	bondage	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
untill	untill	c-acp	until	until	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
passed	passed	vvn	passed	pass	0
the	the	dt	the	the	0
flood	flood	n1	flood	flood	0
Jordan	Jordan	np1	Jordan	Jordan	0
,	,	,	,	,	0
and	and	cc	and	and	0
pitched	pitched	vvd	pitched	pitch	0
their	their	po32	their	their	0
tents	tents	n2	tents	tent	0
in	in	p-acp	in	in	0
Gilgall	Gilgall	np1	Gilgall	Gilgall	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
plaine	plaine	n1	plain	plain	0
of	of	pp-f	of	of	0
Jericho	Jericho	np1	Jericho	Jericho	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
now	now	av	now	now	0
present	present	j	present	present	0
condition	condition	n1	condition	condition	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
proofe	proofe	n1	proof	proof	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
submitting	submitting	vvg	submitting	submit	0
to	to	p-acp	to	to	0
bet	bet	n1	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
judgements	judgements	n2	judgements	judgement	0
)	)	)	)	)	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
some	some	d	some	some	0
few	few	d	few	few	0
hints	hints	n2	hints	hint	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Simily	Simily	n1	Simily	simile	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
conceive	conceive	vvb	conceive	conceive	0
will	will	vmb	will	will	0
fitly	fitly	av-j	fitly	fit	0
parallel	parallel	vvi	parallel	parallel	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
bondage	bondage	n1	bondage	bondage	0
unto	unto	p-acp	unto	unto	0
this	this	d	this	this	0
present	present	j	present	present	0
season	season	n1	season	season	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
Embleme	Embleme	n1	Emblem	emblem	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
resemble	resemble	vvi	resemble	resemble	0
their	their	po32	their	their	0
Aegypt	Aegypt	np1	Aegypt	Aegypt	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Antichristian	Antichristian	jp	Antichristian	antichristian	0
slavery	slavery	n1	slavery	slavery	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
Our	Our	po12	Our	our	0
late	late	j	late	late	0
King	King	n1	King	king	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Pharaoh	Pharaoh	np1	Pharaoh	Pharaoh	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	1
The	The	dt	The	the	0
Monopolists	Monopolists	np2	Monopolists	monopolist	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Pharaohs	Pharaohs	np1	Pharaohs	Pharaohs	0
Task-masters	Task-masters	n2	Taskmasters	taskmaster	0
.	.	.	.	.	1
4.	4.	crd	4.	4.	1
Our	Our	np1	Our	Oure	0
then	then	av	then	then	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
and	and	cc	and	and	0
Sinod	Sinod	n1	Synod	synod	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Moses	Moses	np1	Moses	Moses	0
,	,	,	,	,	0
and	and	cc	and	and	0
Aaron	Aaron	np1	Aaron	Aaron	0
,	,	,	,	,	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
brethren	brethren	n2	brothers	brethren	0
in	in	p-acp	in	in	0
judgement	judgement	n1	judgement	judgement	0
)	)	)	)	)	0
5.	5.	crd	5.	5.	1
The	The	dt	The	the	0
red	red	j-jn	read	red	0
Sea	Sea	n1	Sea	sea	0
to	to	p-acp	to	to	0
Prelacy	Prelacy	np1	Prelacy	Prelacy	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
passed	passed	vvd	passed	pass	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
Pharaoh	Pharaoh	np1	Pharaoh	Pharaoh	0
and	and	cc	and	and	0
all	all	d	all	all	0
his	his	po31	his	his	0
Host	Host	n1	Host	host	0
was	was	vbds	was	be	0
destroyed	destroyed	vvn	destroyed	destroy	0
.	.	.	.	.	1
6.	6.	crd	6.	6.	1
The	The	dt	The	the	0
Wildernesse	Wildernesse	n1	Wilderness	wilderness	0
,	,	,	,	,	0
I	I	pns11	I	i	0
take	take	vvb	take	take	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
various	various	j	various	various	0
judgements	judgements	n2	judgements	judgement	0
amongst	amongst	p-acp	among	among	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
.	.	.	.	.	1
7.	7.	crd	7.	7.	1
As	As	p-acp	As	as	0
their	their	po32	their	their	0
Host	Host	n1	Host	host	0
mar	mar	vvi	mar	mar	0
∣	∣	sy	∣	∣	0
ched	ched	pns31|vmb	ched	she|will	0
,	,	,	,	,	0
or	or	cc	or	or	0
not	not	xx	not	not	0
marched	marched	vvn	marched	march	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
cloudy	cloudy	j	cloudy	cloudy	0
pillar	pillar	n1	pillar	pillar	0
moved	moved	vvn	moved	move	0
,	,	,	,	,	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
did	did	vdd	did	do	0
the	the	dt	the	the	0
Army	Army	n1	Army	army	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Essex	Essex	np1	Essex	Essex	0
command	command	n1	command	command	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Parlia	Parlia	np1	Parlia	Parlia	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
Commission	Commission	n1	Commission	commission	0
ordered	ordered	vvn	ordered	order	0
them	them	pno32	them	they	0
.	.	.	.	.	1
8.	8.	crd	8.	8.	1
As	As	p-acp	As	as	0
their	their	po32	their	their	0
Aaron	Aaron	np1	Aaron	Aaron	0
offended	offended	vvd	offended	offend	0
by	by	p-acp	by	by	0
making	making	vvg	making	make	0
an	an	dt	and	a	0
Aegyptian	Aegyptian	jp	Egyptian	egyptian	0
Idol	Idol	n1	Idol	idol	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Israelites	Israelites	np2	Israelites	Israelite	0
to	to	p-acp	to	to	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
so	so	av	so	so	0
likewise	likewise	av	likewise	likewise	0
did	did	vdd	did	do	0
our	our	po12	our	our	0
Sinod	Sinod	n1	Synod	synod	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
setting	setting	vvg	setting	set	0
up	up	a-acp	up	up	0
their	their	po32	their	their	0
Presbitery	Presbitery	n1	Presbytery	presbytery	0
,	,	,	,	,	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
limbe	limbe	n1	limb	limb	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
bondage	bondage	n1	bondage	bondage	0
unto	unto	p-acp	unto	unto	0
.	.	.	.	.	1
9.	9.	crd	9.	9	1
As	As	p-acp	As	as	0
their	their	po32	their	their	0
Moses	Moses	np1	Moses	Moses	0
was	was	vbds	was	be	0
called	called	vvn	called	call	0
to	to	pc-acp	to	to	0
mount	mount	vvi	mount	mount	0
Nebo	Nebo	np1	Nebo	Nebo	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
dyed	dyed	vvd	died	die	0
,	,	,	,	,	0
so	so	av	so	so	0
was	was	vbds	was	be	0
Essex	Essex	np1	Essex	Essex	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Parliament	Parliament	n1	Parliament	parliament	0
.	.	.	.	.	1
10.	10.	crd	10.	10.	1
As	As	p-acp	As	as	0
Joshua	Joshua	np1	Joshua	Joshua	0
was	was	vbds	was	be	0
appointed	appointed	vvn	appointed	appoint	0
Commander	Commander	n1	Commander	commander	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Host	Host	n1	Host	host	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
Moses	Moses	np1	Moses	Moses	0
dyed	dyed	vvd	died	die	0
,	,	,	,	,	0
so	so	av	so	so	0
was	was	vbds	was	be	0
our	our	po12	our	our	0
present	present	j	present	present	0
Generall	Generall	n1	General	general	0
chosen	chosen	vvn	chosen	choose	0
before	before	p-acp	before	before	0
Essex	Essex	np1	Essex	Essex	0
dyed	dyed	vvd	died	die	0
.	.	.	.	.	1
11.	11.	crd	11.	11.	1
As	As	p-acp	As	as	0
their	their	po32	their	their	0
Joshua	Joshua	np1	Joshua	Joshua	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
bound	bound	vvn	bound	bind	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
motion	motion	n1	motion	motion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cloudy	cloudy	j	cloudy	cloudy	0
Pillar	Pillar	n1	Pillar	pillar	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
was	was	vbds	was	be	0
at	at	p-acp	at	at	0
liberty	liberty	n1	liberty	liberty	0
to	to	pc-acp	to	to	0
march	march	vvi	march	march	0
when	when	c-crq	when	when	0
,	,	,	,	,	0
and	and	cc	and	and	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
pleased	pleased	vvd	pleased	please	0
;	;	;	;	;	0
so	so	av	so	so	0
neither	neither	d	neither	neither	0
was	was	vbds	was	be	0
our	our	po12	our	our	0
present	present	j	present	present	0
Generell	Generell	n1	Generell	generell	0
,	,	,	,	,	0
tyed	tyed	vvd	tied	tie	0
to	to	pc-acp	to	to	0
observe	observe	vvi	observe	observe	0
the	the	dt	the	the	0
Parliaments	Parliaments	n2	Parliaments	parliament	0
order	order	n1	order	order	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
marches	marches	n2	marches	march	0
,	,	,	,	,	0
or	or	cc	or	or	0
enterprises	enterprises	n2	enterprises	enterprise	0
.	.	.	.	.	1
12.	12.	crd	12.	12.	1
As	As	p-acp	As	as	0
their	their	po32	their	their	0
Joshua	Joshua	np1	Joshua	Joshua	0
did	did	vdd	did	do	0
lead	lead	vvi	led	lead	0
them	them	pno32	them	they	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
flood	flood	n1	flood	flood	0
Jordan	Jordan	np1	Jordan	Jordan	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
over-flowed	over-flowed	j	overflowed	overflowed	0
all	all	d	all	all	0
its	its	po31	its	its	0
bankes	bankes	n2	banks	bank	0
,	,	,	,	,	0
so	so	av	so	so	0
hath	hath	vhz	hath	have	0
our	our	po12	our	our	0
Joshua	Joshua	np1	Joshua	Joshua	0
,	,	,	,	,	0
or	or	cc	or	or	0
Generall	Generall	n1	General	general	0
,	,	,	,	,	0
led	led	vvd	led	lead	0
us	us	pno12	us	we	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
Jordan	Jordan	n1	Jordan	jordan	0
of	of	pp-f	of	of	0
Presbitery	Presbitery	n1	Presbytery	presbytery	0
,	,	,	,	,	0
even	even	av	even	even	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
promoters	promoters	n2	promoters	promoter	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Tenent	Tenent	np1	Tenent	Tenent	0
,	,	,	,	,	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
hopes	hopes	n2	hope's	hope	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
established	established	vvn	established	establish	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Instance	Instance	n1	Instance	instance	0
their	their	po32	their	their	0
Treaty	Treaty	n1	Treaty	treaty	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
late	late	j	late	late	0
King	King	n1	King	king	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Wight	Wight	n1	Wight	wight	0
.	.	.	.	.	1
Which	Which	q-crq	Which	which	0
twelve	twelve	crd	twelve	twelve	0
observations	observations	n2	observations	observation	0
may	may	vmb	may	may	0
serve	serve	vvi	serve	serve	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
me	me	pno11	me	i	0
∣	∣	sy	∣	∣	0
moriall	moriall	n1	moriall	moriall	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
insuing	insuing	j-vvg	ensuing	ensue	0
posterities	posterities	n2	posterities	posterity	0
,	,	,	,	,	0
as	as	p-acp	as	as	0
them	them	pno32	them	they	0
twelves	twelves	n2	twelves	twelve	0
stones	stones	n2	stones	stone	0
set	set	vvn	set	set	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
Jordan	Jordan	n1	Jordan	jordan	0
,	,	,	,	,	0
was	was	vbds	was	be	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Israelites	Israelites	np2	Israelites	Israelite	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
thrice	thrice	av	thrice	thrice	0
Worthies	Worthies	n2-jn	Worthies	worthy	0
,	,	,	,	,	0
having	having	vhg	having	have	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
so	so	av	so	so	0
well	well	av	well	well	0
discharged	discharged	vvn	discharged	discharge	0
your	your	po22	your	your	0
places	places	n2	places	place	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
bringing	bringing	vvg	bringing	bring	0
the	the	pno32	thee	they	0
Con	Con	vvi	Con	con	0
∣	∣	sy	∣	∣	0
gregation	gregation	n1	gregation	gregation	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
our	our	po12	our	our	0
Israel	Israel	np1	Israel	Israel	0
through	through	p-acp	through	through	0
so	so	av	so	so	0
many	many	d	many	many	0
minent	minent	j	minent	minent	0
dan	dan	n1	dan	dan	0
∣	∣	sy	∣	∣	0
gers	gers	zz	gers	gers	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
desire	desire	vvi	desire	desire	0
to	to	pc-acp	to	to	0
inlarge	inlarge	vvi	enlarge	enlarge	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
a	a	dt	a	a	0
little	little	j	little	little	0
further	further	av-jc	further	further	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
reference	reference	n1	reference	reference	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
present	present	j	present	present	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
told	told	vvn	told	tell	0
you	you	pn22	you	you	0
I	I	pns11	I	i	0
conceive	conceive	vvb	conceive	conceive	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
as	as	a-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
plaines	plaines	n2	plains	plain	0
of	of	pp-f	of	of	0
Jericho	Jericho	np1	Jericho	Jericho	0
,	,	,	,	,	0
beyond	beyond	p-acp	beyond	beyond	0
Jordan	Jordan	n1	Jordan	jordan	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
hinting	hinting	vvg	hinting	hint	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
conceive	conceive	vvb	conceive	conceive	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
you	you	pn22	you	you	0
doe	doe	vdb	do	do	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
reference	reference	n1	reference	reference	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
designe	designe	n1	design	design	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
very	very	j	very	very	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
effect	effect	n1	effect	effect	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
commanded	commanded	vvd	commanded	command	0
Joshua	Joshua	np1	Joshua	Joshua	0
,	,	,	,	,	0
Chap.	Chap.	np1	Chap.	Chap.	1
5.	5.	crd	5.	5.	1
&	&	cc	&	and	0
6.	6.	crd	6.	6.	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
observe	observe	vvi	observe	observe	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
,	,	,	,	,	0
these	these	d	these	these	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
particulars	particulars	n2-j	particulars	particular	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
1.	1.	crd	1.	1.	1
The	The	dt	The	the	0
feare	feare	n1	fear	fear	0
and	and	cc	and	and	0
dread	dread	vvi	dread	dread	0
which	which	r-crq	which	which	0
fell	fell	vvd	fell	fall	0
upon	upon	p-acp	upon	upon	0
