THere	THere	pc-acp	THere	there	0
are	are	vbr	are	be	0
onely	onely	av-j	only	only	0
two	two	crd	two	two	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
obiects	obiects	n2	objects	object	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
Contemplation	Contemplation	n1	Contemplation	contemplation	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Admiration	Admiration	n1	Admiration	admiration	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
Creator	Creator	n1	Creator	creator	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
creature	creature	n1	creature	creature	0
:	:	:	:	:	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
creatures	creatures	n2	creatures	creature	0
onely	onely	av-j	only	only	0
two	two	crd	two	two	0
,	,	,	,	,	0
An	An	cs	And	an	0
∣	∣	sy	∣	∣	0
gels	gels	n2	gels	gel	0
and	and	cc	and	and	0
men	men	n2	men	man	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
man	man	n1	man	man	0
onely	onely	av-j	only	only	0
two	two	crd	two	two	0
parts	parts	n2	parts	part	0
;	;	;	;	;	0
the	the	dt	the	the	0
bodie	bodie	n1	body	body	0
and	and	cc	and	and	0
soule	soule	n1	soul	soul	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
one	one	crd	one	one	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
two	two	crd	two	two	0
faculties	faculties	n2	faculties	faculty	0
,	,	,	,	,	0
the	the	dt	the	the	0
mind	mind	n1	mind	mind	0
and	and	cc	and	and	0
the	the	dt	the	the	0
will	will	n1	will	will	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
two	two	crd	two	two	0
things	things	n2	things	thing	0
onely	onely	av-j	only	only	0
;	;	;	;	;	0
God	God	np1	God	God	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Word	Word	n1	Word	word	0
:	:	:	:	:	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
two-fold	two-fold	n1	twofold	twofold	0
;	;	;	;	;	0
internall	internall	j	internal	internal	0
and	and	cc	and	and	0
externall	externall	j	external	external	0
:	:	:	:	:	0
the	the	dt	the	the	0
exter	exter	j	exter	ext	0
∣	∣	sy	∣	∣	0
nall	nall	n1	nall	nall	0
word	word	n1	word	word	0
is	is	vbz	is	be	0
two-fold	two-fold	n1	twofold	twofold	0
;	;	;	;	;	0
spoken	spoken	vvn	spoken	speak	0
and	and	cc	and	and	0
writ	writ	vvn	writ	write	0
∣	∣	sy	∣	∣	0
ten	ten	crd	ten	ten	0
:	:	:	:	:	0
the	the	dt	the	the	0
written	written	j-vvn	written	write	0
word	word	n1	word	word	0
hath	hath	vhz	hath	have	0
two	two	crd	two	two	0
parts	parts	n2	parts	part	0
;	;	;	;	;	0
the	the	dt	the	the	0
old	old	j	old	old	0
,	,	,	,	,	0
and	and	cc	and	and	0
new	new	j	new	new	0
Testament	Testament	n1	Testament	testament	0
;	;	;	;	;	0
the	the	dt	the	the	0
old	old	j	old	old	0
containeth	containeth	vvz	containeth	contain	0
two	two	crd	two	two	0
,	,	,	,	,	0
Moses	Moses	np1	Moses	Moses	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Pro	Pro	fw-la	Pro	pro	0
∣	∣	sy	∣	∣	0
phets	phets	ng1	phets	phets	0
;	;	;	;	;	0
and	and	cc	and	and	0
Moses	Moses	np1	Moses	Moses	0
speaketh	speaketh	vvz	speaks	speak	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
two	two	crd	two	two	0
we	we	n1	we	we	0
