THese	THese	d	THese	these	0
few	few	d	few	few	0
sheets	sheets	n2	sheets	sheet	0
were	were	vbdr	were	be	0
chiefly	chiefly	av-jn	chiefly	chief	0
intended	intended	vvn	intended	intend	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
;	;	;	;	;	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
fit	fit	j	fit	fit	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
few	few	d	few	few	0
lines	lines	n2	lines	line	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
them	them	pno32	them	they	0
un	un	fw-it	un	un	0
∣	∣	sy	∣	∣	0
to	to	a-acp	to	to	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
Benefactors	Benefactors	n2	Benefactors	benefactor	0
give	give	vvb	give	give	0
you	you	pn22	you	you	0
Food	Food	n1	Food	food	0
,	,	,	,	,	0
others	others	n2-jn	others	other	0
give	give	vvb	give	give	0
you	you	pn22	you	you	0
Raiment	Raiment	n1	Raiment	raiment	0
,	,	,	,	,	0
others	others	n2-jn	others	other	0
give	give	vvb	give	give	0
you	you	pn22	you	you	0
Money	Money	n1	Money	money	0
;	;	;	;	;	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
gifts	gifts	n2	gifts	gift	0
are	are	vbr	are	be	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
relief	relief	n1	relief	relief	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
temporal	temporal	j	temporal	temporal	0
ne	ne	zz	ne	ne	0
∣	∣	sy	∣	∣	0
cessities	cessities	ng1	cessities	cessities	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
concernment	concernment	n1	concernment	concernment	0
only	only	av-j	only	only	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
bodies	bodies	n2	bodies	body	0
.	.	.	.	.	1
Here	Here	av	Here	here	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
gift	gift	n1	gift	gift	0
in	in	p-acp	in	in	0
order	order	n1	order	order	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
relief	relief	n1	relief	relief	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
necessities	necessities	n2	necessities	necessity	0
,	,	,	,	,	0
a	a	dt	a	a	0
Soul-gift	Soul-gift	n1	Soul-gift	soul-gift	0
