THrough	THrough	p-acp	THrough	through	0
the	the	dt	the	the	0
influence	influence	n1	influence	influence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
favour	favour	n1	favour	favour	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
as	as	c-acp	as	as	0
instruments	instruments	n2	instruments	instrument	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
liberty	liberty	n1	liberty	liberty	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Tem	Tem	n1	Tem	tem	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
,	,	,	,	,	0
I	I	pns11	I	i	0
enjoyed	enjoyed	vvd	enjoyed	enjoy	0
sundry	sundry	j	sundry	sundry	0
years	years	n2	years	year	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
late	late	j	late	late	0
tempestuous	tempestuous	j	tempestuous	tempestuous	0
times	times	n2	times	time	0
an	an	dt	and	a	0
unexpected	unexpected	j	unexpected	unexpected	0
calm	calm	n-jn	calm	calm	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
a	a	dt	a	a	0
new	new	j	new	new	0
storm	storm	n1	storm	storm	0
arising	arising	vvg	arising	arise	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
violence	violence	n1	violence	violence	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
bent	bent	vvn	bent	bend	0
to	to	pc-acp	to	to	0
bear	bear	vvi	bear	bear	0
down	down	a-acp	down	down	0
dissenters	dissenters	n2	dissenters	dissenter	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
determinations	determinations	n2	determinations	determination	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Assembly	Assembly	n1	Assembly	assembly	0
of	of	pp-f	of	of	0
Divines	Divines	n2-jn	Divines	divine	0
at	at	p-acp	at	at	0
Westminster	Westminster	np1	Westminster	Westminster	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lishing	lishing	n-vvg	lishing	lish	0
my	my	po11	my	my	0
Examen	Examen	n2	Examen	examan	0
of	of	pp-f	of	of	0
Mr.	Mr.	n1	Mr.	mr.	1
Marshals	Marshals	np1	Marshals	Marshals	0
Sermon	Sermon	n1	Sermon	sermon	0
for	for	p-acp	for	for	0
Infant-bap	Infant-bap	j	Infant-bap	infant-bap	0
∣	∣	sy	∣	∣	0
tism	tism	n1	tism	tism	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
necessitated	necessitated	vvn	necessitated	necessitate	0
to	to	pc-acp	to	to	0
leave	leave	vvi	leave	leave	0
the	the	dt	the	the	0
harbour	harbour	n1	harbour	harbour	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Temple	Temple	n1	Temple	temple	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
remove	remove	vvi	remove	remove	0
a	a	dt	a	a	0
great	great	j	great	great	0
distance	distance	n1	distance	distance	0
from	from	p-acp	from	from	0
London	London	np1	London	London	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
nativity	nativity	n1	nativity	nativity	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
hoped	hoped	vvd	hoped	hope	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
setlement	setlement	n1	settlement	settlement	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
not	not	xx	not	not	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
partly	partly	av	partly	partly	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
States	States	n2	States	state	0
selling	selling	vvg	selling	sell	0
my	my	po11	my	my	0
lands	lands	n2	lands	land	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
my	my	po11	my	my	0
maintenance	maintenance	n1	maintenance	maintenance	0
there	there	a-acp	there	there	0
arose	arose	vvd	arose	arise	0
,	,	,	,	,	0
and	and	cc	and	and	0
partly	partly	av	partly	partly	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
alienating	alienating	n-vvg	alienating	alienate	0
of	of	pp-f	of	of	0
mens	mens	ng2	men's	man	0
spirits	spirits	n2	spirits	spirit	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
distance	distance	n1	distance	distance	0
between	between	p-acp	between	between	0
me	me	pno11	me	i	0
