WHereas	WHereas	cs	WHereas	whereas	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
I	I	pns11	I	i	0
received	received	vvd	received	receive	0
letters	letters	n2	letters	letter	0
from	from	p-acp	from	from	0
som	som	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
read	read	vvb	read	read	0
that	that	d	that	that	0
name	name	n1	name	name	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
an	an	dt	and	a	0
oyntment	oyntment	n1	ointment	ointment	0
poured	poured	vvd	poured	pour	0
out	out	av	out	out	0
,	,	,	,	,	0
causing	causing	vvg	causing	cause	0
the	the	dt	the	the	0
parties	parties	n2	parties	party	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
it	it	pn31	it	it	0
appeares	appeares	vvz	appears	appear	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
fall	fall	vvi	fallen	fall	0
in	in	p-acp	in	in	0
love	love	n1	love	love	0
therewith	therewith	av	therewith	therewith	0
,	,	,	,	,	0
carrying	carrying	vvg	carrying	carry	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
spirit	spirit	n1	spirit	spirit	0
which	which	r-crq	which	which	0
can	can	vmb	can	can	0
produce	produce	vvi	produce	produce	0
a	a	dt	a	a	0
reall	reall	j	real	real	0
presence	presence	n1	presence	presence	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
absence	absence	n1	absence	absence	0
in	in	p-acp	in	in	0
bodily	bodily	j	bodily	bodily	0
respects	respects	n2	respects	respect	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
divine	divine	j-jn	divine	divine	0
nature	nature	n1	nature	nature	0
simply	simply	av-j	simply	simple	0
considered	considered	vvn	considered	consider	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
in	in	p-acp	in	in	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
Christian	Christian	njp	Christian	christian	0
relations	relations	n2	relations	relation	0
and	and	cc	and	and	0
respects	respects	n2	respects	respect	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
never	never	av-x	never	never	0
destitute	destitute	j	destitute	destitute	0
